model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
XR-Lite,Baton,143,148,0.930045,0.952703,0.941238,0.962496,0.911921,0.840187
XR-Lite,Plier,142,168,0.920481,0.757933,0.831336,0.905074,0.70723,0.664243
XR-Lite,Hammer,135,142,1.0,0.953731,0.976318,0.984112,0.969893,0.925901
XR-Lite,Powerbank,147,154,0.930296,0.909091,0.919571,0.962069,0.919759,0.801568
XR-Lite,Scissors,157,166,0.959335,0.852707,0.902884,0.939402,0.780194,0.706284
XR-Lite,Wrench,119,135,0.929824,0.903704,0.916578,0.948619,0.88227,0.82771
XR-Lite,Gun,124,143,0.963166,0.914305,0.9381,0.963502,0.829331,0.754862
XR-Lite,Bullet,162,162,0.973748,0.915873,0.943924,0.947702,0.903202,0.802791
XR-Lite,Sprayer,144,146,0.98253,0.945205,0.963507,0.961555,0.950458,0.883188
XR-Lite,HandCuffs,156,156,0.98462,0.987179,0.985898,0.981176,0.978313,0.927729
XR-Lite,Knife,112,132,0.906413,0.719697,0.802335,0.83881,0.716083,0.649368
XR-Lite,Lighter,140,142,0.940843,0.71831,0.814653,0.762275,0.673382,0.631917
XR-Nano,Baton,143,148,0.925462,0.966216,0.9454,0.971695,0.917183,0.858268
XR-Nano,Plier,142,168,0.924228,0.798648,0.856861,0.927235,0.72728,0.693616
XR-Nano,Hammer,135,142,0.962072,0.978873,0.9704,0.98209,0.969715,0.922145
XR-Nano,Powerbank,147,154,0.919551,0.935065,0.927243,0.971349,0.932518,0.833238
XR-Nano,Scissors,157,166,0.91812,0.878136,0.897683,0.95641,0.802935,0.731354
XR-Nano,Wrench,119,135,0.921122,0.896296,0.90854,0.950855,0.884746,0.831253
XR-Nano,Gun,124,143,0.945812,0.902098,0.923438,0.953008,0.796704,0.743418
XR-Nano,Bullet,162,162,0.97985,0.900524,0.938514,0.947514,0.908999,0.795839
XR-Nano,Sprayer,144,146,0.976116,0.965753,0.970907,0.982616,0.950429,0.884229
XR-Nano,HandCuffs,156,156,0.982474,0.987179,0.984821,0.98092,0.977171,0.931082
XR-Nano,Knife,112,132,0.911923,0.719697,0.804487,0.841767,0.699535,0.638108
XR-Nano,Lighter,140,142,0.917749,0.725352,0.810286,0.797225,0.676718,0.645247

