model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
XR-Nano,Baton,143,148,0.925462,0.966216,0.9454,0.971695,0.917183,0.858268
XR-Nano,Plier,142,168,0.924228,0.798648,0.856861,0.927235,0.72728,0.693616
XR-Nano,Hammer,135,142,0.962072,0.978873,0.9704,0.98209,0.969715,0.922145
XR-Nano,Powerbank,147,154,0.919551,0.935065,0.927243,0.971349,0.932518,0.833238
XR-Nano,Scissors,157,166,0.91812,0.878136,0.897683,0.95641,0.802935,0.731354
XR-Nano,Wrench,119,135,0.921122,0.896296,0.90854,0.950855,0.884746,0.831253
XR-Nano,Gun,124,143,0.945812,0.902098,0.923438,0.953008,0.796704,0.743418
XR-Nano,Bullet,162,162,0.97985,0.900524,0.938514,0.947514,0.908999,0.795839
XR-Nano,Sprayer,144,146,0.976116,0.965753,0.970907,0.982616,0.950429,0.884229
XR-Nano,HandCuffs,156,156,0.982474,0.987179,0.984821,0.98092,0.977171,0.931082
XR-Nano,Knife,112,132,0.911923,0.719697,0.804487,0.841767,0.699535,0.638108
XR-Nano,Lighter,140,142,0.917749,0.725352,0.810286,0.797225,0.676718,0.645247
XR-Lite,Baton,143,148,0.930045,0.952703,0.941238,0.962496,0.911921,0.840187
XR-Lite,Plier,142,168,0.920481,0.757933,0.831336,0.905074,0.70723,0.664243
XR-Lite,Hammer,135,142,1.0,0.953731,0.976318,0.984112,0.969893,0.925901
XR-Lite,Powerbank,147,154,0.930296,0.909091,0.919571,0.962069,0.919759,0.801568
XR-Lite,Scissors,157,166,0.959335,0.852707,0.902884,0.939402,0.780194,0.706284
XR-Lite,Wrench,119,135,0.929824,0.903704,0.916578,0.948619,0.88227,0.82771
XR-Lite,Gun,124,143,0.963166,0.914305,0.9381,0.963502,0.829331,0.754862
XR-Lite,Bullet,162,162,0.973748,0.915873,0.943924,0.947702,0.903202,0.802791
XR-Lite,Sprayer,144,146,0.98253,0.945205,0.963507,0.961555,0.950458,0.883188
XR-Lite,HandCuffs,156,156,0.98462,0.987179,0.985898,0.981176,0.978313,0.927729
XR-Lite,Knife,112,132,0.906413,0.719697,0.802335,0.83881,0.716083,0.649368
XR-Lite,Lighter,140,142,0.940843,0.71831,0.814653,0.762275,0.673382,0.631917
P2-Lite,Baton,143,148,0.951652,0.959459,0.95554,0.974823,0.921146,0.850428
P2-Lite,Plier,142,168,0.969663,0.761033,0.852774,0.905107,0.726162,0.676785
P2-Lite,Hammer,135,142,0.990725,0.978873,0.984763,0.984512,0.972273,0.924334
P2-Lite,Powerbank,147,154,0.926651,0.902386,0.914357,0.955869,0.923658,0.804462
P2-Lite,Scissors,157,166,0.937777,0.817124,0.873303,0.934964,0.777132,0.701912
P2-Lite,Wrench,119,135,0.922669,0.883817,0.902825,0.936009,0.841338,0.783287
P2-Lite,Gun,124,143,0.931596,0.902098,0.91661,0.954738,0.790071,0.729421
P2-Lite,Bullet,162,162,0.974831,0.888889,0.929878,0.94561,0.893125,0.798355
P2-Lite,Sprayer,144,146,0.975524,0.945205,0.960125,0.975913,0.929315,0.887853
P2-Lite,HandCuffs,156,156,0.978717,0.987179,0.98293,0.979014,0.973228,0.904023
P2-Lite,Knife,112,132,0.920258,0.699441,0.794798,0.823163,0.703345,0.636526
P2-Lite,Lighter,140,142,0.932052,0.676195,0.783771,0.765583,0.684894,0.621013
XR-Plus,Baton,143,148,0.943435,0.959459,0.95138,0.964717,0.894866,0.830133
XR-Plus,Plier,142,168,0.915545,0.774335,0.83904,0.899972,0.716342,0.670569
XR-Plus,Hammer,135,142,0.965434,0.983477,0.974372,0.983142,0.969646,0.920179
XR-Plus,Powerbank,147,154,0.926902,0.922078,0.924484,0.955158,0.910883,0.79552
XR-Plus,Scissors,157,166,0.934106,0.819277,0.872932,0.945373,0.747873,0.704057
XR-Plus,Wrench,119,135,0.937744,0.874074,0.90479,0.950028,0.870737,0.804433
XR-Plus,Gun,124,143,0.929505,0.922057,0.925766,0.954598,0.811349,0.743764
XR-Plus,Bullet,162,162,0.963994,0.91358,0.93811,0.947219,0.91062,0.804165
XR-Plus,Sprayer,144,146,0.977213,0.952055,0.96447,0.969062,0.950512,0.885113
XR-Plus,HandCuffs,156,156,0.984708,0.987179,0.985942,0.9807,0.967249,0.919182
XR-Plus,Knife,112,132,0.906571,0.735104,0.811883,0.829506,0.719019,0.63242
XR-Plus,Lighter,140,142,0.909311,0.706114,0.794932,0.792189,0.699918,0.630582

