model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
A1-PCN,Baton,143,148,0.943612,0.966216,0.95478,0.974111,0.8968,0.844978
A1-PCN,Plier,142,168,0.949885,0.761905,0.845573,0.917201,0.749383,0.691576
A1-PCN,Hammer,135,142,0.965186,0.976213,0.970668,0.993356,0.98131,0.933274
A1-PCN,Powerbank,147,154,0.915988,0.920399,0.918188,0.963589,0.907916,0.81808
A1-PCN,Scissors,157,166,0.928592,0.861712,0.893903,0.944166,0.790938,0.72493
A1-PCN,Wrench,119,135,0.942792,0.888889,0.915047,0.945387,0.884501,0.831078
A1-PCN,Gun,124,143,0.946002,0.909091,0.927179,0.964174,0.767425,0.732747
A1-PCN,Bullet,162,162,0.917636,0.888889,0.903034,0.94163,0.900983,0.803706
A1-PCN,Sprayer,144,146,0.97861,0.940097,0.958967,0.966407,0.946186,0.888367
A1-PCN,HandCuffs,156,156,0.98005,0.987179,0.983602,0.981286,0.97841,0.929362
A1-PCN,Knife,112,132,0.895487,0.75,0.816312,0.840678,0.697957,0.649421
A1-PCN,Lighter,140,142,0.95617,0.71831,0.820346,0.792231,0.696805,0.648594
