model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
EMA-Lite,Baton,143,148,0.954478,0.959459,0.956962,0.964268,0.89935,0.84641
EMA-Lite,Plier,142,168,0.94896,0.791667,0.863206,0.908476,0.747177,0.683178
EMA-Lite,Hammer,135,142,0.985703,0.971041,0.978317,0.984504,0.966807,0.928573
EMA-Lite,Powerbank,147,154,0.914865,0.928571,0.921667,0.968191,0.905741,0.813017
EMA-Lite,Scissors,157,166,0.920574,0.837349,0.876992,0.941231,0.790167,0.71609
EMA-Lite,Wrench,119,135,0.925919,0.888889,0.907026,0.937615,0.875263,0.824589
EMA-Lite,Gun,124,143,0.935621,0.914673,0.925029,0.964719,0.813119,0.747781
EMA-Lite,Bullet,162,162,0.954345,0.903237,0.928088,0.937673,0.897477,0.790032
EMA-Lite,Sprayer,144,146,0.975871,0.938356,0.956746,0.958959,0.947337,0.885334
EMA-Lite,HandCuffs,156,156,0.981469,0.987179,0.984316,0.9807,0.968081,0.919128
EMA-Lite,Knife,112,132,0.920878,0.705381,0.798852,0.836972,0.721289,0.6394
EMA-Lite,Lighter,140,142,0.961574,0.697183,0.808308,0.786064,0.708996,0.653316
