model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
nano_original_ema_768,Baton,143,148,0.946297,0.952479,0.949378,0.947805,0.892987,0.835472
nano_original_ema_768,Plier,142,168,0.855725,0.803571,0.828829,0.882053,0.726522,0.672812
nano_original_ema_768,Hammer,135,142,0.973576,0.964789,0.969162,0.982503,0.951836,0.909138
nano_original_ema_768,Powerbank,147,154,0.91649,0.926437,0.921437,0.938818,0.892226,0.768729
nano_original_ema_768,Scissors,157,166,0.918252,0.879671,0.898548,0.939213,0.761564,0.717858
nano_original_ema_768,Wrench,119,135,0.882074,0.874074,0.878056,0.920737,0.868204,0.811154
nano_original_ema_768,Gun,124,143,0.937066,0.923077,0.930019,0.957943,0.830471,0.751276
nano_original_ema_768,Bullet,162,162,0.967072,0.906457,0.935784,0.942701,0.910849,0.803356
nano_original_ema_768,Sprayer,144,146,0.978914,0.953951,0.966271,0.967847,0.929115,0.875206
nano_original_ema_768,HandCuffs,156,156,0.977273,0.987179,0.982201,0.98086,0.964291,0.923025
nano_original_ema_768,Knife,112,132,0.876576,0.757576,0.812743,0.827934,0.722439,0.629577
nano_original_ema_768,Lighter,140,142,0.895792,0.726444,0.802279,0.773652,0.676387,0.641772
nano_original_ema_aifi_lite_768,Baton,143,148,0.953125,0.959459,0.956282,0.967067,0.910506,0.844678
nano_original_ema_aifi_lite_768,Plier,142,168,0.952049,0.791667,0.864482,0.912328,0.724375,0.672444
nano_original_ema_aifi_lite_768,Hammer,135,142,0.985487,0.956372,0.970711,0.983936,0.971878,0.903839
nano_original_ema_aifi_lite_768,Powerbank,147,154,0.939904,0.914028,0.926785,0.958989,0.924112,0.817376
nano_original_ema_aifi_lite_768,Scissors,157,166,0.935643,0.861446,0.897013,0.951886,0.782137,0.73003
nano_original_ema_aifi_lite_768,Wrench,119,135,0.915311,0.88065,0.897646,0.946789,0.878062,0.816019
nano_original_ema_aifi_lite_768,Gun,124,143,0.951731,0.916084,0.933567,0.954898,0.827824,0.742463
nano_original_ema_aifi_lite_768,Bullet,162,162,0.973461,0.901235,0.935956,0.940564,0.911707,0.803675
nano_original_ema_aifi_lite_768,Sprayer,144,146,0.972161,0.956751,0.964395,0.966685,0.937807,0.868768
nano_original_ema_aifi_lite_768,HandCuffs,156,156,0.972667,0.980769,0.976701,0.977522,0.961502,0.915837
nano_original_ema_aifi_lite_768,Knife,112,132,0.896497,0.721812,0.799727,0.824318,0.699144,0.632332
nano_original_ema_aifi_lite_768,Lighter,140,142,0.93963,0.71831,0.814198,0.786045,0.663139,0.63686
