model,split,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
nano+原版 EMA,overall,Baton,852,886,0.970593,0.96856,0.969575,0.988412,0.946205,0.888626
nano+原版 EMA,overall,Plier,2424,2578,0.969828,0.95384,0.961767,0.987694,0.944603,0.874108
nano+原版 EMA,overall,Hammer,2578,2683,0.97193,0.967916,0.969919,0.990188,0.957098,0.912905
nano+原版 EMA,overall,Powerbank,2778,2945,0.944065,0.892699,0.917664,0.951994,0.879005,0.778544
nano+原版 EMA,overall,Scissors,2494,2708,0.953774,0.905096,0.928798,0.954041,0.87601,0.80515
nano+原版 EMA,overall,Wrench,2001,2087,0.963065,0.953522,0.95827,0.981659,0.952091,0.901079
nano+原版 EMA,overall,Gun,1466,1579,0.974071,0.915136,0.943684,0.976202,0.919012,0.854418
nano+原版 EMA,overall,Bullet,1111,1120,0.940111,0.854955,0.895513,0.917091,0.851015,0.765092
nano+原版 EMA,overall,Sprayer,1237,1257,0.983201,0.936356,0.959207,0.970349,0.9211,0.849594
nano+原版 EMA,overall,HandCuffs,1287,1292,0.985952,0.993034,0.98948,0.993846,0.982154,0.939449
nano+原版 EMA,overall,Knife,2048,2259,0.926171,0.760794,0.835376,0.859115,0.723368,0.664429
nano+原版 EMA,overall,Lighter,1974,1988,0.949862,0.717304,0.817363,0.80439,0.70166,0.650282
nano+原版 EMA,easy,Baton,373,373,0.981899,0.991957,0.986903,0.994513,0.983553,0.942691
nano+原版 EMA,easy,Plier,872,872,0.994016,0.994266,0.994141,0.99471,0.994499,0.954377
nano+原版 EMA,easy,Hammer,1288,1288,0.986151,0.99146,0.988798,0.994503,0.990979,0.965532
nano+原版 EMA,easy,Powerbank,1347,1347,0.923517,0.923315,0.923416,0.963619,0.94489,0.852835
nano+原版 EMA,easy,Scissors,983,983,0.973834,0.983723,0.978754,0.990426,0.97071,0.912461
nano+原版 EMA,easy,Wrench,714,714,0.984509,0.979091,0.981793,0.989954,0.970666,0.934476
nano+原版 EMA,easy,Gun,406,406,0.982096,0.970443,0.976235,0.989504,0.97972,0.924876
nano+原版 EMA,easy,Bullet,409,409,0.984102,0.94621,0.964784,0.968404,0.954113,0.864537
nano+原版 EMA,easy,Sprayer,496,496,0.995878,0.974146,0.984892,0.994298,0.974654,0.917834
nano+原版 EMA,easy,HandCuffs,436,436,0.989147,0.997706,0.993408,0.994145,0.992713,0.960165
