model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
YOLOv8n,Baton,143,148,0.95421,0.966216,0.960176,0.976289,0.914551,0.850392
YOLOv8n,Plier,142,168,0.945684,0.779762,0.854745,0.916708,0.747617,0.694676
YOLOv8n,Hammer,135,142,0.960165,0.978873,0.969429,0.984261,0.966689,0.91645
YOLOv8n,Powerbank,147,154,0.933782,0.915687,0.924646,0.963687,0.915213,0.813307
YOLOv8n,Scissors,157,166,0.945757,0.840276,0.889901,0.914702,0.779716,0.718353
YOLOv8n,Wrench,119,135,0.918367,0.874074,0.895673,0.943011,0.888564,0.820119
YOLOv8n,Gun,124,143,0.945761,0.888112,0.91603,0.963646,0.795161,0.746508
YOLOv8n,Bullet,162,162,0.973035,0.895062,0.932421,0.944011,0.912467,0.806084
YOLOv8n,Sprayer,144,146,0.978952,0.955717,0.967195,0.971194,0.937631,0.881508
YOLOv8n,HandCuffs,156,156,0.979587,0.980769,0.980178,0.98169,0.969167,0.917413
YOLOv8n,Knife,112,132,0.874878,0.681818,0.766377,0.805743,0.704306,0.638668
YOLOv8n,Lighter,140,142,0.926826,0.713594,0.806351,0.781088,0.698464,0.651344
YOLOv8s,Baton,143,148,0.960271,0.966216,0.963234,0.9834,0.91872,0.86421
YOLOv8s,Plier,142,168,0.913941,0.821782,0.865415,0.925652,0.759606,0.711234
YOLOv8s,Hammer,135,142,0.973132,0.985915,0.979482,0.984507,0.973072,0.933736
YOLOv8s,Powerbank,147,154,0.919735,0.941558,0.930519,0.971132,0.928698,0.832393
YOLOv8s,Scissors,157,166,0.947453,0.927711,0.937478,0.969164,0.831741,0.754679
YOLOv8s,Wrench,119,135,0.940566,0.911111,0.925604,0.952585,0.903149,0.852179
YOLOv8s,Gun,124,143,0.964149,0.93007,0.946803,0.971953,0.807161,0.771304
YOLOv8s,Bullet,162,162,0.963902,0.938272,0.950914,0.95658,0.930162,0.827005
YOLOv8s,Sprayer,144,146,0.969542,0.945205,0.957219,0.974811,0.946622,0.898819
YOLOv8s,HandCuffs,156,156,0.983857,0.987179,0.985515,0.981169,0.978734,0.936588
YOLOv8s,Knife,112,132,0.89091,0.742434,0.809924,0.856199,0.716248,0.661404
YOLOv8s,Lighter,140,142,0.922113,0.750384,0.827432,0.816115,0.707381,0.676184
