class_id,class_name,train_instances,train_images,val_instances,val_images,test_instances,test_images,overall_instances,overall_images
0,Baton,1200,1131,148,143,157,145,1505,1419
1,Plier,1198,1039,168,142,133,116,1499,1297
2,Hammer,1222,1192,142,135,144,142,1508,1469
3,Powerbank,1200,1148,154,147,156,150,1510,1445
4,Scissors,1191,1121,166,157,154,140,1511,1418
5,Wrench,1215,1084,135,119,145,131,1495,1334
6,Gun,1201,947,143,124,175,132,1519,1203
7,Bullet,1182,1176,162,162,155,155,1499,1493
8,Sprayer,1179,1167,146,144,170,167,1495,1478
9,HandCuffs,1209,1206,156,156,136,136,1501,1498
10,Knife,1224,1016,132,112,139,116,1495,1244
11,Lighter,1192,1181,142,140,160,158,1494,1479
