model,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
XR-Nano,Baton,143,148,0.925462,0.966216,0.9454,0.971695,0.917183,0.858268
XR-Nano,Plier,142,168,0.924228,0.798648,0.856861,0.927235,0.72728,0.693616
XR-Nano,Hammer,135,142,0.962072,0.978873,0.9704,0.98209,0.969715,0.922145
XR-Nano,Powerbank,147,154,0.919551,0.935065,0.927243,0.971349,0.932518,0.833238
XR-Nano,Scissors,157,166,0.91812,0.878136,0.897683,0.95641,0.802935,0.731354
XR-Nano,Wrench,119,135,0.921122,0.896296,0.90854,0.950855,0.884746,0.831253
XR-Nano,Gun,124,143,0.945812,0.902098,0.923438,0.953008,0.796704,0.743418
XR-Nano,Bullet,162,162,0.97985,0.900524,0.938514,0.947514,0.908999,0.795839
XR-Nano,Sprayer,144,146,0.976116,0.965753,0.970907,0.982616,0.950429,0.884229
XR-Nano,HandCuffs,156,156,0.982474,0.987179,0.984821,0.98092,0.977171,0.931082
XR-Nano,Knife,112,132,0.911923,0.719697,0.804487,0.841767,0.699535,0.638108
XR-Nano,Lighter,140,142,0.917749,0.725352,0.810286,0.797225,0.676718,0.645247
EMA-Lite,Baton,143,148,0.954478,0.959459,0.956962,0.964268,0.89935,0.84641
EMA-Lite,Plier,142,168,0.94896,0.791667,0.863206,0.908476,0.747177,0.683178
EMA-Lite,Hammer,135,142,0.985703,0.971041,0.978317,0.984504,0.966807,0.928573
EMA-Lite,Powerbank,147,154,0.914865,0.928571,0.921667,0.968191,0.905741,0.813017
EMA-Lite,Scissors,157,166,0.920574,0.837349,0.876992,0.941231,0.790167,0.71609
EMA-Lite,Wrench,119,135,0.925919,0.888889,0.907026,0.937615,0.875263,0.824589
EMA-Lite,Gun,124,143,0.935621,0.914673,0.925029,0.964719,0.813119,0.747781
EMA-Lite,Bullet,162,162,0.954345,0.903237,0.928088,0.937673,0.897477,0.790032
EMA-Lite,Sprayer,144,146,0.975871,0.938356,0.956746,0.958959,0.947337,0.885334
EMA-Lite,HandCuffs,156,156,0.981469,0.987179,0.984316,0.9807,0.968081,0.919128
EMA-Lite,Knife,112,132,0.920878,0.705381,0.798852,0.836972,0.721289,0.6394
EMA-Lite,Lighter,140,142,0.961574,0.697183,0.808308,0.786064,0.708996,0.653316
XR-Lite,Baton,143,148,0.930045,0.952703,0.941238,0.962496,0.911921,0.840187
XR-Lite,Plier,142,168,0.920481,0.757933,0.831336,0.905074,0.70723,0.664243
XR-Lite,Hammer,135,142,1.0,0.953731,0.976318,0.984112,0.969893,0.925901
XR-Lite,Powerbank,147,154,0.930296,0.909091,0.919571,0.962069,0.919759,0.801568
XR-Lite,Scissors,157,166,0.959335,0.852707,0.902884,0.939402,0.780194,0.706284
XR-Lite,Wrench,119,135,0.929824,0.903704,0.916578,0.948619,0.88227,0.82771
XR-Lite,Gun,124,143,0.963166,0.914305,0.9381,0.963502,0.829331,0.754862
XR-Lite,Bullet,162,162,0.973748,0.915873,0.943924,0.947702,0.903202,0.802791
XR-Lite,Sprayer,144,146,0.98253,0.945205,0.963507,0.961555,0.950458,0.883188
XR-Lite,HandCuffs,156,156,0.98462,0.987179,0.985898,0.981176,0.978313,0.927729
XR-Lite,Knife,112,132,0.906413,0.719697,0.802335,0.83881,0.716083,0.649368
XR-Lite,Lighter,140,142,0.940843,0.71831,0.814653,0.762275,0.673382,0.631917
nano_original_ema,Baton,143,148,0.935929,0.959459,0.947548,0.951861,0.905003,0.834045
nano_original_ema,Plier,142,168,0.919791,0.819109,0.866535,0.896455,0.787325,0.691939
nano_original_ema,Hammer,135,142,0.967163,0.978873,0.972983,0.983631,0.970143,0.932415
nano_original_ema,Powerbank,147,154,0.898675,0.921482,0.909936,0.953085,0.906174,0.788459
nano_original_ema,Scissors,157,166,0.910296,0.855838,0.882228,0.931843,0.774059,0.706902
nano_original_ema,Wrench,119,135,0.923173,0.888889,0.905706,0.931431,0.88515,0.831253
nano_original_ema,Gun,124,143,0.937551,0.923077,0.930258,0.959573,0.79645,0.747417
nano_original_ema,Bullet,162,162,0.954068,0.897531,0.924937,0.948863,0.907727,0.805025
nano_original_ema,Sprayer,144,146,0.978387,0.952055,0.965041,0.978872,0.94784,0.88818
nano_original_ema,HandCuffs,156,156,0.974463,0.978432,0.976443,0.981278,0.958856,0.918499
nano_original_ema,Knife,112,132,0.895521,0.714286,0.794702,0.833862,0.723598,0.653053
nano_original_ema,Lighter,140,142,0.962064,0.714384,0.819928,0.757083,0.651372,0.627492
nano_original_aifi,Baton,143,148,0.96355,0.952703,0.958096,0.973465,0.9161,0.820128
nano_original_aifi,Plier,142,168,0.914105,0.760161,0.830056,0.903951,0.726754,0.673187
nano_original_aifi,Hammer,135,142,0.971869,0.978873,0.975359,0.974643,0.941259,0.89477
nano_original_aifi,Powerbank,147,154,0.923379,0.896104,0.909537,0.956972,0.872042,0.774099
nano_original_aifi,Scissors,157,166,0.920555,0.831325,0.873668,0.900088,0.75752,0.682483
nano_original_aifi,Wrench,119,135,0.967181,0.873184,0.917782,0.95713,0.839041,0.782149
nano_original_aifi,Gun,124,143,0.920174,0.895105,0.907466,0.942414,0.811142,0.726041
nano_original_aifi,Bullet,162,162,0.954502,0.895062,0.923827,0.943056,0.898362,0.796679
nano_original_aifi,Sprayer,144,146,0.985024,0.938356,0.961124,0.95853,0.929976,0.859795
nano_original_aifi,HandCuffs,156,156,0.977797,0.987179,0.982466,0.981048,0.967836,0.912137
nano_original_aifi,Knife,112,132,0.81446,0.719697,0.764152,0.815484,0.657331,0.601311
nano_original_aifi,Lighter,140,142,0.934181,0.69968,0.800102,0.763634,0.679071,0.616211
nano_original_ema_aifi_lite,Baton,143,148,0.904076,0.959459,0.930945,0.970134,0.919644,0.847207
nano_original_ema_aifi_lite,Plier,142,168,0.906993,0.812663,0.857241,0.907663,0.736044,0.675042
nano_original_ema_aifi_lite,Hammer,135,142,0.961028,0.978873,0.969868,0.984302,0.964658,0.916289
nano_original_ema_aifi_lite,Powerbank,147,154,0.912113,0.943486,0.927534,0.965637,0.930218,0.823662
nano_original_ema_aifi_lite,Scissors,157,166,0.875552,0.890038,0.882736,0.933803,0.791437,0.730809
nano_original_ema_aifi_lite,Wrench,119,135,0.896605,0.903704,0.90014,0.943031,0.895963,0.82773
nano_original_ema_aifi_lite,Gun,124,143,0.907762,0.923077,0.915355,0.951157,0.810037,0.740267
nano_original_ema_aifi_lite,Bullet,162,162,0.945451,0.895062,0.919567,0.93283,0.876519,0.789928
nano_original_ema_aifi_lite,Sprayer,144,146,0.978863,0.951609,0.965044,0.975714,0.948832,0.887487
nano_original_ema_aifi_lite,HandCuffs,156,156,0.978008,0.987179,0.982573,0.980658,0.977269,0.923453
nano_original_ema_aifi_lite,Knife,112,132,0.878088,0.719697,0.791042,0.828283,0.702342,0.637466
nano_original_ema_aifi_lite,Lighter,140,142,0.910905,0.720009,0.804285,0.784451,0.661803,0.62711
nano_ema_lite_original_aifi,Baton,143,148,0.956671,0.945946,0.951278,0.964946,0.902659,0.832446
nano_ema_lite_original_aifi,Plier,142,168,0.943586,0.755952,0.839411,0.893925,0.72103,0.660303
nano_ema_lite_original_aifi,Hammer,135,142,0.976327,0.964789,0.970523,0.982673,0.934714,0.881433
nano_ema_lite_original_aifi,Powerbank,147,154,0.943091,0.902597,0.9224,0.954397,0.932828,0.80698
nano_ema_lite_original_aifi,Scissors,157,166,0.887248,0.825301,0.855154,0.926612,0.749913,0.681675
nano_ema_lite_original_aifi,Wrench,119,135,0.946206,0.859259,0.900639,0.935932,0.818917,0.785614
nano_ema_lite_original_aifi,Gun,124,143,0.948879,0.908607,0.928307,0.965508,0.785429,0.737305
nano_ema_lite_original_aifi,Bullet,162,162,0.951661,0.888889,0.919204,0.937216,0.880343,0.782671
nano_ema_lite_original_aifi,Sprayer,144,146,0.97907,0.961212,0.970059,0.96795,0.950731,0.872437
nano_ema_lite_original_aifi,HandCuffs,156,156,0.975787,0.987179,0.98145,0.978329,0.975511,0.907984
nano_ema_lite_original_aifi,Knife,112,132,0.915852,0.742083,0.819861,0.829903,0.69488,0.611899
nano_ema_lite_original_aifi,Lighter,140,142,0.942762,0.695965,0.800779,0.782211,0.669874,0.626087
nano_original_ema_original_aifi,Baton,143,148,0.941988,0.952703,0.947315,0.961694,0.894963,0.812359
nano_original_ema_original_aifi,Plier,142,168,0.959184,0.77381,0.856582,0.905244,0.731866,0.678634
nano_original_ema_original_aifi,Hammer,135,142,0.978848,0.985915,0.982369,0.984719,0.951526,0.911269
nano_original_ema_original_aifi,Powerbank,147,154,0.917973,0.87204,0.894417,0.933306,0.881459,0.782482
nano_original_ema_original_aifi,Scissors,157,166,0.919601,0.837349,0.87655,0.920495,0.755907,0.679805
nano_original_ema_original_aifi,Wrench,119,135,0.95387,0.874074,0.912231,0.936415,0.826501,0.783388
nano_original_ema_original_aifi,Gun,124,143,0.947834,0.889422,0.917699,0.944914,0.835692,0.741851
nano_original_ema_original_aifi,Bullet,162,162,0.983249,0.87037,0.923373,0.938957,0.887422,0.783361
nano_original_ema_original_aifi,Sprayer,144,146,0.98141,0.945205,0.962968,0.967097,0.931214,0.86317
nano_original_ema_original_aifi,HandCuffs,156,156,0.985407,0.987179,0.986292,0.976026,0.972885,0.895513
nano_original_ema_original_aifi,Knife,112,132,0.90568,0.712121,0.797321,0.825797,0.684613,0.610658
nano_original_ema_original_aifi,Lighter,140,142,0.941893,0.684925,0.793114,0.789643,0.677182,0.61476
