epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1863,2.57017,3.87368,3.32483,0.27015,0.28405,0.23042,0.20706,0.04327,0.08365,2.08397,2.68189,2.94761,0.00332848,0.00332848,0.0700437
2,144.508,1.95774,2.82955,2.60223,0.42532,0.35818,0.30155,0.30388,0.12782,0.14853,1.85854,2.50284,2.64242,0.00666171,0.00666171,0.0400436
3,216.319,1.81188,2.64462,2.40859,0.38909,0.30704,0.30248,0.28828,0.13745,0.14788,1.85522,2.86636,2.59974,0.00999454,0.00999454,0.0100431
4,286.163,1.75237,2.59575,2.30864,0.52465,0.34799,0.33914,0.35477,0.18868,0.1916,1.67688,2.41698,2.41521,0.00999863,0.00999863,0.00999863
5,355.598,1.63221,2.36549,2.17081,0.58303,0.46035,0.48041,0.5112,0.31022,0.30037,1.51295,1.95376,2.15373,0.00999756,0.00999756,0.00999756
6,424.188,1.55508,2.20571,2.07555,0.60914,0.51149,0.51939,0.56329,0.36755,0.34162,1.45056,1.88296,2.09589,0.00999618,0.00999618,0.00999618
7,492.043,1.50551,2.10203,2.01152,0.61758,0.53315,0.54532,0.57713,0.36807,0.34935,1.42028,1.74598,2.0409,0.0099945,0.0099945,0.0099945
8,559.38,1.46493,2.00145,1.95136,0.69041,0.54845,0.59634,0.62124,0.41344,0.38561,1.38938,1.72381,1.99861,0.00999252,0.00999252,0.00999252
9,626.098,1.4216,1.90964,1.89945,0.67444,0.58298,0.61174,0.6535,0.4658,0.42405,1.28378,1.5204,1.90357,0.00999023,0.00999023,0.00999023
10,692.334,1.39275,1.83991,1.86052,0.72917,0.60854,0.64922,0.69316,0.51472,0.4648,1.25747,1.45897,1.83976,0.00998764,0.00998764,0.00998764
11,758.867,1.36958,1.79961,1.83356,0.76145,0.62097,0.67505,0.70851,0.53012,0.47458,1.21278,1.35925,1.79775,0.00998474,0.00998474,0.00998474
12,824.726,1.33926,1.717,1.79402,0.76009,0.62738,0.67016,0.7126,0.54467,0.48497,1.19154,1.35461,1.77084,0.00998154,0.00998154,0.00998154
13,890.742,1.31825,1.68217,1.76869,0.75486,0.65607,0.68904,0.73964,0.54429,0.50095,1.19144,1.2496,1.73471,0.00997803,0.00997803,0.00997803
14,956.381,1.3088,1.62949,1.75427,0.80841,0.66144,0.72002,0.76416,0.59822,0.5285,1.16572,1.18596,1.72952,0.00997422,0.00997422,0.00997422
15,1022.26,1.28553,1.59251,1.72466,0.80059,0.66617,0.72132,0.76162,0.58651,0.53073,1.12319,1.18465,1.68678,0.00997011,0.00997011,0.00997011
16,1087.87,1.2732,1.56775,1.71732,0.82444,0.68082,0.73724,0.77807,0.59313,0.53435,1.13806,1.13747,1.69503,0.00996569,0.00996569,0.00996569
17,1153.93,1.25808,1.52201,1.69858,0.83289,0.67508,0.73494,0.77994,0.60609,0.54748,1.10434,1.10961,1.66061,0.00996097,0.00996097,0.00996097
18,1219.69,1.23662,1.49651,1.67479,0.81727,0.69036,0.74197,0.78174,0.60859,0.54569,1.09282,1.09105,1.63626,0.00995594,0.00995594,0.00995594
19,1285.49,1.23226,1.47654,1.66056,0.81545,0.6996,0.74371,0.79388,0.62107,0.56122,1.07626,1.02562,1.63022,0.00995062,0.00995062,0.00995062
20,1351.07,1.21809,1.45491,1.65521,0.85245,0.70802,0.76528,0.80707,0.65353,0.57701,1.05166,0.99259,1.59612,0.00994499,0.00994499,0.00994499
21,1417.15,1.20774,1.41602,1.63969,0.83454,0.71425,0.76628,0.81212,0.65877,0.5896,1.03388,0.96386,1.58565,0.00993906,0.00993906,0.00993906
22,1482.88,1.19413,1.40267,1.62176,0.84804,0.71294,0.76884,0.81291,0.64267,0.58109,1.04512,0.97037,1.58667,0.00993282,0.00993282,0.00993282
23,1548.36,1.19289,1.37895,1.61664,0.85911,0.72324,0.78112,0.81835,0.66527,0.58971,1.03015,0.92811,1.56429,0.00992629,0.00992629,0.00992629
24,1613.86,1.17952,1.36821,1.6043,0.86932,0.73241,0.78934,0.82631,0.67308,0.60492,0.99333,0.91444,1.5473,0.00991946,0.00991946,0.00991946
25,1679.53,1.17366,1.35012,1.594,0.85951,0.73114,0.78345,0.82932,0.66587,0.60342,1.00443,0.93059,1.54092,0.00991232,0.00991232,0.00991232
26,1745.14,1.16108,1.33011,1.5869,0.86798,0.73866,0.79366,0.8373,0.67931,0.60801,0.99424,0.90426,1.53837,0.00990489,0.00990489,0.00990489
27,1810.16,1.15426,1.30384,1.57753,0.86292,0.74426,0.79441,0.83334,0.68265,0.61311,0.97643,0.88371,1.52185,0.00989715,0.00989715,0.00989715
28,1875.51,1.14595,1.30067,1.56746,0.90248,0.73662,0.8023,0.84534,0.69154,0.62453,0.97028,0.85895,1.51091,0.00988912,0.00988912,0.00988912
29,1940.73,1.13253,1.26642,1.55867,0.87958,0.74877,0.80152,0.8448,0.6989,0.62681,0.95875,0.86212,1.49399,0.00988079,0.00988079,0.00988079
30,2006.34,1.13699,1.27101,1.55295,0.88722,0.75625,0.81165,0.85045,0.70842,0.63525,0.94984,0.83033,1.48463,0.00987216,0.00987216,0.00987216
31,2071.69,1.13154,1.25566,1.55173,0.89257,0.74557,0.80524,0.84887,0.71065,0.63511,0.94129,0.83259,1.475,0.00986323,0.00986323,0.00986323
32,2136.85,1.12084,1.24392,1.54219,0.87614,0.76246,0.80856,0.84736,0.71073,0.63638,0.93449,0.83119,1.47694,0.00985401,0.00985401,0.00985401
33,2202.39,1.11544,1.23995,1.53235,0.86792,0.7757,0.81403,0.85593,0.71224,0.64286,0.92944,0.80773,1.46792,0.00984449,0.00984449,0.00984449
34,2267.87,1.11612,1.22971,1.52908,0.89396,0.76098,0.81435,0.85491,0.71803,0.64943,0.90825,0.80035,1.44567,0.00983467,0.00983467,0.00983467
35,2333.18,1.10846,1.21465,1.52689,0.88722,0.77289,0.82067,0.86146,0.72344,0.65295,0.90473,0.77412,1.44117,0.00982456,0.00982456,0.00982456
36,2398.32,1.10228,1.20084,1.51682,0.89621,0.7763,0.82786,0.8611,0.73322,0.65435,0.90045,0.76859,1.44144,0.00981415,0.00981415,0.00981415
37,2463.43,1.09816,1.19946,1.50656,0.88412,0.77596,0.82044,0.86236,0.72314,0.65616,0.89256,0.7638,1.42863,0.00980345,0.00980345,0.00980345
38,2528.55,1.08452,1.17615,1.49684,0.90983,0.77981,0.83292,0.86827,0.74192,0.66504,0.8898,0.75076,1.41804,0.00979246,0.00979246,0.00979246
39,2593.98,1.08348,1.16289,1.49385,0.90261,0.76911,0.82391,0.87169,0.73266,0.66138,0.89228,0.7521,1.42043,0.00978118,0.00978118,0.00978118
40,2659.35,1.08193,1.17334,1.48774,0.887,0.78762,0.8273,0.86763,0.74278,0.66519,0.88843,0.74508,1.41051,0.0097696,0.0097696,0.0097696
41,2724.79,1.08497,1.16991,1.49149,0.90864,0.78223,0.83475,0.87467,0.74394,0.668,0.88392,0.72507,1.40865,0.00975773,0.00975773,0.00975773
42,2790.25,1.07375,1.15673,1.4815,0.90132,0.78121,0.8312,0.87411,0.7406,0.6697,0.8782,0.72531,1.40815,0.00974557,0.00974557,0.00974557
43,2855.72,1.06759,1.14304,1.46941,0.89051,0.79835,0.83682,0.87757,0.75463,0.68013,0.86164,0.71079,1.39342,0.00973312,0.00973312,0.00973312
44,2921.14,1.06496,1.14052,1.46859,0.89844,0.78158,0.83102,0.87225,0.75456,0.67445,0.86796,0.71718,1.39518,0.00972039,0.00972039,0.00972039
45,2986.53,1.06109,1.12713,1.46678,0.90617,0.78991,0.83897,0.87671,0.75052,0.67744,0.8598,0.70495,1.38642,0.00970736,0.00970736,0.00970736
46,3052.18,1.06134,1.12999,1.4667,0.89662,0.80162,0.84129,0.88126,0.7544,0.67922,0.85681,0.6971,1.38361,0.00969405,0.00969405,0.00969405
47,3117.49,1.05043,1.11442,1.46072,0.90956,0.78921,0.83914,0.87934,0.76195,0.68549,0.84968,0.70415,1.37859,0.00968045,0.00968045,0.00968045
48,3183.09,1.05199,1.11078,1.45714,0.90678,0.8018,0.84671,0.88042,0.76291,0.6855,0.84448,0.69921,1.36611,0.00966656,0.00966656,0.00966656
49,3248.43,1.03816,1.09018,1.43741,0.90307,0.80071,0.84504,0.88316,0.76078,0.68768,0.84594,0.68966,1.37005,0.00965239,0.00965239,0.00965239
50,3314.32,1.04801,1.09974,1.44774,0.91811,0.79141,0.84539,0.87996,0.76595,0.68895,0.83949,0.67614,1.36803,0.00963794,0.00963794,0.00963794
51,3379.88,1.04233,1.10212,1.43898,0.92042,0.7988,0.85028,0.884,0.77348,0.6937,0.8306,0.67829,1.35284,0.0096232,0.0096232,0.0096232
52,3445.45,1.03784,1.08339,1.43485,0.91121,0.80394,0.85017,0.88574,0.76907,0.6935,0.83368,0.6696,1.34896,0.00960819,0.00960819,0.00960819
53,3511.34,1.03712,1.08816,1.43562,0.9111,0.80571,0.85093,0.88643,0.76542,0.69188,0.836,0.66505,1.3554,0.00959289,0.00959289,0.00959289
54,3576.94,1.02484,1.06479,1.42204,0.91738,0.80929,0.85564,0.88867,0.77094,0.69607,0.82602,0.65974,1.34454,0.00957731,0.00957731,0.00957731
55,3642.59,1.0321,1.06925,1.43455,0.92123,0.81482,0.86054,0.8933,0.77806,0.70079,0.8187,0.64301,1.33889,0.00956145,0.00956145,0.00956145
56,3707.81,1.02976,1.06893,1.43108,0.92937,0.8123,0.86197,0.89352,0.77941,0.70299,0.81375,0.63205,1.33347,0.00954531,0.00954531,0.00954531
57,3773.39,1.02606,1.06839,1.42194,0.92168,0.81451,0.86039,0.89437,0.78511,0.7058,0.80922,0.63434,1.33038,0.00952889,0.00952889,0.00952889
58,3838.65,1.02544,1.06767,1.41782,0.92787,0.80769,0.85895,0.89413,0.78451,0.70421,0.81323,0.6394,1.33178,0.0095122,0.0095122,0.0095122
59,3904.14,1.02239,1.05155,1.41248,0.92105,0.81337,0.85962,0.89371,0.78391,0.70475,0.81081,0.63782,1.33063,0.00949524,0.00949524,0.00949524
60,3969.41,1.01592,1.04464,1.41062,0.9141,0.81813,0.85913,0.89347,0.78034,0.70781,0.80973,0.63001,1.32951,0.009478,0.009478,0.009478
61,4034.92,1.01046,1.03575,1.40255,0.9251,0.80994,0.85894,0.89392,0.78519,0.70831,0.80941,0.63395,1.3298,0.00946048,0.00946048,0.00946048
62,4100.55,1.01061,1.03363,1.41264,0.90697,0.82577,0.86075,0.89354,0.78036,0.70698,0.80367,0.62764,1.32465,0.0094427,0.0094427,0.0094427
63,4166.15,1.0169,1.0371,1.40416,0.90153,0.81939,0.85432,0.89037,0.78526,0.70902,0.79305,0.62739,1.31624,0.00942464,0.00942464,0.00942464
64,4231.71,1.01351,1.02337,1.40602,0.93679,0.79694,0.85554,0.8916,0.78328,0.70992,0.79448,0.62057,1.31507,0.00940631,0.00940631,0.00940631
65,4297.49,1.01653,1.02478,1.40891,0.89171,0.83743,0.8602,0.89583,0.78809,0.71184,0.79337,0.6185,1.31364,0.00938772,0.00938772,0.00938772
66,4363.09,1.00344,1.02878,1.3976,0.91006,0.82535,0.86152,0.89539,0.78656,0.71176,0.79078,0.61747,1.3125,0.00936886,0.00936886,0.00936886
67,4429.02,1.00298,1.01596,1.38919,0.89361,0.83447,0.85989,0.8966,0.78938,0.71245,0.78804,0.61491,1.30876,0.00934973,0.00934973,0.00934973
68,4494.45,0.99254,1.0043,1.38339,0.89773,0.83528,0.86219,0.89939,0.79241,0.71465,0.78481,0.60944,1.305,0.00933033,0.00933033,0.00933033
