epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.8135,2.86255,4.22516,3.51281,0.15255,0.10838,0.10308,0.08808,0.01019,0.02846,2.52457,3.3069,3.1762,0.00332848,0.00332848,0.0700437
2,177.09,2.1274,3.14982,2.68064,0.32672,0.34558,0.25043,0.26225,0.07864,0.11643,1.9682,2.71191,2.59928,0.00666171,0.00666171,0.0400436
3,259.754,1.90119,2.85904,2.39182,0.30182,0.29503,0.24029,0.23878,0.10656,0.11719,1.90854,2.77185,2.51385,0.00999454,0.00999454,0.0100431
4,341.985,1.80137,2.72639,2.26171,0.51611,0.35277,0.35086,0.36883,0.17688,0.19251,1.7284,2.49273,2.37547,0.00999863,0.00999863,0.00999863
5,424.157,1.68541,2.49571,2.12514,0.53838,0.45606,0.453,0.46913,0.27102,0.26416,1.53143,2.04558,2.10504,0.00999756,0.00999756,0.00999756
6,506.698,1.60575,2.33485,2.04028,0.55679,0.50261,0.50535,0.51471,0.32254,0.30354,1.49248,1.95798,2.07453,0.00999618,0.00999618,0.00999618
7,589.463,1.55637,2.22251,1.97853,0.5806,0.50846,0.5186,0.54466,0.37038,0.33482,1.38933,1.79848,1.95015,0.0099945,0.0099945,0.0099945
8,672.381,1.51635,2.12091,1.93392,0.69366,0.49918,0.54786,0.59759,0.41,0.37657,1.37541,1.66255,1.92749,0.00999252,0.00999252,0.00999252
9,755.237,1.47518,2.03276,1.88528,0.61192,0.53771,0.55651,0.58468,0.38392,0.37068,1.35647,1.7212,1.93959,0.00999023,0.00999023,0.00999023
10,837.977,1.44863,1.96345,1.85326,0.70335,0.58685,0.63192,0.6702,0.47766,0.43513,1.28346,1.49484,1.82942,0.00998764,0.00998764,0.00998764
11,921.234,1.42218,1.90029,1.83168,0.66275,0.59842,0.62262,0.65338,0.45621,0.42214,1.29889,1.49951,1.85642,0.00998474,0.00998474,0.00998474
12,1003.75,1.39216,1.82596,1.79095,0.78735,0.60277,0.66902,0.70236,0.51909,0.46945,1.21772,1.34206,1.76348,0.00998154,0.00998154,0.00998154
13,1086.58,1.3663,1.78764,1.76926,0.71924,0.63948,0.6675,0.70692,0.51077,0.46688,1.23216,1.33377,1.75505,0.00997803,0.00997803,0.00997803
14,1169.84,1.35363,1.73826,1.74723,0.76761,0.61183,0.67139,0.71508,0.53736,0.47802,1.21273,1.30966,1.74885,0.00997422,0.00997422,0.00997422
15,1252.88,1.33336,1.70238,1.72859,0.78402,0.65881,0.70549,0.74853,0.57069,0.51072,1.15071,1.23023,1.69926,0.00997011,0.00997011,0.00997011
16,1336.14,1.3193,1.67191,1.71874,0.79959,0.6534,0.71006,0.74511,0.57628,0.51332,1.14123,1.21461,1.66633,0.00996569,0.00996569,0.00996569
17,1419.61,1.30099,1.62241,1.69669,0.80716,0.67629,0.72636,0.76593,0.59646,0.5356,1.11652,1.16594,1.65862,0.00996097,0.00996097,0.00996097
18,1502.82,1.27537,1.59235,1.6726,0.79476,0.64573,0.69365,0.73521,0.56357,0.50793,1.15189,1.24386,1.66743,0.00995594,0.00995594,0.00995594
19,1585.89,1.27036,1.5592,1.65535,0.7687,0.6916,0.71387,0.76226,0.59173,0.53162,1.11802,1.11216,1.6269,0.00995062,0.00995062,0.00995062
20,1669.13,1.26567,1.5529,1.65742,0.81047,0.69735,0.73777,0.78077,0.62198,0.55439,1.08122,1.06943,1.59043,0.00994499,0.00994499,0.00994499
21,1754.48,1.25213,1.51227,1.64097,0.83513,0.69215,0.75016,0.78562,0.62096,0.55307,1.06545,1.05504,1.5873,0.00993906,0.00993906,0.00993906
22,1838.56,1.23595,1.49165,1.62459,0.81274,0.70943,0.75528,0.79228,0.62855,0.56476,1.04753,1.03654,1.55335,0.00993282,0.00993282,0.00993282
23,1922.33,1.22812,1.45933,1.61624,0.83241,0.71749,0.76602,0.80587,0.65351,0.57991,1.03152,0.99107,1.54029,0.00992629,0.00992629,0.00992629
24,2006.28,1.21652,1.449,1.6039,0.83873,0.69515,0.75344,0.79689,0.65463,0.57923,1.03445,0.99484,1.53767,0.00991946,0.00991946,0.00991946
25,2089.79,1.20972,1.41925,1.59063,0.83269,0.73119,0.76981,0.80539,0.65185,0.58297,1.01434,0.98835,1.52896,0.00991232,0.00991232,0.00991232
26,2173.24,1.19755,1.40111,1.58451,0.84169,0.71963,0.77042,0.82041,0.66542,0.59403,1.0055,0.9402,1.51925,0.00990489,0.00990489,0.00990489
27,2256.5,1.19299,1.37685,1.57619,0.8584,0.72518,0.77996,0.81993,0.65815,0.59473,0.99325,0.93775,1.49196,0.00989715,0.00989715,0.00989715
28,2339.34,1.17614,1.36395,1.56647,0.84563,0.74748,0.78824,0.83288,0.6809,0.61074,0.9834,0.90452,1.48512,0.00988912,0.00988912,0.00988912
29,2422.23,1.16363,1.33831,1.55782,0.8706,0.73288,0.79044,0.83161,0.66521,0.60828,0.97758,0.89685,1.47915,0.00988079,0.00988079,0.00988079
30,2505.46,1.17431,1.3445,1.55746,0.87554,0.7285,0.78801,0.83189,0.69406,0.61533,0.96276,0.89378,1.46604,0.00987216,0.00987216,0.00987216
31,2588.89,1.16444,1.3194,1.54728,0.8666,0.74639,0.79728,0.84025,0.6924,0.62228,0.9494,0.87054,1.46029,0.00986323,0.00986323,0.00986323
32,2672.45,1.15794,1.31886,1.54314,0.8621,0.76062,0.80133,0.84351,0.7023,0.63073,0.94322,0.85061,1.45535,0.00985401,0.00985401,0.00985401
33,2755.93,1.14221,1.29211,1.5246,0.85058,0.77722,0.80837,0.85113,0.70705,0.63521,0.9298,0.83243,1.44185,0.00984449,0.00984449,0.00984449
34,2840.18,1.15115,1.28813,1.52453,0.89499,0.75472,0.81188,0.85276,0.71537,0.64017,0.92543,0.82788,1.42383,0.00983467,0.00983467,0.00983467
35,2924.05,1.13465,1.27924,1.52225,0.8831,0.76401,0.81464,0.85549,0.7151,0.64417,0.91455,0.80536,1.42518,0.00982456,0.00982456,0.00982456
36,3008.05,1.12837,1.25864,1.51292,0.90001,0.74528,0.81024,0.85521,0.71754,0.64322,0.92057,0.80336,1.42901,0.00981415,0.00981415,0.00981415
37,3091.99,1.12897,1.25701,1.50995,0.86459,0.76817,0.80961,0.85663,0.71463,0.64471,0.91637,0.79352,1.4248,0.00980345,0.00980345,0.00980345
38,3175.94,1.11624,1.23597,1.50043,0.88031,0.77861,0.82153,0.86381,0.72046,0.65255,0.90096,0.78339,1.40718,0.00979246,0.00979246,0.00979246
39,3259.3,1.10632,1.20915,1.49194,0.89252,0.75878,0.81353,0.86111,0.72889,0.65458,0.90779,0.77375,1.40899,0.00978118,0.00978118,0.00978118
40,3343.11,1.10927,1.22849,1.49017,0.88559,0.78371,0.82666,0.86594,0.73597,0.65864,0.89036,0.75315,1.39282,0.0097696,0.0097696,0.0097696
41,3426.72,1.11712,1.21656,1.49473,0.88117,0.78674,0.82725,0.86828,0.73467,0.66161,0.88841,0.75619,1.39084,0.00975773,0.00975773,0.00975773
42,3510.4,1.10061,1.19473,1.4817,0.88889,0.78472,0.82987,0.86712,0.73427,0.66231,0.88096,0.74276,1.38304,0.00974557,0.00974557,0.00974557
43,3594.49,1.09387,1.18899,1.47235,0.8864,0.7853,0.82901,0.87055,0.73765,0.66633,0.87879,0.73934,1.38022,0.00973312,0.00973312,0.00973312
44,3677.9,1.09282,1.18621,1.47099,0.9014,0.77803,0.83038,0.87161,0.73537,0.6704,0.87029,0.72936,1.37186,0.00972039,0.00972039,0.00972039
45,3761.6,1.08903,1.17262,1.46972,0.88084,0.79641,0.83309,0.87872,0.74577,0.67332,0.86459,0.71497,1.36853,0.00970736,0.00970736,0.00970736
46,3845.32,1.08723,1.1719,1.46807,0.88424,0.81105,0.84254,0.88399,0.75841,0.68016,0.85822,0.70634,1.363,0.00969405,0.00969405,0.00969405
47,3928.85,1.08055,1.16217,1.46331,0.89635,0.80211,0.84205,0.87988,0.75121,0.67973,0.85626,0.70821,1.35952,0.00968045,0.00968045,0.00968045
48,4012.37,1.0771,1.14935,1.45809,0.89916,0.79941,0.84235,0.87945,0.7556,0.68035,0.85128,0.70255,1.35375,0.00966656,0.00966656,0.00966656
49,4095.87,1.06643,1.12586,1.44604,0.89123,0.78818,0.83292,0.87861,0.75807,0.68272,0.84086,0.70004,1.34571,0.00965239,0.00965239,0.00965239
50,4180.82,1.07458,1.14136,1.45617,0.89156,0.7971,0.83872,0.87892,0.75583,0.68615,0.84159,0.68933,1.34785,0.00963794,0.00963794,0.00963794
51,4265.29,1.06904,1.13898,1.44716,0.89524,0.81225,0.84883,0.88072,0.7614,0.68932,0.83285,0.67861,1.33718,0.0096232,0.0096232,0.0096232
52,4349.77,1.05821,1.11739,1.43944,0.90774,0.80965,0.85287,0.88524,0.76195,0.69249,0.82676,0.66847,1.32904,0.00960819,0.00960819,0.00960819
53,4433.99,1.05875,1.11694,1.43637,0.90546,0.80408,0.84838,0.88566,0.76488,0.6921,0.83004,0.6676,1.33221,0.00959289,0.00959289,0.00959289
54,4518.49,1.04986,1.10517,1.43031,0.89626,0.80968,0.84756,0.88777,0.77006,0.69335,0.82689,0.66711,1.32943,0.00957731,0.00957731,0.00957731
55,4602.66,1.05356,1.10423,1.43798,0.90821,0.81318,0.85431,0.88974,0.76667,0.69513,0.82823,0.65847,1.33186,0.00956145,0.00956145,0.00956145
56,4686.21,1.05255,1.1064,1.43394,0.89569,0.81772,0.85212,0.88675,0.7703,0.69904,0.81602,0.66247,1.32281,0.00954531,0.00954531,0.00954531
57,4769.93,1.05115,1.09531,1.42632,0.91583,0.80395,0.85232,0.8871,0.77844,0.70076,0.8138,0.64828,1.31888,0.00952889,0.00952889,0.00952889
58,4853.76,1.04843,1.10229,1.4212,0.91177,0.81707,0.85814,0.89013,0.77306,0.69999,0.81992,0.64979,1.31901,0.0095122,0.0095122,0.0095122
59,4937.89,1.04493,1.08795,1.41986,0.91355,0.82082,0.86118,0.89035,0.78118,0.70201,0.81787,0.63508,1.31919,0.00949524,0.00949524,0.00949524
60,5022.45,1.03819,1.07826,1.41792,0.91453,0.82054,0.86127,0.89329,0.77742,0.70472,0.81429,0.63116,1.31407,0.009478,0.009478,0.009478
61,5106.72,1.03292,1.06736,1.41219,0.91631,0.81583,0.85947,0.89434,0.77289,0.70512,0.81136,0.62657,1.31224,0.00946048,0.00946048,0.00946048
62,5190.78,1.03325,1.06255,1.41439,0.91782,0.81484,0.85968,0.89679,0.77932,0.70552,0.80905,0.63284,1.30931,0.0094427,0.0094427,0.0094427
63,5275.23,1.036,1.06971,1.40975,0.90081,0.82932,0.8609,0.8969,0.78054,0.70613,0.80221,0.62805,1.30196,0.00942464,0.00942464,0.00942464
64,5359.51,1.03008,1.0595,1.4065,0.90034,0.825,0.85844,0.89497,0.78382,0.70632,0.80107,0.62737,1.30019,0.00940631,0.00940631,0.00940631
65,5443.72,1.02945,1.05482,1.40963,0.92819,0.81652,0.86565,0.89752,0.78228,0.70868,0.79602,0.61964,1.29552,0.00938772,0.00938772,0.00938772
66,5528.19,1.02161,1.05199,1.40248,0.919,0.81991,0.86437,0.89835,0.78639,0.712,0.79348,0.61886,1.29387,0.00936886,0.00936886,0.00936886
67,5612.22,1.02161,1.04781,1.39358,0.92406,0.81855,0.86513,0.89877,0.79062,0.71528,0.7889,0.60946,1.29162,0.00934973,0.00934973,0.00934973
68,5696.69,1.01452,1.03384,1.38916,0.92731,0.81376,0.86375,0.89896,0.78907,0.71569,0.78498,0.60878,1.28834,0.00933033,0.00933033,0.00933033
69,5781.26,1.01698,1.03069,1.38941,0.91525,0.82668,0.86614,0.89949,0.78552,0.71505,0.78626,0.60643,1.2876,0.00931067,0.00931067,0.00931067
70,5865.49,1.01573,1.02837,1.39371,0.92251,0.82158,0.86581,0.90149,0.78819,0.71728,0.78762,0.60246,1.2874,0.00929075,0.00929075,0.00929075
71,5949.87,1.01278,1.03469,1.38951,0.92162,0.82273,0.86613,0.90227,0.78789,0.71731,0.78868,0.60266,1.28652,0.00927057,0.00927057,0.00927057
72,6033.81,1.01201,1.02418,1.38816,0.90371,0.83432,0.86516,0.90094,0.78696,0.71557,0.78678,0.60159,1.28677,0.00925013,0.00925013,0.00925013
73,6118.13,1.00666,1.01672,1.37566,0.9185,0.81985,0.8635,0.9012,0.78894,0.71801,0.7832,0.59832,1.28161,0.00922942,0.00922942,0.00922942
74,6202.39,1.00736,1.01722,1.38121,0.92114,0.81998,0.86462,0.9013,0.79095,0.72,0.78217,0.59422,1.27945,0.00920846,0.00920846,0.00920846
75,6287.01,1.00557,1.00956,1.38414,0.91793,0.82542,0.866,0.90089,0.79241,0.72082,0.77944,0.58949,1.278,0.00918725,0.00918725,0.00918725
76,6371.47,0.99868,1.0056,1.37106,0.92185,0.82878,0.86975,0.90157,0.79389,0.72161,0.77961,0.58609,1.27745,0.00916577,0.00916577,0.00916577
77,6455.74,0.99628,1.00196,1.3757,0.92248,0.82863,0.87001,0.9026,0.79982,0.72247,0.7787,0.58316,1.2759,0.00914405,0.00914405,0.00914405
78,6540.28,0.99958,1.00518,1.37356,0.91483,0.83462,0.87043,0.90407,0.8019,0.72439,0.77686,0.58113,1.27391,0.00912207,0.00912207,0.00912207
79,6624.61,0.99486,0.99354,1.36473,0.91211,0.83988,0.87204,0.90463,0.79981,0.72476,0.77432,0.57916,1.27271,0.00909984,0.00909984,0.00909984
80,6708.98,0.98647,0.98148,1.36223,0.91642,0.84065,0.87466,0.90505,0.80041,0.72584,0.76931,0.57685,1.26833,0.00907736,0.00907736,0.00907736
