epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0528,2.85783,4.23055,3.44152,0.17863,0.1562,0.14212,0.11611,0.02001,0.04319,2.45504,3.1108,3.09864,0.00332848,0.00332848,0.0700437
2,185.167,2.09792,3.11866,2.60958,0.27636,0.26363,0.22328,0.19971,0.07095,0.09097,2.04939,2.74571,2.65653,0.00666171,0.00666171,0.0400436
3,272.676,1.88684,2.86115,2.35403,0.38214,0.32911,0.28879,0.29679,0.14469,0.1527,1.81129,2.55893,2.42932,0.00999454,0.00999454,0.0100431
4,350.715,1.79521,2.73307,2.23882,0.44822,0.33766,0.34221,0.34185,0.19238,0.1888,1.69613,2.3583,2.27115,0.00999863,0.00999863,0.00999863
5,428.209,1.67714,2.48679,2.10621,0.52917,0.37667,0.38328,0.4028,0.23186,0.22946,1.6004,2.27788,2.19198,0.00999756,0.00999756,0.00999756
6,505.856,1.60035,2.32044,2.02527,0.58886,0.47963,0.51158,0.52422,0.33167,0.31335,1.49459,1.9015,2.09944,0.00999618,0.00999618,0.00999618
7,582.79,1.56534,2.21036,1.98339,0.63945,0.51882,0.54788,0.56304,0.34946,0.33067,1.45694,1.80866,1.98233,0.0099945,0.0099945,0.0099945
8,659.877,1.51259,2.11152,1.92752,0.65217,0.54301,0.56779,0.60063,0.39156,0.36765,1.43392,1.74291,1.99826,0.00999252,0.00999252,0.00999252
9,737.064,1.46874,2.01747,1.87661,0.66577,0.57525,0.5963,0.64519,0.45161,0.41268,1.3326,1.5484,1.8704,0.00999023,0.00999023,0.00999023
10,814.472,1.43906,1.94679,1.84288,0.70774,0.58861,0.63181,0.66713,0.47632,0.43332,1.28909,1.49311,1.83274,0.00998764,0.00998764,0.00998764
11,891.431,1.41658,1.88301,1.82109,0.73774,0.59874,0.65255,0.68646,0.49235,0.44917,1.28157,1.4228,1.8245,0.00998474,0.00998474,0.00998474
12,968.626,1.38093,1.81048,1.77215,0.74572,0.61154,0.65693,0.7057,0.52526,0.47687,1.20547,1.34787,1.74209,0.00998154,0.00998154,0.00998154
13,1045.24,1.3583,1.76757,1.75127,0.78301,0.62195,0.67786,0.72283,0.53945,0.4863,1.20979,1.29985,1.72314,0.00997803,0.00997803,0.00997803
14,1122.17,1.34802,1.71245,1.73399,0.76466,0.65318,0.69123,0.74271,0.57448,0.50754,1.16264,1.24904,1.6966,0.00997422,0.00997422,0.00997422
15,1199.63,1.32373,1.67164,1.71145,0.78967,0.65445,0.70395,0.74825,0.57758,0.5171,1.14649,1.20118,1.66895,0.00997011,0.00997011,0.00997011
16,1276.63,1.31428,1.64847,1.69989,0.80031,0.66059,0.71121,0.75597,0.56699,0.51432,1.13918,1.20153,1.66795,0.00996569,0.00996569,0.00996569
17,1353.48,1.28945,1.59943,1.6765,0.8212,0.6563,0.71177,0.76426,0.58446,0.52682,1.12837,1.16956,1.64997,0.00996097,0.00996097,0.00996097
18,1431.14,1.27427,1.55916,1.65881,0.82948,0.68799,0.74506,0.78568,0.61875,0.55434,1.08334,1.09513,1.61285,0.00995594,0.00995594,0.00995594
19,1508.51,1.26915,1.52811,1.64395,0.85731,0.65846,0.72788,0.77181,0.5958,0.53924,1.11456,1.10501,1.6121,0.00995062,0.00995062,0.00995062
20,1585.86,1.2591,1.51593,1.63985,0.83762,0.69694,0.7535,0.79065,0.63924,0.56473,1.06926,1.03579,1.5779,0.00994499,0.00994499,0.00994499
21,1663.35,1.24632,1.48871,1.62894,0.84152,0.69067,0.75209,0.79525,0.62478,0.56316,1.07369,1.04552,1.59076,0.00993906,0.00993906,0.00993906
22,1740.58,1.23744,1.46249,1.60802,0.81198,0.708,0.74838,0.79374,0.63211,0.56964,1.04603,1.0283,1.54437,0.00993282,0.00993282,0.00993282
23,1817.88,1.22687,1.43619,1.60721,0.84235,0.71801,0.7683,0.81573,0.6653,0.58936,1.03203,0.96127,1.52701,0.00992629,0.00992629,0.00992629
24,1895.02,1.21241,1.42761,1.59123,0.86934,0.71756,0.77701,0.81389,0.65961,0.59145,1.02641,0.95402,1.52878,0.00991946,0.00991946,0.00991946
25,1972.2,1.20567,1.39702,1.58188,0.86038,0.72151,0.77814,0.81895,0.66534,0.59431,1.01854,0.95137,1.52235,0.00991232,0.00991232,0.00991232
26,2049.51,1.19334,1.37883,1.57449,0.82998,0.74202,0.77793,0.82049,0.66678,0.59783,1.00428,0.93097,1.51391,0.00990489,0.00990489,0.00990489
27,2125.82,1.18857,1.35953,1.56347,0.84898,0.73771,0.78265,0.82692,0.67434,0.6085,0.99061,0.91585,1.49308,0.00989715,0.00989715,0.00989715
28,2202.11,1.1788,1.34957,1.55944,0.86559,0.73721,0.78688,0.83307,0.68515,0.61384,0.97288,0.89855,1.47317,0.00988912,0.00988912,0.00988912
29,2278.01,1.16102,1.32073,1.54728,0.88004,0.74113,0.79893,0.83729,0.68056,0.61869,0.96789,0.87113,1.46916,0.00988079,0.00988079,0.00988079
30,2354.21,1.1712,1.32014,1.54285,0.87444,0.74361,0.79536,0.83977,0.68606,0.62143,0.96567,0.86563,1.46599,0.00987216,0.00987216,0.00987216
31,2430.28,1.15984,1.29989,1.53529,0.88986,0.73365,0.79867,0.84355,0.6988,0.62602,0.96526,0.85311,1.46116,0.00986323,0.00986323,0.00986323
32,2506.52,1.15516,1.29737,1.53509,0.86391,0.77363,0.81023,0.84693,0.71259,0.63344,0.93798,0.82541,1.44519,0.00985401,0.00985401,0.00985401
33,2582.47,1.14433,1.28665,1.52165,0.87399,0.75985,0.80781,0.84731,0.70971,0.63266,0.94311,0.8219,1.44359,0.00984449,0.00984449,0.00984449
34,2658.22,1.14343,1.27053,1.51531,0.86814,0.75464,0.80016,0.84372,0.70176,0.63516,0.92732,0.82224,1.42914,0.00983467,0.00983467,0.00983467
35,2734.41,1.13229,1.26812,1.51145,0.88953,0.76632,0.81735,0.85771,0.7164,0.64377,0.93239,0.79394,1.43271,0.00982456,0.00982456,0.00982456
36,2810.51,1.12894,1.24832,1.50621,0.87812,0.75607,0.80675,0.85234,0.71473,0.63802,0.93165,0.8028,1.43382,0.00981415,0.00981415,0.00981415
37,2886.77,1.12734,1.25048,1.501,0.88046,0.77747,0.82003,0.85708,0.72209,0.64824,0.90861,0.78979,1.41078,0.00980345,0.00980345,0.00980345
38,2963.24,1.1163,1.2218,1.49329,0.8853,0.78446,0.82609,0.86127,0.72771,0.65412,0.90057,0.76968,1.40178,0.00979246,0.00979246,0.00979246
39,3039.76,1.1029,1.20943,1.48507,0.89293,0.77189,0.8214,0.86226,0.7333,0.65492,0.90032,0.76508,1.40662,0.00978118,0.00978118,0.00978118
40,3115.98,1.10769,1.22301,1.48308,0.90009,0.77122,0.8239,0.86993,0.73141,0.66286,0.88827,0.75173,1.3858,0.0097696,0.0097696,0.0097696
41,3192.13,1.11437,1.2063,1.4907,0.91706,0.76209,0.82577,0.86576,0.73801,0.66309,0.89571,0.75098,1.3905,0.00975773,0.00975773,0.00975773
42,3268.95,1.10186,1.19266,1.4822,0.91691,0.76211,0.82501,0.86927,0.74559,0.66741,0.88771,0.74056,1.38676,0.00974557,0.00974557,0.00974557
43,3344.74,1.0908,1.18017,1.46168,0.89353,0.79464,0.8362,0.87488,0.74437,0.67192,0.87846,0.7248,1.37573,0.00973312,0.00973312,0.00973312
44,3420.93,1.09415,1.17763,1.46419,0.90448,0.79419,0.84061,0.87889,0.75259,0.67462,0.87069,0.72067,1.36703,0.00972039,0.00972039,0.00972039
45,3496.68,1.08963,1.16524,1.46276,0.90059,0.78865,0.83682,0.87542,0.74383,0.67232,0.87502,0.72234,1.37196,0.00970736,0.00970736,0.00970736
46,3572.9,1.0904,1.16504,1.46818,0.89249,0.7936,0.83549,0.87399,0.75113,0.6733,0.87265,0.7226,1.37165,0.00969405,0.00969405,0.00969405
47,3649.06,1.07915,1.1445,1.45464,0.9027,0.80241,0.84468,0.88077,0.76134,0.68141,0.86194,0.70225,1.36285,0.00968045,0.00968045,0.00968045
48,3725.68,1.07465,1.13785,1.44872,0.90313,0.78919,0.83788,0.8763,0.74477,0.67608,0.86358,0.70492,1.36562,0.00966656,0.00966656,0.00966656
49,3802.06,1.06614,1.12409,1.44011,0.90792,0.79547,0.84358,0.87852,0.75128,0.6785,0.85684,0.69677,1.35862,0.00965239,0.00965239,0.00965239
50,3878.52,1.07765,1.1392,1.44979,0.91098,0.7959,0.84581,0.88428,0.7611,0.68637,0.83994,0.67841,1.34121,0.00963794,0.00963794,0.00963794
51,3954.74,1.06731,1.12752,1.43924,0.90712,0.79441,0.84326,0.88629,0.75743,0.68658,0.84725,0.68809,1.34564,0.0096232,0.0096232,0.0096232
52,4030.99,1.06028,1.1097,1.43475,0.90048,0.81022,0.84874,0.88838,0.76191,0.69168,0.83785,0.66863,1.33686,0.00960819,0.00960819,0.00960819
53,4107.16,1.06211,1.11271,1.42994,0.90979,0.80357,0.84955,0.88705,0.77186,0.69032,0.83412,0.6618,1.33287,0.00959289,0.00959289,0.00959289
54,4183.29,1.05189,1.09348,1.42303,0.90706,0.81539,0.85552,0.8856,0.76928,0.69175,0.83733,0.66355,1.33297,0.00957731,0.00957731,0.00957731
55,4259.39,1.04628,1.10285,1.42484,0.9158,0.81058,0.85615,0.88917,0.76872,0.69559,0.82996,0.65931,1.3282,0.00956145,0.00956145,0.00956145
56,4335.59,1.05806,1.10212,1.42968,0.94153,0.79045,0.85399,0.88874,0.77464,0.69742,0.83063,0.66138,1.32891,0.00954531,0.00954531,0.00954531
57,4412.23,1.05203,1.09101,1.41929,0.93008,0.80031,0.85571,0.88911,0.76916,0.69396,0.82823,0.65983,1.32503,0.00952889,0.00952889,0.00952889
58,4488.62,1.04574,1.08868,1.41103,0.92554,0.80255,0.85515,0.89325,0.77098,0.69964,0.82321,0.65234,1.31702,0.0095122,0.0095122,0.0095122
59,4565.45,1.04569,1.07784,1.40982,0.93274,0.81126,0.86327,0.89733,0.77721,0.70292,0.81801,0.64342,1.30953,0.00949524,0.00949524,0.00949524
60,4641.85,1.04128,1.07164,1.4117,0.93434,0.81219,0.86402,0.89745,0.77665,0.70403,0.81634,0.6355,1.31069,0.009478,0.009478,0.009478
61,4718.05,1.03729,1.06623,1.40653,0.91921,0.82065,0.86235,0.89599,0.78032,0.70382,0.81445,0.635,1.31024,0.00946048,0.00946048,0.00946048
62,4794.82,1.03208,1.05751,1.40415,0.92268,0.81819,0.86284,0.8954,0.78038,0.70473,0.81571,0.6345,1.30752,0.0094427,0.0094427,0.0094427
63,4871.45,1.04185,1.06321,1.40357,0.93759,0.81168,0.8656,0.89669,0.78049,0.70618,0.80969,0.62704,1.30282,0.00942464,0.00942464,0.00942464
64,4948.04,1.03346,1.05969,1.40259,0.93924,0.81223,0.86686,0.89698,0.78557,0.70933,0.805,0.62388,1.29877,0.00940631,0.00940631,0.00940631
65,5024.46,1.03283,1.04217,1.40107,0.92592,0.81862,0.8649,0.89572,0.78843,0.70861,0.80369,0.62256,1.29933,0.00938772,0.00938772,0.00938772
66,5100.54,1.02649,1.03965,1.39607,0.92567,0.81721,0.86422,0.89659,0.78602,0.70867,0.80033,0.61921,1.29515,0.00936886,0.00936886,0.00936886
67,5177.4,1.02365,1.03757,1.38768,0.92404,0.81473,0.86195,0.89644,0.78756,0.71116,0.7963,0.61743,1.29154,0.00934973,0.00934973,0.00934973
68,5254.64,1.01847,1.02149,1.3873,0.92942,0.81334,0.86304,0.89746,0.78812,0.71208,0.79622,0.61506,1.29112,0.00933033,0.00933033,0.00933033
