epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2054,1.48129,3.87763,1.56298,0.30527,0.33227,0.2792,0.25646,0.15363,0.15331,1.42026,2.67056,1.6469,0.00332848,0.00332848,0.0700437
2,191.093,1.4537,2.78688,1.51545,0.44238,0.38826,0.37832,0.37663,0.22722,0.22674,1.4525,2.3413,1.61235,0.00666171,0.00666171,0.0400436
3,270.346,1.51602,2.53491,1.56508,0.40913,0.37315,0.34646,0.35514,0.20837,0.2071,1.57181,2.41389,1.75528,0.00999454,0.00999454,0.0100431
4,348.662,1.56026,2.44777,1.60354,0.56835,0.44655,0.43414,0.45566,0.29421,0.27871,1.47025,2.21812,1.63185,0.00999863,0.00999863,0.00999863
5,425.39,1.46423,2.16665,1.53705,0.67749,0.45638,0.51149,0.5309,0.34714,0.32639,1.40563,1.85481,1.59795,0.00999756,0.00999756,0.00999756
6,502.282,1.39649,1.99872,1.48834,0.63719,0.55582,0.58298,0.60547,0.44145,0.40447,1.24953,1.59322,1.46079,0.00999618,0.00999618,0.00999618
7,579.184,1.35507,1.86882,1.4635,0.64327,0.53917,0.54801,0.58654,0.42175,0.38949,1.25351,1.65911,1.45426,0.0099945,0.0099945,0.0099945
8,655.797,1.31442,1.77733,1.4361,0.70866,0.60373,0.63767,0.68069,0.53219,0.47766,1.13834,1.34684,1.34713,0.00999252,0.00999252,0.00999252
9,732.421,1.27775,1.6886,1.40121,0.75592,0.61267,0.66531,0.69436,0.54657,0.49353,1.07863,1.27962,1.31612,0.00999023,0.00999023,0.00999023
10,809.181,1.24979,1.6277,1.38969,0.79422,0.63171,0.6947,0.73398,0.57575,0.52327,1.06501,1.18669,1.30257,0.00998764,0.00998764,0.00998764
