epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2126,1.59535,4.19971,1.6244,0.16907,0.19819,0.17222,0.12592,0.08256,0.0803,1.48765,2.89752,1.60397,0.00332848,0.00332848,0.0700437
2,178.114,1.51114,3.10746,1.56427,0.32839,0.3327,0.30489,0.28497,0.1774,0.17097,1.38281,2.459,1.59069,0.00666171,0.00666171,0.0400436
3,261.511,1.53793,2.67529,1.58421,0.40335,0.32304,0.30138,0.29578,0.18587,0.17965,1.52158,2.47029,1.73088,0.00999454,0.00999454,0.0100431
4,344.033,1.57845,2.51291,1.60814,0.50577,0.38472,0.3938,0.39441,0.23651,0.23195,1.56743,2.38938,1.73622,0.00999863,0.00999863,0.00999863
5,427.237,1.48702,2.24056,1.54881,0.52357,0.41648,0.42242,0.44049,0.28644,0.27521,1.39932,2.1019,1.61398,0.00999756,0.00999756,0.00999756
6,509.35,1.40747,2.04741,1.49256,0.67442,0.52225,0.57552,0.59974,0.4347,0.398,1.24838,1.58455,1.40243,0.00999618,0.00999618,0.00999618
7,591.697,1.36549,1.92029,1.46296,0.68229,0.54662,0.58164,0.62201,0.44926,0.41522,1.21733,1.57388,1.39739,0.0099945,0.0099945,0.0099945
8,674.359,1.32694,1.81036,1.43988,0.74445,0.59073,0.64231,0.68034,0.52545,0.47639,1.14743,1.34625,1.33744,0.00999252,0.00999252,0.00999252
9,756.797,1.28773,1.72271,1.40048,0.71074,0.56101,0.59506,0.65177,0.49501,0.4515,1.13553,1.40994,1.33482,0.00999023,0.00999023,0.00999023
10,839.089,1.25979,1.65683,1.38156,0.76507,0.63956,0.68317,0.72838,0.5842,0.52316,1.03183,1.21095,1.25838,0.00998764,0.00998764,0.00998764
11,922.116,1.23155,1.60878,1.36436,0.79231,0.63371,0.69041,0.73033,0.58577,0.52874,1.04746,1.18941,1.2651,0.00998474,0.00998474,0.00998474
12,1005.2,1.20833,1.53809,1.34071,0.76184,0.64347,0.68297,0.73428,0.59894,0.53976,1.01123,1.16175,1.22598,0.00998154,0.00998154,0.00998154
13,1088.43,1.19037,1.50609,1.32772,0.79616,0.64758,0.70439,0.74274,0.61206,0.54759,1.00635,1.13514,1.23542,0.00997803,0.00997803,0.00997803
14,1171.76,1.18181,1.46785,1.32647,0.815,0.67351,0.72628,0.76518,0.62899,0.5683,0.98879,1.06709,1.22455,0.00997422,0.00997422,0.00997422
15,1255.48,1.169,1.43762,1.31457,0.78777,0.70758,0.73763,0.78659,0.65684,0.58755,0.96642,1.0103,1.19893,0.00997011,0.00997011,0.00997011
16,1338.3,1.15425,1.40994,1.30993,0.80764,0.70848,0.74732,0.79214,0.65959,0.59314,0.9549,0.98953,1.20076,0.00996569,0.00996569,0.00996569
17,1421.54,1.13997,1.37358,1.29994,0.82713,0.70002,0.74819,0.7947,0.66681,0.60093,0.92936,0.96233,1.174,0.00996097,0.00996097,0.00996097
18,1504.74,1.1156,1.33249,1.28479,0.84735,0.67928,0.745,0.79063,0.65701,0.59677,0.94792,0.98546,1.19809,0.00995594,0.00995594,0.00995594
19,1588.03,1.11766,1.3259,1.2794,0.85166,0.72154,0.77208,0.8127,0.67325,0.61253,0.91906,0.89588,1.16508,0.00995062,0.00995062,0.00995062
20,1671.2,1.10822,1.30744,1.27251,0.85941,0.71546,0.77358,0.81657,0.68623,0.61921,0.90849,0.89549,1.16057,0.00994499,0.00994499,0.00994499
21,1755.39,1.09718,1.27578,1.2688,0.85289,0.74535,0.79122,0.83013,0.69848,0.63378,0.88763,0.86329,1.14172,0.00993906,0.00993906,0.00993906
22,1839.02,1.08331,1.2662,1.25693,0.84536,0.7396,0.78229,0.82488,0.70665,0.63729,0.88545,0.86313,1.14434,0.00993282,0.00993282,0.00993282
23,1923.08,1.08279,1.24296,1.25817,0.86245,0.75513,0.8012,0.83543,0.70622,0.64073,0.86987,0.82308,1.12285,0.00992629,0.00992629,0.00992629
24,2006.98,1.07029,1.23502,1.24647,0.86989,0.74097,0.79324,0.83336,0.7138,0.64653,0.85639,0.81889,1.12923,0.00991946,0.00991946,0.00991946
25,2091,1.06353,1.21088,1.24052,0.88723,0.75111,0.80749,0.84882,0.72725,0.66057,0.84073,0.79598,1.11638,0.00991232,0.00991232,0.00991232
26,2174.94,1.05004,1.18684,1.23329,0.87953,0.75959,0.81001,0.84751,0.72422,0.66245,0.84254,0.77612,1.1104,0.00990489,0.00990489,0.00990489
