epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.6757,2.94193,4.24013,3.52645,0.19007,0.20094,0.14974,0.11853,0.02862,0.04805,2.30732,3.00112,2.99705,0.00332848,0.00332848,0.0700437
2,170.901,2.17824,3.15981,2.72084,0.32309,0.33907,0.2688,0.25989,0.09674,0.12136,1.92817,2.5522,2.57285,0.00666171,0.00666171,0.0400436
3,253.101,1.92834,2.89758,2.43355,0.34092,0.29282,0.24251,0.23982,0.11584,0.12355,1.86088,3.10323,2.50396,0.00999454,0.00999454,0.0100431
4,334.898,1.81457,2.76337,2.28872,0.42532,0.33565,0.24025,0.27891,0.13721,0.14302,1.7588,3.00228,2.35561,0.00999863,0.00999863,0.00999863
5,416.167,1.69382,2.52624,2.14728,0.48878,0.39415,0.36437,0.40826,0.22405,0.22588,1.59941,2.27969,2.20403,0.00999756,0.00999756,0.00999756
6,497.962,1.61649,2.35357,2.05844,0.58141,0.45762,0.44252,0.4993,0.30841,0.29184,1.51009,2.06908,2.1028,0.00999618,0.00999618,0.00999618
7,579.684,1.57145,2.24863,2.00874,0.5836,0.46483,0.49129,0.51916,0.31937,0.30762,1.47452,1.87508,2.04416,0.0099945,0.0099945,0.0099945
8,661.175,1.52008,2.15089,1.95779,0.60244,0.51251,0.51044,0.5597,0.37573,0.34517,1.41734,1.84386,1.97895,0.00999252,0.00999252,0.00999252
9,742.701,1.47848,2.0584,1.9075,0.5996,0.52504,0.53518,0.57595,0.39599,0.3632,1.37266,1.68798,1.94007,0.00999023,0.00999023,0.00999023
10,824.465,1.45089,1.97682,1.86991,0.67423,0.58251,0.61215,0.65478,0.4406,0.41524,1.33365,1.53824,1.8692,0.00998764,0.00998764,0.00998764
11,906.201,1.42832,1.92153,1.84496,0.69379,0.59318,0.63105,0.66954,0.48534,0.43717,1.28136,1.45917,1.85449,0.00998474,0.00998474,0.00998474
12,987.811,1.39481,1.84102,1.80442,0.74496,0.59912,0.65035,0.67943,0.5078,0.45316,1.25649,1.42758,1.79756,0.00998154,0.00998154,0.00998154
13,1069.56,1.36852,1.8083,1.78175,0.74978,0.65433,0.6885,0.72633,0.54219,0.48591,1.22061,1.30857,1.73961,0.00997803,0.00997803,0.00997803
14,1151.36,1.35448,1.75026,1.75905,0.75402,0.66709,0.7007,0.73117,0.57141,0.50336,1.15944,1.26086,1.71136,0.00997422,0.00997422,0.00997422
15,1234.04,1.33214,1.71229,1.73415,0.73733,0.65569,0.6838,0.73455,0.55817,0.50021,1.16306,1.27484,1.71165,0.00997011,0.00997011,0.00997011
16,1316.23,1.31858,1.68144,1.72719,0.76525,0.66737,0.70085,0.74867,0.57869,0.51929,1.14778,1.21572,1.68191,0.00996569,0.00996569,0.00996569
17,1398.75,1.30399,1.64495,1.70325,0.77039,0.66741,0.7001,0.73851,0.56368,0.51032,1.14357,1.21483,1.66615,0.00996097,0.00996097,0.00996097
18,1481.31,1.27607,1.59041,1.67987,0.78208,0.67434,0.71573,0.76058,0.58711,0.53316,1.10978,1.15421,1.64936,0.00995594,0.00995594,0.00995594
19,1564.32,1.27234,1.56899,1.66751,0.79306,0.66805,0.71024,0.7626,0.59974,0.5344,1.10083,1.16865,1.62749,0.00995062,0.00995062,0.00995062
20,1646.98,1.26202,1.55498,1.66085,0.812,0.68095,0.73119,0.7696,0.61351,0.54889,1.06058,1.08681,1.58674,0.00994499,0.00994499,0.00994499
21,1729.42,1.25301,1.52709,1.64462,0.81697,0.67567,0.73064,0.77256,0.6213,0.5547,1.05902,1.08172,1.58466,0.00993906,0.00993906,0.00993906
22,1812.32,1.23584,1.4918,1.62392,0.80978,0.68291,0.73537,0.77184,0.62116,0.55358,1.06259,1.10059,1.58472,0.00993282,0.00993282,0.00993282
23,1894.79,1.22891,1.47451,1.62236,0.83538,0.71171,0.76229,0.79593,0.65132,0.57557,1.02262,1.02934,1.5381,0.00992629,0.00992629,0.00992629
24,1977.46,1.22136,1.46843,1.61363,0.85677,0.70059,0.76532,0.80291,0.64755,0.58059,1.02737,1.00553,1.54522,0.00991946,0.00991946,0.00991946
