epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3598,3.16891,4.58574,3.69817,0.09992,0.14002,0.09873,0.06067,0.01041,0.02222,2.54003,3.33048,3.22356,0.00332848,0.00332848,0.0700437
2,169.892,2.2658,3.41586,2.78638,0.23876,0.2336,0.19862,0.15056,0.05283,0.06928,2.05837,2.89214,2.6736,0.00666171,0.00666171,0.0400436
3,257.261,1.95885,3.06346,2.45972,0.2131,0.25061,0.17098,0.14907,0.06247,0.07157,1.97127,3.78375,2.59646,0.00999454,0.00999454,0.0100431
4,325.973,1.83264,2.8703,2.31415,0.39534,0.34459,0.31928,0.29944,0.15132,0.15761,1.73069,2.54845,2.34476,0.00999863,0.00999863,0.00999863
5,394.082,1.71823,2.61702,2.19055,0.40844,0.42258,0.3736,0.38584,0.20293,0.20991,1.6053,2.41967,2.22825,0.00999756,0.00999756,0.00999756
6,462.331,1.63501,2.44317,2.10451,0.46793,0.44797,0.42166,0.45119,0.28051,0.26502,1.52773,2.07047,2.12949,0.00999618,0.00999618,0.00999618
7,530.318,1.59216,2.33438,2.04955,0.49871,0.46706,0.44725,0.46189,0.29784,0.27598,1.46332,2.03404,2.06735,0.0099945,0.0099945,0.0099945
8,598.303,1.54214,2.23008,2.00008,0.60283,0.51722,0.54145,0.55807,0.37256,0.3423,1.41289,1.74047,1.9927,0.00999252,0.00999252,0.00999252
9,666.142,1.5014,2.13594,1.94925,0.59805,0.45963,0.48064,0.51646,0.33419,0.3146,1.40877,1.88576,2.00905,0.00999023,0.00999023,0.00999023
10,733.901,1.47143,2.06114,1.91848,0.62169,0.54108,0.56619,0.58573,0.39221,0.36653,1.34507,1.72458,1.91824,0.00998764,0.00998764,0.00998764
