epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7497,0.4954,0.3252,0.90894,0.94157,0.87761,0.90654,0.92108,0.84247,0.77788,0.65018,0.44321,1.02,0.000166424,0.000166424,0.0668816
2,148.47,0.48624,0.31619,0.90544,0.94045,0.88359,0.90924,0.92346,0.84795,0.77841,0.65458,0.44199,1.02143,0.000333082,0.000333082,0.0337149
3,218.69,0.48556,0.31124,0.90582,0.94467,0.87143,0.90427,0.92245,0.84122,0.77532,0.65449,0.44494,1.01876,0.000499703,0.000499703,0.000548223
4,287.814,0.48447,0.31458,0.90352,0.94861,0.86991,0.90556,0.92374,0.84194,0.77702,0.65778,0.44402,1.01915,0.000499878,0.000499878,0.000499878
5,357.616,0.48224,0.30966,0.89939,0.94262,0.87623,0.90642,0.92209,0.84101,0.77501,0.65639,0.44656,1.02254,0.000499783,0.000499783,0.000499783
6,428.276,0.47905,0.3067,0.89889,0.94113,0.87946,0.90767,0.92049,0.84185,0.77615,0.64962,0.44502,1.01917,0.000499661,0.000499661,0.000499661
7,499.223,0.47791,0.30772,0.89958,0.93392,0.88367,0.90689,0.91952,0.83851,0.77303,0.65852,0.45347,1.02367,0.000499512,0.000499512,0.000499512
8,568.988,0.47556,0.30482,0.89789,0.94204,0.87134,0.9032,0.91964,0.84059,0.77451,0.66011,0.45317,1.02776,0.000499335,0.000499335,0.000499335
9,638.755,0.47441,0.3039,0.89646,0.94203,0.87664,0.90597,0.92113,0.83842,0.77428,0.65452,0.4524,1.02128,0.000499132,0.000499132,0.000499132
10,706.932,0.47156,0.30414,0.89554,0.94235,0.87309,0.90438,0.92061,0.8461,0.77421,0.65661,0.44866,1.0214,0.000498902,0.000498902,0.000498902
11,777.895,0.47389,0.30517,0.8976,0.92757,0.88263,0.90333,0.92132,0.84346,0.77482,0.65612,0.44962,1.02596,0.000498644,0.000498644,0.000498644
