epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.634,0.6206,0.50757,1.01103,0.93561,0.88609,0.90846,0.92892,0.84572,0.78071,0.65243,0.44149,1.03385,0.000166424,0.000166424,0.0668816
2,216.857,0.6268,0.51319,1.0117,0.94066,0.8865,0.91114,0.93118,0.84414,0.77964,0.6587,0.44016,1.03829,0.000333082,0.000333082,0.0337149
3,314.126,0.61849,0.50069,1.00546,0.94616,0.88014,0.91029,0.93062,0.83855,0.77744,0.66049,0.442,1.04171,0.000499703,0.000499703,0.000548223
4,413.368,0.62209,0.50732,1.01056,0.95072,0.87921,0.9115,0.93086,0.84335,0.77786,0.66232,0.4459,1.04233,0.000499878,0.000499878,0.000499878
5,513.244,0.61442,0.49699,1.00283,0.93065,0.89698,0.91207,0.93133,0.83961,0.77711,0.66108,0.44387,1.04271,0.000499783,0.000499783,0.000499783
6,612.738,0.61407,0.49943,0.99968,0.94033,0.89209,0.91384,0.93132,0.84336,0.77902,0.6581,0.43791,1.03954,0.000499661,0.000499661,0.000499661
7,709.315,0.6192,0.50535,1.00575,0.93391,0.89865,0.91487,0.93217,0.84422,0.77893,0.65513,0.43797,1.03695,0.000499512,0.000499512,0.000499512
8,808.526,0.61637,0.50065,1.0048,0.93024,0.89722,0.91213,0.93169,0.83848,0.77948,0.65837,0.4416,1.04132,0.000499335,0.000499335,0.000499335
9,906.039,0.61123,0.49877,0.99728,0.95155,0.88203,0.91337,0.93053,0.83853,0.77827,0.65664,0.4408,1.03854,0.000499132,0.000499132,0.000499132
10,1005.9,0.61352,0.49313,1.00038,0.94323,0.89151,0.91479,0.93164,0.84231,0.7789,0.65587,0.43643,1.0386,0.000498902,0.000498902,0.000498902
11,1106.05,0.6181,0.50241,1.00384,0.93969,0.8913,0.91325,0.93023,0.83728,0.77685,0.66117,0.43937,1.04163,0.000498644,0.000498644,0.000498644
12,1205.47,0.60953,0.49195,0.99519,0.94576,0.88701,0.9136,0.92947,0.83899,0.77898,0.65887,0.43831,1.04365,0.00049836,0.00049836,0.00049836
13,1305.45,0.60735,0.48862,0.99356,0.93972,0.89315,0.91442,0.92983,0.8458,0.78071,0.65684,0.43697,1.04489,0.000498048,0.000498048,0.000498048
14,1402.8,0.6105,0.49347,0.99626,0.93764,0.89061,0.91177,0.92996,0.84002,0.78025,0.65683,0.4409,1.04038,0.00049771,0.00049771,0.00049771
15,1499.58,0.61182,0.49726,0.99826,0.94501,0.88502,0.91222,0.92974,0.84324,0.77987,0.65811,0.44163,1.04077,0.000497345,0.000497345,0.000497345
16,1596.66,0.61289,0.49729,0.99994,0.94442,0.88654,0.91307,0.93082,0.84804,0.78107,0.65863,0.43477,1.04209,0.000496953,0.000496953,0.000496953
17,1693.51,0.60988,0.49483,0.9999,0.94394,0.88938,0.91419,0.93036,0.83635,0.77791,0.66492,0.43799,1.04493,0.000496534,0.000496534,0.000496534
18,1790.72,0.60246,0.49064,0.99506,0.95047,0.88127,0.91278,0.92921,0.84317,0.77869,0.66183,0.44146,1.045,0.000496088,0.000496088,0.000496088
19,1887.66,0.60762,0.49058,0.99563,0.94957,0.88179,0.91271,0.9287,0.84049,0.778,0.66263,0.43904,1.04556,0.000495616,0.000495616,0.000495616
20,1984.18,0.6079,0.49407,0.9972,0.94549,0.88608,0.9133,0.93025,0.84202,0.77909,0.66254,0.4388,1.044,0.000495117,0.000495117,0.000495117
21,2081.06,0.60738,0.49131,0.99825,0.9404,0.88927,0.91293,0.92948,0.83777,0.77813,0.65856,0.44197,1.04491,0.000494592,0.000494592,0.000494592
22,2177.59,0.60295,0.48677,0.99498,0.94123,0.88811,0.91249,0.9312,0.8396,0.77962,0.6576,0.44295,1.04354,0.000494039,0.000494039,0.000494039
23,2274.56,0.60367,0.48813,0.99511,0.94559,0.88434,0.91251,0.931,0.84059,0.77947,0.65782,0.43827,1.04503,0.000493461,0.000493461,0.000493461
24,2371.39,0.60655,0.49379,0.99631,0.95004,0.881,0.91234,0.93149,0.83991,0.77972,0.65764,0.43791,1.04135,0.000492856,0.000492856,0.000492856
25,2468.1,0.60635,0.49377,0.99324,0.94143,0.88823,0.91248,0.93246,0.84052,0.77773,0.65771,0.44103,1.04236,0.000492224,0.000492224,0.000492224
26,2565.09,0.59917,0.49089,0.99185,0.93614,0.89634,0.91457,0.93182,0.8407,0.77966,0.65695,0.43755,1.04339,0.000491567,0.000491567,0.000491567
27,2661.66,0.60088,0.48713,0.99233,0.94747,0.8813,0.9113,0.92933,0.84192,0.77852,0.65978,0.4407,1.04689,0.000490883,0.000490883,0.000490883
28,2758.2,0.60381,0.49125,0.99787,0.94197,0.8876,0.91233,0.93136,0.84098,0.77764,0.65985,0.44097,1.04432,0.000490173,0.000490173,0.000490173
29,2854.89,0.60088,0.48962,0.99348,0.94308,0.88677,0.91251,0.93157,0.8382,0.77979,0.65965,0.4404,1.04137,0.000489437,0.000489437,0.000489437
30,2951.42,0.60418,0.49208,0.99468,0.93569,0.88609,0.90847,0.92869,0.836,0.77646,0.65346,0.43939,1.0419,0.000488674,0.000488674,0.000488674
31,3047.81,0.60584,0.49091,0.99441,0.94056,0.8872,0.91177,0.93033,0.83783,0.77842,0.65436,0.4379,1.04231,0.000487886,0.000487886,0.000487886
32,3147.21,0.59959,0.48486,0.99285,0.93628,0.89289,0.91244,0.93002,0.84082,0.77752,0.65814,0.43959,1.04367,0.000487073,0.000487073,0.000487073
33,3246.41,0.59952,0.48556,0.99108,0.93937,0.8909,0.91276,0.9313,0.83634,0.77796,0.6612,0.43992,1.04465,0.000486233,0.000486233,0.000486233
34,3342.69,0.59797,0.48565,0.98883,0.94774,0.88604,0.91401,0.92944,0.83906,0.77812,0.65884,0.43998,1.04514,0.000485368,0.000485368,0.000485368
35,3439.22,0.60107,0.48538,0.99645,0.9411,0.8884,0.91219,0.93129,0.84019,0.78062,0.65645,0.43379,1.04395,0.000484477,0.000484477,0.000484477
36,3538.16,0.59634,0.48549,0.99291,0.94323,0.88849,0.91381,0.93013,0.83913,0.77857,0.65729,0.43047,1.04582,0.000483561,0.000483561,0.000483561
37,3634.82,0.60248,0.49106,0.99303,0.94155,0.89088,0.91391,0.93154,0.84121,0.77979,0.65691,0.43088,1.0426,0.00048262,0.00048262,0.00048262
38,3732.13,0.59528,0.48356,0.99018,0.94781,0.88716,0.91489,0.93094,0.83802,0.77825,0.65721,0.43455,1.04088,0.000481653,0.000481653,0.000481653
39,3829.12,0.59186,0.47812,0.98866,0.93934,0.89185,0.91364,0.9304,0.84163,0.77922,0.65917,0.43922,1.04427,0.000480661,0.000480661,0.000480661
40,3925.68,0.59563,0.48595,0.98896,0.94336,0.89032,0.91456,0.92886,0.84011,0.77897,0.65769,0.43794,1.04441,0.000479644,0.000479644,0.000479644
