epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.859,0.60626,0.48721,1.01422,0.95268,0.86368,0.90385,0.92386,0.84484,0.7751,0.66384,0.45452,1.07541,0.000166424,0.000166424,0.0668816
2,200.58,0.61065,0.49695,1.01816,0.92921,0.87901,0.90207,0.92366,0.84329,0.77538,0.66126,0.4535,1.07588,0.000333082,0.000333082,0.0337149
3,299.458,0.60487,0.48668,1.01207,0.93992,0.87948,0.90694,0.92439,0.83513,0.77288,0.66528,0.45381,1.07811,0.000499703,0.000499703,0.000548223
4,395.058,0.60939,0.49305,1.01674,0.94396,0.86869,0.90296,0.92318,0.84003,0.7723,0.66788,0.4599,1.07761,0.000499878,0.000499878,0.000499878
5,491.782,0.60294,0.4878,1.0117,0.9521,0.86861,0.90663,0.92367,0.84127,0.77596,0.66176,0.45513,1.07669,0.000499783,0.000499783,0.000499783
6,588.835,0.60396,0.48822,1.0083,0.93867,0.87526,0.90418,0.92513,0.84403,0.77607,0.65847,0.45386,1.07469,0.000499661,0.000499661,0.000499661
7,684.719,0.60899,0.49145,1.01486,0.94653,0.87244,0.90641,0.92531,0.84183,0.77586,0.66336,0.45559,1.07414,0.000499512,0.000499512,0.000499512
8,779.981,0.60283,0.48732,1.01131,0.93762,0.88229,0.90765,0.92472,0.84372,0.77627,0.6592,0.44932,1.07694,0.000499335,0.000499335,0.000499335
9,874.279,0.59828,0.4873,1.00521,0.94267,0.87573,0.9062,0.92361,0.83868,0.7745,0.66472,0.45004,1.08077,0.000499132,0.000499132,0.000499132
10,966.859,0.60271,0.48186,1.0087,0.95114,0.86638,0.90471,0.92334,0.84332,0.77474,0.66603,0.45714,1.07869,0.000498902,0.000498902,0.000498902
11,1057.9,0.60676,0.49206,1.0108,0.94368,0.869,0.90293,0.92324,0.83954,0.77447,0.66276,0.45527,1.0747,0.000498644,0.000498644,0.000498644
12,1149.69,0.59821,0.48121,1.00301,0.94634,0.87509,0.90774,0.92465,0.84466,0.77601,0.66084,0.45122,1.07587,0.00049836,0.00049836,0.00049836
13,1244.23,0.59694,0.47933,1.00139,0.94506,0.86915,0.90366,0.92497,0.8423,0.77394,0.66301,0.45393,1.07747,0.000498048,0.000498048,0.000498048
