epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.205,0.71647,0.613,1.0501,0.95017,0.89693,0.92077,0.94819,0.88988,0.81971,0.58614,0.41915,0.96659,0.00333152,0.00333152,0.0700163
2,646.505,0.73952,0.64342,1.05318,0.93472,0.87686,0.90184,0.9323,0.86649,0.79079,0.63888,0.48119,0.99672,0.00666468,0.00666468,0.0400161
3,1003.67,0.79666,0.72769,1.08112,0.90815,0.80334,0.84516,0.88158,0.80002,0.72453,0.72605,0.64674,1.05285,0.0099971,0.0099971,0.0100152
4,1340.9,0.85628,0.82378,1.11563,0.86009,0.76235,0.80002,0.83526,0.74627,0.67554,0.77908,0.74569,1.09931,0.00999756,0.00999756,0.00999756
5,1686.32,0.85693,0.823,1.11583,0.85928,0.74925,0.79015,0.82693,0.74295,0.67029,0.77277,0.79079,1.08914,0.00999566,0.00999566,0.00999566
6,2032.86,0.85596,0.82332,1.11721,0.89803,0.75112,0.80712,0.83894,0.75694,0.6844,0.76255,0.75983,1.08868,0.00999322,0.00999322,0.00999322
7,2365.37,0.85319,0.81586,1.10992,0.86332,0.75768,0.79867,0.83526,0.75133,0.67969,0.7645,0.7445,1.08428,0.00999023,0.00999023,0.00999023
8,2725.75,0.84852,0.80736,1.10918,0.86873,0.7525,0.79893,0.83299,0.75394,0.68349,0.75353,0.75358,1.08096,0.00998671,0.00998671,0.00998671
9,3116.22,0.84371,0.7975,1.10788,0.88045,0.76277,0.80737,0.84183,0.76631,0.69193,0.74005,0.72414,1.07515,0.00998264,0.00998264,0.00998264
10,3506.75,0.83849,0.78881,1.10284,0.87807,0.76428,0.81146,0.84239,0.76313,0.69259,0.73564,0.71299,1.07223,0.00997803,0.00997803,0.00997803
11,3876.09,0.83732,0.78711,1.1015,0.89024,0.75963,0.81115,0.8422,0.76468,0.69173,0.73485,0.71452,1.06693,0.00997288,0.00997288,0.00997288
12,4251.39,0.83465,0.78618,1.10238,0.86704,0.75584,0.79894,0.83436,0.74885,0.68302,0.73999,0.71612,1.07221,0.0099672,0.0099672,0.0099672
13,4617.69,0.82933,0.77665,1.1003,0.87497,0.75036,0.79364,0.82892,0.75437,0.6867,0.72491,0.73149,1.06431,0.00996097,0.00996097,0.00996097
14,5019.56,0.82641,0.76671,1.0992,0.87347,0.76204,0.80521,0.83938,0.76751,0.69703,0.7189,0.69771,1.06096,0.0099542,0.0099542,0.0099542
15,5416.14,0.82292,0.76527,1.09566,0.88279,0.77127,0.81377,0.84892,0.77631,0.70824,0.70412,0.67459,1.05126,0.0099469,0.0099469,0.0099469
16,5820.67,0.82372,0.76491,1.09547,0.8887,0.77154,0.81684,0.85299,0.7812,0.71275,0.69403,0.66345,1.04576,0.00993906,0.00993906,0.00993906
17,6208.64,0.81987,0.76095,1.09548,0.88685,0.7641,0.80794,0.84582,0.77672,0.70826,0.69224,0.67716,1.04529,0.00993068,0.00993068,0.00993068
18,6593.51,0.82044,0.75927,1.09335,0.88778,0.77427,0.81838,0.85277,0.78075,0.71301,0.69145,0.65792,1.04404,0.00992177,0.00992177,0.00992177
19,6995.54,0.81595,0.75325,1.09114,0.88383,0.77721,0.81759,0.85107,0.77911,0.71363,0.68526,0.65225,1.03905,0.00991232,0.00991232,0.00991232
20,7385.78,0.81275,0.74766,1.08804,0.87191,0.78515,0.81655,0.85419,0.78074,0.71627,0.68119,0.64638,1.0358,0.00990234,0.00990234,0.00990234
21,7771.52,0.8148,0.74626,1.09028,0.88193,0.78287,0.8186,0.85507,0.78385,0.71969,0.67568,0.64127,1.03503,0.00989183,0.00989183,0.00989183
22,8138.96,0.81013,0.7423,1.08626,0.88068,0.7762,0.81499,0.85269,0.78268,0.71799,0.67598,0.6453,1.03492,0.00988079,0.00988079,0.00988079
23,8502.51,0.80767,0.74008,1.08522,0.88532,0.78397,0.8229,0.85923,0.78983,0.72454,0.66794,0.63199,1.03027,0.00986922,0.00986922,0.00986922
24,8868.07,0.80795,0.74507,1.08848,0.88702,0.78121,0.82133,0.85376,0.78629,0.72085,0.66804,0.64428,1.03243,0.00985711,0.00985711,0.00985711
25,9232.34,0.80913,0.74053,1.08965,0.88271,0.7773,0.81556,0.85307,0.78626,0.72074,0.66598,0.64584,1.03176,0.00984449,0.00984449,0.00984449
26,9595.29,0.80429,0.73564,1.08376,0.88447,0.77616,0.81447,0.85443,0.78515,0.72294,0.66212,0.63779,1.02856,0.00983133,0.00983133,0.00983133
27,9956.14,0.80019,0.72959,1.08297,0.88592,0.77865,0.81698,0.85537,0.78666,0.72424,0.65929,0.6352,1.0265,0.00981765,0.00981765,0.00981765
28,10319,0.80474,0.73422,1.08668,0.88826,0.77516,0.81484,0.85352,0.78624,0.72328,0.65697,0.64096,1.02492,0.00980345,0.00980345,0.00980345
29,10682.9,0.79894,0.72542,1.08004,0.89077,0.77731,0.81794,0.85487,0.78859,0.72492,0.65495,0.63639,1.02364,0.00978873,0.00978873,0.00978873
30,11044.7,0.79551,0.72585,1.07921,0.88946,0.77732,0.81781,0.85484,0.78899,0.72566,0.65258,0.63675,1.02243,0.00977349,0.00977349,0.00977349
31,11418,0.79759,0.72524,1.0806,0.89234,0.77506,0.81712,0.85336,0.78879,0.72533,0.65194,0.63952,1.02197,0.00975773,0.00975773,0.00975773
32,11785.2,0.79704,0.72175,1.08135,0.89647,0.77457,0.8188,0.85506,0.79002,0.72681,0.65032,0.63481,1.02077,0.00974145,0.00974145,0.00974145
33,12157.7,0.79603,0.72057,1.08065,0.88937,0.77918,0.81939,0.85604,0.79069,0.72758,0.64949,0.63116,1.02021,0.00972466,0.00972466,0.00972466
34,12530.4,0.79403,0.71394,1.07786,0.8826,0.78426,0.82035,0.8571,0.79167,0.72878,0.64843,0.62749,1.01927,0.00970736,0.00970736,0.00970736
35,12908.9,0.79193,0.71908,1.07556,0.88431,0.78406,0.82093,0.85805,0.79314,0.7294,0.64793,0.62518,1.01911,0.00968955,0.00968955,0.00968955
36,13288.5,0.7911,0.71582,1.07638,0.88236,0.78562,0.8212,0.85898,0.79341,0.7301,0.64713,0.62318,1.01868,0.00967122,0.00967122,0.00967122
37,13652.5,0.79196,0.71928,1.07838,0.87977,0.78687,0.82122,0.8591,0.79318,0.73014,0.64644,0.62282,1.01848,0.00965239,0.00965239,0.00965239
38,14019.5,0.78833,0.70597,1.07305,0.88226,0.78598,0.82131,0.85905,0.79315,0.73024,0.64614,0.62357,1.01846,0.00963306,0.00963306,0.00963306
39,14383.1,0.79345,0.71311,1.07809,0.88505,0.7853,0.82215,0.85976,0.79393,0.73112,0.64545,0.62174,1.0182,0.00961322,0.00961322,0.00961322
