epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.505,0.72349,0.62935,1.03917,0.9504,0.9002,0.92346,0.94756,0.88848,0.81612,0.59455,0.42151,0.94688,0.00333152,0.00333152,0.0700163
2,566.514,0.74008,0.65259,1.03952,0.94046,0.88125,0.90753,0.93564,0.86925,0.797,0.63037,0.47487,0.96541,0.00666468,0.00666468,0.0400161
3,833.54,0.78919,0.7233,1.06437,0.90846,0.81187,0.85235,0.89139,0.80918,0.73464,0.71275,0.6129,1.01615,0.0099971,0.0099971,0.0100152
4,1087.35,0.84624,0.81371,1.09238,0.8909,0.78055,0.82651,0.85227,0.76694,0.69273,0.76728,0.72394,1.05713,0.00999756,0.00999756,0.00999756
5,1343.93,0.84713,0.81294,1.09247,0.84174,0.73394,0.77469,0.80823,0.71215,0.64461,0.81154,0.81407,1.08754,0.00999566,0.00999566,0.00999566
6,1597,0.84483,0.80957,1.09301,0.86859,0.7659,0.80674,0.84204,0.76057,0.68792,0.75316,0.71412,1.04471,0.00999322,0.00999322,0.00999322
7,1855.14,0.84198,0.80132,1.08781,0.87637,0.76639,0.81036,0.84558,0.75908,0.68944,0.74686,0.71192,1.04586,0.00999023,0.00999023,0.00999023
8,2109.79,0.83824,0.80024,1.08718,0.8797,0.75577,0.80331,0.83886,0.7601,0.68879,0.74187,0.72739,1.04616,0.00998671,0.00998671,0.00998671
9,2366.75,0.83177,0.78958,1.0848,0.87318,0.75673,0.80296,0.83542,0.7537,0.68461,0.75467,0.72536,1.05435,0.00998264,0.00998264,0.00998264
10,2621.02,0.83244,0.78796,1.08449,0.87156,0.76984,0.80994,0.84724,0.77097,0.69975,0.72315,0.70445,1.03998,0.00997803,0.00997803,0.00997803
11,2877.48,0.83189,0.78765,1.08445,0.87386,0.76579,0.81022,0.83894,0.75585,0.68796,0.74145,0.70804,1.04473,0.00997288,0.00997288,0.00997288
12,3131.78,0.82909,0.78002,1.0842,0.86415,0.75523,0.79525,0.82893,0.7523,0.6846,0.73589,0.7296,1.05115,0.0099672,0.0099672,0.0099672
13,3389.22,0.82348,0.76997,1.07759,0.86172,0.76299,0.80048,0.83393,0.75364,0.68733,0.73249,0.70635,1.04356,0.00996097,0.00996097,0.00996097
14,3644.53,0.82543,0.77437,1.08247,0.88361,0.7651,0.81007,0.8473,0.77214,0.70209,0.71788,0.68761,1.03724,0.0099542,0.0099542,0.0099542
15,3900.84,0.82207,0.76656,1.07769,0.88684,0.77962,0.82108,0.85499,0.78139,0.71085,0.70352,0.65914,1.02505,0.0099469,0.0099469,0.0099469
16,4156.02,0.81619,0.7625,1.07438,0.88669,0.7688,0.81397,0.84974,0.77581,0.70788,0.70237,0.66534,1.02332,0.00993906,0.00993906,0.00993906
17,4414.42,0.81676,0.76108,1.07445,0.87455,0.76325,0.8018,0.84263,0.76698,0.70062,0.70793,0.68705,1.02536,0.00993068,0.00993068,0.00993068
18,4668.08,0.81778,0.75879,1.07504,0.86591,0.77597,0.81009,0.84513,0.77128,0.70501,0.69769,0.66856,1.02368,0.00992177,0.00992177,0.00992177
19,4925.17,0.81031,0.75263,1.0715,0.87261,0.76648,0.80388,0.84262,0.77057,0.7038,0.70027,0.66961,1.02647,0.00991232,0.00991232,0.00991232
20,5179.86,0.80927,0.75295,1.07071,0.87533,0.77945,0.81474,0.85313,0.78141,0.71394,0.68708,0.64749,1.0151,0.00990234,0.00990234,0.00990234
21,5437.42,0.81172,0.75112,1.07312,0.88393,0.77988,0.81985,0.85228,0.78028,0.71439,0.68772,0.64481,1.01808,0.00989183,0.00989183,0.00989183
22,5691.1,0.80895,0.74684,1.0701,0.87753,0.77177,0.80923,0.84588,0.77461,0.70941,0.68906,0.66476,1.01935,0.00988079,0.00988079,0.00988079
23,5946.53,0.80505,0.74372,1.06925,0.88267,0.77125,0.81331,0.84977,0.77605,0.71201,0.68659,0.65536,1.01926,0.00986922,0.00986922,0.00986922
24,6198.92,0.80719,0.74169,1.06968,0.87815,0.78005,0.81623,0.8528,0.78309,0.71696,0.67816,0.64425,1.01203,0.00985711,0.00985711,0.00985711
25,6453.68,0.80395,0.73909,1.06755,0.88417,0.77663,0.81616,0.85416,0.78414,0.7191,0.67376,0.6419,1.01053,0.00984449,0.00984449,0.00984449
26,6707.67,0.80209,0.73944,1.0664,0.87938,0.78243,0.81726,0.85462,0.78539,0.72066,0.67051,0.64249,1.01001,0.00983133,0.00983133,0.00983133
27,6964.9,0.79957,0.73469,1.06615,0.88784,0.77699,0.81694,0.85251,0.78444,0.71975,0.66584,0.64475,1.00716,0.00981765,0.00981765,0.00981765
28,7218.76,0.80247,0.73652,1.06741,0.88107,0.77911,0.8149,0.85188,0.78302,0.72014,0.66406,0.64547,1.00614,0.00980345,0.00980345,0.00980345
29,7474.92,0.79867,0.72849,1.06436,0.88475,0.7767,0.81525,0.85217,0.78411,0.72126,0.66218,0.6407,1.0041,0.00978873,0.00978873,0.00978873
30,7729.26,0.79513,0.72936,1.06328,0.88467,0.77573,0.81482,0.85166,0.78447,0.72093,0.66144,0.64052,1.00336,0.00977349,0.00977349,0.00977349
31,7985.88,0.79662,0.72831,1.06338,0.88459,0.77563,0.81517,0.85236,0.78472,0.72146,0.66084,0.63928,1.00291,0.00975773,0.00975773,0.00975773
32,8240.32,0.79472,0.72733,1.06323,0.88437,0.77682,0.81567,0.85358,0.78683,0.72311,0.6602,0.63616,1.00239,0.00974145,0.00974145,0.00974145
33,8497.68,0.79422,0.72481,1.06192,0.88024,0.78138,0.81641,0.85383,0.78606,0.72314,0.65906,0.63626,1.0018,0.00972466,0.00972466,0.00972466
34,8751.21,0.79267,0.72115,1.05902,0.88038,0.78012,0.81546,0.85316,0.78514,0.72292,0.65874,0.63874,1.0016,0.00970736,0.00970736,0.00970736
35,9008.27,0.78929,0.71926,1.05813,0.87926,0.78043,0.81507,0.85296,0.78619,0.72324,0.65816,0.63953,1.00153,0.00968955,0.00968955,0.00968955
36,9263.26,0.79214,0.72289,1.06149,0.88219,0.77822,0.81447,0.85249,0.78589,0.72268,0.65821,0.6396,1.00218,0.00967122,0.00967122,0.00967122
37,9519.25,0.79201,0.72026,1.06147,0.88105,0.77957,0.81476,0.85257,0.78551,0.72296,0.6578,0.63937,1.00188,0.00965239,0.00965239,0.00965239
38,9773.82,0.79008,0.71552,1.05711,0.88069,0.77974,0.81458,0.85267,0.78602,0.723,0.65714,0.63906,1.00139,0.00963306,0.00963306,0.00963306
39,10029.7,0.79417,0.71785,1.06396,0.88096,0.77963,0.81459,0.85266,0.78578,0.723,0.65634,0.63853,1.00104,0.00961322,0.00961322,0.00961322
