epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.175,0.76359,0.7037,1.18138,0.94737,0.8898,0.91606,0.94365,0.8796,0.8026,0.62964,0.46145,1.11266,0.00333152,0.00333152,0.0700163
2,785.22,0.78158,0.7251,1.18582,0.92948,0.86535,0.89447,0.92279,0.84781,0.76881,0.68907,0.53371,1.16395,0.00666468,0.00666468,0.0400161
3,1129.91,0.83312,0.80145,1.22173,0.90921,0.81766,0.85338,0.8934,0.80303,0.71874,0.77061,0.66514,1.23292,0.0099971,0.0099971,0.0100152
4,1475.51,0.89152,0.8976,1.26322,0.86573,0.7743,0.81104,0.8547,0.75762,0.67969,0.82283,0.75536,1.26956,0.00999756,0.00999756,0.00999756
5,1819.71,0.8896,0.90085,1.26407,0.86959,0.77327,0.8127,0.85175,0.75185,0.67536,0.81791,0.76951,1.27644,0.00999566,0.00999566,0.00999566
6,2165.14,0.88843,0.89324,1.26173,0.86586,0.75533,0.79588,0.83324,0.74265,0.66779,0.80505,0.8093,1.26633,0.00999322,0.00999322,0.00999322
7,2506.09,0.88471,0.88921,1.25828,0.87501,0.7718,0.81309,0.84492,0.75257,0.67577,0.80232,0.77859,1.26627,0.00999023,0.00999023,0.00999023
8,2844.43,0.88049,0.87949,1.25478,0.88713,0.77712,0.82092,0.85372,0.76832,0.69071,0.78081,0.74394,1.24515,0.00998671,0.00998671,0.00998671
9,3190.86,0.87695,0.87404,1.2517,0.86369,0.75132,0.79494,0.8319,0.74227,0.66643,0.8061,0.79262,1.26607,0.00998264,0.00998264,0.00998264
10,3537.52,0.87551,0.86572,1.24864,0.84653,0.75619,0.78849,0.83224,0.74517,0.67186,0.78884,0.79026,1.24965,0.00997803,0.00997803,0.00997803
11,3884.07,0.87422,0.87231,1.24791,0.87433,0.77029,0.8127,0.84346,0.75614,0.68256,0.77014,0.74778,1.23863,0.00997288,0.00997288,0.00997288
12,4227.87,0.87146,0.86168,1.24475,0.87285,0.76188,0.8025,0.84069,0.75584,0.68527,0.76226,0.7579,1.22864,0.0099672,0.0099672,0.0099672
13,4574.53,0.86403,0.8529,1.24118,0.85494,0.75829,0.79143,0.83411,0.75259,0.67948,0.76331,0.77347,1.23129,0.00996097,0.00996097,0.00996097
14,4919.95,0.86602,0.85127,1.24333,0.86207,0.75446,0.79466,0.83462,0.75048,0.6771,0.77757,0.78013,1.24448,0.0099542,0.0099542,0.0099542
15,5260.25,0.86251,0.84329,1.23824,0.87191,0.76933,0.80639,0.84846,0.76943,0.69746,0.74396,0.73598,1.2154,0.0099469,0.0099469,0.0099469
16,5596.87,0.85914,0.84192,1.2374,0.87858,0.76634,0.80907,0.84807,0.76368,0.69474,0.7437,0.71862,1.21608,0.00993906,0.00993906,0.00993906
17,5911.23,0.85639,0.83955,1.23616,0.86874,0.75979,0.79949,0.83783,0.75514,0.68759,0.7495,0.75226,1.2191,0.00993068,0.00993068,0.00993068
18,6219.15,0.85735,0.84278,1.23524,0.89268,0.77029,0.81673,0.8551,0.7725,0.70311,0.73647,0.70654,1.20998,0.00992177,0.00992177,0.00992177
