epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.586,0.72591,0.63513,1.03815,0.95091,0.89466,0.92,0.94568,0.88683,0.81531,0.59754,0.42826,0.94353,0.00333152,0.00333152,0.0700163
2,644.508,0.75247,0.6689,1.0442,0.9326,0.858,0.89109,0.92202,0.85421,0.77832,0.65736,0.51436,0.97742,0.00666468,0.00666468,0.0400161
3,950.381,0.81109,0.75795,1.07166,0.88866,0.76653,0.81519,0.85028,0.76144,0.68977,0.76559,0.71728,1.05377,0.0099971,0.0099971,0.0100152
4,1260.74,0.87429,0.85558,1.10488,0.84825,0.7222,0.76959,0.80047,0.7055,0.63777,0.82277,0.83447,1.0912,0.00999756,0.00999756,0.00999756
5,1576.46,0.87135,0.85345,1.10413,0.85872,0.74672,0.78908,0.82582,0.74191,0.66917,0.77779,0.76169,1.05662,0.00999566,0.00999566,0.00999566
6,1892.64,0.86876,0.84648,1.10419,0.86129,0.73597,0.78258,0.81854,0.73367,0.66186,0.7837,0.79329,1.06702,0.00999322,0.00999322,0.00999322
7,2206.06,0.86234,0.84066,1.09918,0.82489,0.73698,0.77146,0.80463,0.71943,0.65034,0.78128,0.8019,1.06151,0.00999023,0.00999023,0.00999023
8,2524.75,0.85963,0.82795,1.09472,0.8492,0.75446,0.79275,0.82945,0.7411,0.67101,0.77807,0.75401,1.05515,0.00998671,0.00998671,0.00998671
9,2846.45,0.85228,0.81448,1.09465,0.85313,0.74934,0.78949,0.81884,0.73892,0.66948,0.75973,0.75307,1.05219,0.00998264,0.00998264,0.00998264
10,3187.38,0.84944,0.80892,1.09077,0.85591,0.74918,0.78964,0.81907,0.7393,0.67045,0.75606,0.75156,1.05059,0.00997803,0.00997803,0.00997803
11,3560.91,0.84947,0.8102,1.09339,0.84962,0.75511,0.79016,0.83227,0.75054,0.68276,0.74549,0.74352,1.0469,0.00997288,0.00997288,0.00997288
12,3895.19,0.84326,0.8028,1.08829,0.84417,0.74886,0.78043,0.82085,0.74192,0.67585,0.74509,0.75532,1.04864,0.0099672,0.0099672,0.0099672
13,4236.95,0.833,0.7867,1.08197,0.85218,0.74765,0.78412,0.82227,0.74238,0.67738,0.73695,0.7436,1.04568,0.00996097,0.00996097,0.00996097
14,4606.28,0.83563,0.78185,1.08348,0.8443,0.75194,0.78407,0.821,0.74252,0.67705,0.74001,0.74469,1.04432,0.0099542,0.0099542,0.0099542
15,4981.29,0.83468,0.78197,1.08346,0.86711,0.76333,0.80012,0.83728,0.76372,0.69601,0.71688,0.7086,1.02881,0.0099469,0.0099469,0.0099469
16,5329.15,0.83063,0.78033,1.08229,0.8591,0.76373,0.79743,0.83678,0.75744,0.69384,0.7162,0.70472,1.03302,0.00993906,0.00993906,0.00993906
17,5649.4,0.82694,0.77267,1.07921,0.86987,0.76334,0.80102,0.83525,0.75641,0.69229,0.72096,0.70195,1.03286,0.00993068,0.00993068,0.00993068
18,5996.41,0.8281,0.77297,1.07947,0.86268,0.75472,0.79432,0.82913,0.75407,0.6915,0.70626,0.70515,1.02373,0.00992177,0.00992177,0.00992177
19,6326.56,0.82157,0.76459,1.07686,0.86203,0.76031,0.796,0.83721,0.76069,0.69814,0.70317,0.68286,1.01962,0.00991232,0.00991232,0.00991232
20,6667.26,0.82201,0.76306,1.07651,0.86936,0.76923,0.80448,0.84476,0.76824,0.70542,0.695,0.67342,1.01683,0.00990234,0.00990234,0.00990234
21,6985.24,0.82269,0.76059,1.07695,0.865,0.76131,0.79573,0.83785,0.76511,0.70185,0.6977,0.68529,1.02091,0.00989183,0.00989183,0.00989183
22,7283.55,0.81644,0.75548,1.07273,0.858,0.76448,0.79633,0.8367,0.7635,0.69901,0.69608,0.68457,1.01738,0.00988079,0.00988079,0.00988079
23,7597.57,0.81507,0.75037,1.07174,0.85804,0.77216,0.80241,0.84064,0.76651,0.70302,0.69305,0.67819,1.01538,0.00986922,0.00986922,0.00986922
24,7925.7,0.81451,0.75129,1.07162,0.86334,0.767,0.80111,0.83966,0.76686,0.70298,0.69097,0.67663,1.0145,0.00985711,0.00985711,0.00985711
25,8267.91,0.81261,0.74604,1.07122,0.86359,0.77005,0.80334,0.84281,0.76843,0.70621,0.6853,0.66611,1.01398,0.00984449,0.00984449,0.00984449
26,8586.81,0.80878,0.74762,1.06699,0.86638,0.76919,0.80315,0.84297,0.76994,0.70774,0.68299,0.66548,1.01329,0.00983133,0.00983133,0.00983133
27,8901.28,0.80486,0.7411,1.06665,0.86499,0.76649,0.80015,0.8411,0.76726,0.70586,0.68223,0.67061,1.01249,0.00981765,0.00981765,0.00981765
28,9213.27,0.81075,0.7444,1.06884,0.85907,0.77107,0.8005,0.84034,0.76787,0.70596,0.6805,0.66869,1.01062,0.00980345,0.00980345,0.00980345
29,9525.96,0.80485,0.73565,1.06273,0.86469,0.77006,0.80331,0.84238,0.7685,0.70708,0.68195,0.66397,1.01038,0.00978873,0.00978873,0.00978873
30,9839.39,0.80246,0.73303,1.06397,0.85778,0.77675,0.80481,0.84403,0.77078,0.7087,0.68045,0.6594,1.00989,0.00977349,0.00977349,0.00977349
31,10151.3,0.80458,0.73535,1.06574,0.86192,0.77597,0.80594,0.84502,0.7708,0.70993,0.67674,0.65693,1.00748,0.00975773,0.00975773,0.00975773
32,10468.5,0.80024,0.73571,1.06558,0.87053,0.77058,0.8058,0.8469,0.7732,0.71219,0.67526,0.65336,1.00714,0.00974145,0.00974145,0.00974145
33,10778.1,0.80006,0.72974,1.0645,0.86952,0.77223,0.80699,0.84723,0.7734,0.71267,0.67503,0.65114,1.00778,0.00972466,0.00972466,0.00972466
34,11087.6,0.79885,0.72674,1.06067,0.87066,0.77289,0.80781,0.84669,0.77303,0.71269,0.67416,0.65063,1.00779,0.00970736,0.00970736,0.00970736
35,11399.3,0.79539,0.7235,1.06083,0.8717,0.77279,0.80817,0.84687,0.77253,0.71276,0.67428,0.65008,1.00856,0.00968955,0.00968955,0.00968955
36,11712.3,0.79823,0.72575,1.06336,0.87042,0.77449,0.80851,0.84747,0.77355,0.71348,0.67373,0.64934,1.00829,0.00967122,0.00967122,0.00967122
37,12024.2,0.79418,0.72078,1.06128,0.87037,0.7748,0.80865,0.84775,0.77301,0.71357,0.67332,0.64819,1.00799,0.00965239,0.00965239,0.00965239
38,12338.3,0.79338,0.7131,1.05744,0.87134,0.7737,0.80845,0.84751,0.77316,0.71345,0.67302,0.64838,1.00751,0.00963306,0.00963306,0.00963306
39,12651.3,0.79768,0.72234,1.06126,0.87311,0.77221,0.80808,0.84749,0.77357,0.71333,0.67283,0.64803,1.00743,0.00961322,0.00961322,0.00961322
40,12963.9,0.79238,0.71764,1.05962,0.87082,0.77298,0.80756,0.84698,0.77373,0.71343,0.67239,0.64846,1.00736,0.00959289,0.00959289,0.00959289
41,13275.6,0.7929,0.71462,1.06283,0.86982,0.77396,0.80765,0.847,0.77362,0.71327,0.67191,0.64804,1.00726,0.00957205,0.00957205,0.00957205
42,13574.2,0.78777,0.71277,1.05592,0.86878,0.77476,0.80781,0.84666,0.7733,0.71306,0.67156,0.64715,1.00706,0.00955072,0.00955072,0.00955072
43,13875.1,0.78889,0.70733,1.05754,0.8694,0.77442,0.80763,0.8466,0.77355,0.71334,0.6715,0.6468,1.0072,0.00952889,0.00952889,0.00952889
44,14179.2,0.78827,0.7124,1.05515,0.87157,0.77272,0.80739,0.84654,0.77346,0.71348,0.67092,0.64663,1.00683,0.00950658,0.00950658,0.00950658
45,14481.1,0.78978,0.71106,1.05856,0.87088,0.77375,0.8077,0.84628,0.77358,0.71347,0.67053,0.64645,1.00658,0.00948377,0.00948377,0.00948377
46,14785.4,0.78569,0.70466,1.054,0.86827,0.77467,0.80715,0.84607,0.77373,0.71366,0.67076,0.64695,1.00671,0.00946048,0.00946048,0.00946048
47,15087.8,0.78482,0.70626,1.05618,0.86755,0.77535,0.80739,0.84581,0.77398,0.71358,0.67057,0.64793,1.00653,0.00943671,0.00943671,0.00943671
