epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.919,1.14713,2.20847,1.3509,0.62716,0.48338,0.52451,0.54305,0.45155,0.41057,1.01316,1.56828,1.25074,0.00333152,0.00333152,0.0700163
2,574.519,1.00491,1.2475,1.2049,0.6511,0.51257,0.55823,0.56685,0.46676,0.42112,1.0703,1.50858,1.27837,0.00666468,0.00666468,0.0400161
3,835.721,1.08512,1.30639,1.25409,0.6542,0.48854,0.52863,0.54736,0.43413,0.3903,1.16558,1.59648,1.36039,0.0099971,0.0099971,0.0100152
4,1094.68,1.11484,1.31918,1.27232,0.7013,0.57241,0.61344,0.63564,0.51906,0.46713,1.0692,1.32543,1.29301,0.00999756,0.00999756,0.00999756
5,1355.1,1.03674,1.15346,1.22747,0.74269,0.59143,0.64376,0.66782,0.56601,0.50905,0.97651,1.24475,1.22778,0.00999566,0.00999566,0.00999566
6,1613.95,0.9868,1.06318,1.19666,0.75614,0.63943,0.67993,0.70399,0.6036,0.54179,0.92139,1.09902,1.17769,0.00999322,0.00999322,0.00999322
7,1872.95,0.95024,0.99034,1.17255,0.77216,0.63303,0.67964,0.70996,0.61905,0.55838,0.89287,1.06801,1.17334,0.00999023,0.00999023,0.00999023
8,2132.95,0.9214,0.94367,1.15557,0.80009,0.65287,0.69833,0.73316,0.64782,0.58325,0.85578,1.00207,1.14017,0.00998671,0.00998671,0.00998671
9,2392.16,0.89626,0.89648,1.14052,0.79823,0.66661,0.70482,0.73366,0.64567,0.58496,0.84969,0.98779,1.1385,0.00998264,0.00998264,0.00998264
10,2651.01,0.87733,0.86611,1.12711,0.83631,0.67913,0.7247,0.76126,0.6776,0.61103,0.81528,0.92632,1.11871,0.00997803,0.00997803,0.00997803
11,2909.23,0.86827,0.84519,1.12395,0.82036,0.69563,0.73775,0.77158,0.68972,0.62761,0.78372,0.88147,1.09006,0.00997288,0.00997288,0.00997288
12,3167.59,0.84995,0.82108,1.11255,0.84771,0.6854,0.7338,0.76802,0.68961,0.62821,0.78516,0.88681,1.1041,0.0099672,0.0099672,0.0099672
