epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.869,2.88226,4.8795,3.70878,0.21375,0.205,0.18564,0.15531,0.03224,0.0614,2.32493,3.00843,3.37357,0.000166424,0.000166424,0.0668816
2,224.421,2.30166,2.95317,3.16013,0.66133,0.60246,0.61109,0.65565,0.37889,0.36659,1.66365,1.62229,2.7902,0.000333082,0.000333082,0.0337149
3,336.566,1.6563,1.77323,2.34816,0.80752,0.7631,0.77463,0.82716,0.60262,0.53095,1.2845,1.25545,2.15362,0.000499703,0.000499703,0.000548223
4,445.094,1.29889,1.3756,1.83855,0.87981,0.811,0.8418,0.8784,0.71197,0.60768,1.11983,1.04131,1.7769,0.000499878,0.000499878,0.000499878
5,550.89,1.12958,1.19218,1.59683,0.90948,0.82048,0.85908,0.89595,0.73574,0.64064,1.04361,0.95558,1.6344,0.000499783,0.000499783,0.000499783
6,656.273,1.04542,1.10486,1.48078,0.91314,0.844,0.8751,0.90618,0.76705,0.66662,0.97551,0.89551,1.51318,0.000499661,0.000499661,0.000499661
7,761.734,1.00143,1.05803,1.42639,0.92315,0.8575,0.88687,0.91179,0.78131,0.68433,0.93722,0.86377,1.45603,0.000499512,0.000499512,0.000499512
8,867.462,0.96428,1.01005,1.37936,0.92517,0.85838,0.88794,0.91495,0.7846,0.69556,0.90717,0.82125,1.4044,0.000499335,0.000499335,0.000499335
9,973.03,0.93384,0.97782,1.34264,0.92414,0.86108,0.88916,0.91497,0.79465,0.7002,0.88638,0.81288,1.37912,0.000499132,0.000499132,0.000499132
10,1078.49,0.91079,0.94381,1.31379,0.92174,0.86966,0.89318,0.91597,0.79773,0.70603,0.86505,0.78829,1.34665,0.000498902,0.000498902,0.000498902
11,1184.21,0.89632,0.9266,1.29643,0.9067,0.87578,0.88925,0.91837,0.80741,0.7092,0.85665,0.76151,1.33527,0.000498644,0.000498644,0.000498644
12,1291.93,0.87503,0.89621,1.27425,0.92479,0.87622,0.89841,0.91971,0.80892,0.71112,0.84561,0.74686,1.31084,0.00049836,0.00049836,0.00049836
13,1398.21,0.86129,0.88265,1.25828,0.92542,0.87883,0.89996,0.92132,0.8105,0.71686,0.83316,0.73838,1.29535,0.000498048,0.000498048,0.000498048
