epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.397,2.84992,4.81301,3.73914,0.32886,0.22274,0.17151,0.18972,0.07158,0.08633,2.19277,3.00838,3.48537,0.000166424,0.000166424,0.0668816
2,229.288,2.29204,2.9176,3.29901,0.58569,0.54998,0.54875,0.57604,0.2756,0.29735,1.79178,1.79772,2.97727,0.000333082,0.000333082,0.0337149
3,337.591,1.79229,1.97881,2.64951,0.7846,0.70123,0.73215,0.78213,0.52396,0.48052,1.42301,1.39023,2.36415,0.000499703,0.000499703,0.000548223
4,443.151,1.42521,1.55238,2.079,0.82989,0.77136,0.7926,0.84476,0.65554,0.56679,1.22249,1.17571,2.01129,0.000499878,0.000499878,0.000499878
5,549.274,1.23156,1.32345,1.78711,0.88158,0.79951,0.83662,0.86841,0.71037,0.60829,1.1315,1.03399,1.84513,0.000499783,0.000499783,0.000499783
6,658.48,1.13156,1.20654,1.64631,0.88874,0.82958,0.85612,0.88583,0.72925,0.6291,1.06695,0.97369,1.7351,0.000499661,0.000499661,0.000499661
7,770.588,1.07275,1.13593,1.56742,0.89024,0.83289,0.85857,0.88574,0.73361,0.63837,1.04102,0.9443,1.68359,0.000499512,0.000499512,0.000499512
8,882.437,1.02988,1.08092,1.51354,0.89993,0.83907,0.86594,0.89067,0.74507,0.65049,1.0151,0.90257,1.63136,0.000499335,0.000499335,0.000499335
9,1002.1,0.99317,1.03479,1.46595,0.9142,0.83182,0.86738,0.8944,0.74542,0.65368,0.99027,0.8848,1.59298,0.000499132,0.000499132,0.000499132
10,1110.72,0.97056,0.99674,1.43612,0.90158,0.84416,0.86986,0.89822,0.75764,0.66129,0.96912,0.8562,1.55967,0.000498902,0.000498902,0.000498902
11,1218.4,0.95505,0.98055,1.41988,0.91278,0.84169,0.87358,0.90063,0.76359,0.66809,0.96176,0.83657,1.53751,0.000498644,0.000498644,0.000498644
12,1326.29,0.934,0.94544,1.39063,0.92248,0.83689,0.87448,0.90279,0.77235,0.67114,0.95813,0.8166,1.52406,0.00049836,0.00049836,0.00049836
13,1436.74,0.9144,0.92434,1.37465,0.92003,0.84329,0.87819,0.90624,0.77699,0.67752,0.93857,0.80018,1.50703,0.000498048,0.000498048,0.000498048
14,1549.72,0.9111,0.91344,1.36458,0.9132,0.84658,0.8761,0.90398,0.7671,0.67808,0.92765,0.7997,1.4918,0.00049771,0.00049771,0.00049771
15,1682.64,0.90305,0.90817,1.35874,0.91898,0.84563,0.87817,0.90699,0.78366,0.68704,0.90843,0.78932,1.46906,0.000497345,0.000497345,0.000497345
16,1802.6,0.89313,0.89767,1.34376,0.90685,0.85385,0.87813,0.90799,0.78672,0.69065,0.90366,0.7725,1.45295,0.000496953,0.000496953,0.000496953
17,1917.28,0.88176,0.87906,1.33496,0.92824,0.85301,0.88701,0.91081,0.78151,0.69239,0.89702,0.76229,1.43972,0.000496534,0.000496534,0.000496534
18,2035.32,0.86498,0.86237,1.31933,0.92452,0.84981,0.88399,0.90915,0.78698,0.69496,0.8908,0.75467,1.43219,0.000496088,0.000496088,0.000496088
19,2155.63,0.86428,0.85514,1.30851,0.92485,0.856,0.88773,0.91107,0.78618,0.69607,0.88425,0.74079,1.42216,0.000495616,0.000495616,0.000495616
20,2279.75,0.85807,0.85031,1.30477,0.92497,0.85892,0.88934,0.91328,0.78939,0.69907,0.87997,0.74272,1.4125,0.000495117,0.000495117,0.000495117
21,2404.25,0.8543,0.83775,1.29963,0.92189,0.861,0.88898,0.91561,0.79183,0.70082,0.87082,0.72682,1.40241,0.000494592,0.000494592,0.000494592
22,2526.43,0.84283,0.83151,1.28832,0.92828,0.85511,0.88876,0.91462,0.79531,0.70333,0.87053,0.7212,1.40063,0.000494039,0.000494039,0.000494039
23,2651.37,0.84293,0.82115,1.28635,0.93002,0.85375,0.88857,0.91386,0.7958,0.70265,0.86777,0.71867,1.3922,0.000493461,0.000493461,0.000493461
24,2763.39,0.83784,0.82274,1.2827,0.93568,0.85203,0.89029,0.91509,0.79431,0.70696,0.86285,0.70938,1.38464,0.000492856,0.000492856,0.000492856
25,2870,0.83258,0.81219,1.27179,0.9111,0.87009,0.8889,0.91497,0.78768,0.7021,0.86522,0.71297,1.38382,0.000492224,0.000492224,0.000492224
26,2982.83,0.82703,0.80489,1.27139,0.94237,0.84865,0.89126,0.91619,0.78918,0.7078,0.85315,0.70051,1.37537,0.000491567,0.000491567,0.000491567
27,3094.05,0.82221,0.79068,1.26476,0.93356,0.85242,0.88949,0.91538,0.80225,0.71042,0.84969,0.69204,1.36862,0.000490883,0.000490883,0.000490883
28,3205.72,0.82084,0.79348,1.26405,0.93335,0.85731,0.89212,0.91545,0.80405,0.70914,0.84798,0.68455,1.36482,0.000490173,0.000490173,0.000490173
29,3320.15,0.8153,0.7904,1.26005,0.93531,0.85356,0.89077,0.91624,0.79709,0.71329,0.83955,0.67873,1.35984,0.000489437,0.000489437,0.000489437
30,3424.21,0.81505,0.78324,1.2572,0.91526,0.87332,0.89274,0.91719,0.80341,0.71175,0.84272,0.68266,1.35966,0.000488674,0.000488674,0.000488674
31,3527.99,0.80759,0.77763,1.24715,0.90934,0.87641,0.89141,0.91583,0.80549,0.71248,0.83867,0.67856,1.35323,0.000487886,0.000487886,0.000487886
32,3632.49,0.8023,0.76964,1.24704,0.92942,0.86491,0.89446,0.91615,0.80873,0.71169,0.84111,0.67868,1.35473,0.000487073,0.000487073,0.000487073
33,3739.92,0.80045,0.76552,1.24023,0.93427,0.8581,0.89273,0.91701,0.8096,0.71624,0.83373,0.67027,1.34309,0.000486233,0.000486233,0.000486233
34,3844.02,0.79288,0.75746,1.22971,0.92729,0.8615,0.89184,0.91423,0.80273,0.71456,0.83119,0.6692,1.34341,0.000485368,0.000485368,0.000485368
35,3949.55,0.79505,0.75794,1.23828,0.92043,0.86882,0.89266,0.91604,0.80496,0.71782,0.82859,0.66517,1.33633,0.000484477,0.000484477,0.000484477
36,4054.39,0.78648,0.75127,1.22819,0.92638,0.85983,0.89029,0.91349,0.80476,0.71595,0.82635,0.66013,1.33357,0.000483561,0.000483561,0.000483561
37,4158.15,0.79317,0.75967,1.23004,0.91482,0.87659,0.89423,0.91533,0.80975,0.71929,0.82122,0.6632,1.32807,0.00048262,0.00048262,0.00048262
38,4273.88,0.78316,0.746,1.226,0.90568,0.88084,0.89195,0.91467,0.80878,0.7199,0.82176,0.65999,1.32858,0.000481653,0.000481653,0.000481653
39,4379.58,0.78035,0.7382,1.22566,0.93023,0.85702,0.89032,0.91463,0.81224,0.72257,0.81812,0.65685,1.32353,0.000480661,0.000480661,0.000480661
40,4485.52,0.78053,0.74195,1.21994,0.9284,0.86033,0.89142,0.91701,0.80981,0.7213,0.81693,0.65296,1.32178,0.000479644,0.000479644,0.000479644
41,4591.05,0.78128,0.73782,1.22026,0.9345,0.85561,0.89144,0.91565,0.80681,0.72192,0.81434,0.65427,1.31882,0.000478603,0.000478603,0.000478603
42,4697.01,0.77294,0.72891,1.21555,0.93441,0.86153,0.89499,0.91692,0.81329,0.72286,0.81511,0.64799,1.31969,0.000477536,0.000477536,0.000477536
43,4802.77,0.76857,0.71718,1.20465,0.93385,0.86309,0.89542,0.91799,0.80863,0.72438,0.81033,0.64863,1.31253,0.000476445,0.000476445,0.000476445
44,4909.18,0.77149,0.72236,1.21181,0.93357,0.85498,0.89048,0.91795,0.81471,0.72589,0.81049,0.64706,1.31127,0.000475329,0.000475329,0.000475329
45,5019,0.76684,0.71715,1.20949,0.93358,0.86252,0.89487,0.91742,0.80987,0.72566,0.81027,0.64028,1.31074,0.000474189,0.000474189,0.000474189
46,5123.92,0.76974,0.71596,1.20887,0.94402,0.85375,0.89464,0.91917,0.81246,0.72688,0.80525,0.6365,1.30539,0.000473024,0.000473024,0.000473024
47,5225.37,0.7621,0.70835,1.20507,0.93723,0.85756,0.89383,0.9179,0.81211,0.72588,0.80684,0.63537,1.30544,0.000471835,0.000471835,0.000471835
48,5326.34,0.76033,0.70027,1.19799,0.94076,0.85556,0.89426,0.91865,0.81175,0.72756,0.8039,0.63266,1.30446,0.000470623,0.000470623,0.000470623
49,5427.23,0.75559,0.70098,1.19641,0.93592,0.86076,0.89496,0.92004,0.81971,0.72973,0.8021,0.63146,1.3031,0.000469386,0.000469386,0.000469386
50,5528.14,0.76146,0.70591,1.19851,0.9407,0.85651,0.89473,0.91972,0.81214,0.728,0.8018,0.62901,1.30266,0.000468125,0.000468125,0.000468125
51,5629.87,0.7547,0.70115,1.19906,0.93536,0.85777,0.89324,0.91798,0.81484,0.72914,0.79841,0.62877,1.29761,0.000466841,0.000466841,0.000466841
52,5730.48,0.75368,0.69355,1.19561,0.94262,0.85884,0.89701,0.91842,0.81582,0.72807,0.79674,0.62441,1.29633,0.000465534,0.000465534,0.000465534
53,5831.03,0.75249,0.69748,1.19402,0.93189,0.86629,0.89655,0.91895,0.81523,0.7292,0.79586,0.61745,1.29512,0.000464203,0.000464203,0.000464203
54,5932.68,0.7507,0.68496,1.18759,0.93939,0.85747,0.89486,0.91785,0.81696,0.73004,0.79533,0.61871,1.29244,0.000462848,0.000462848,0.000462848
