epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.947,1.1603,2.47421,1.44717,0.73678,0.62657,0.663934,0.7095,0.588889,0.54822,0.86501,1.12865,1.25659,0.00332848,0.00332848,0.0700437
2,378.31,1.08163,1.51169,1.35507,0.69215,0.61044,0.628755,0.67089,0.522036,0.47761,1.01855,1.35527,1.37004,0.00666163,0.00666163,0.0400435
3,562.057,1.24491,1.68826,1.48332,0.57569,0.49021,0.495319,0.53959,0.366095,0.35075,1.26175,1.94827,1.60751,0.00999406,0.00999406,0.0100426
4,744.657,1.33423,1.83692,1.56956,0.65811,0.55382,0.587016,0.61927,0.486235,0.43869,1.12275,1.41068,1.51172,0.00999756,0.00999756,0.00999756
5,927.834,1.2708,1.65606,1.52854,0.72085,0.61784,0.651482,0.69061,0.539444,0.49527,1.06572,1.2607,1.45529,0.00999566,0.00999566,0.00999566
6,1111.28,1.21363,1.52766,1.4774,0.78467,0.69636,0.729513,0.77399,0.622476,0.56711,0.96739,1.05094,1.3581,0.00999322,0.00999322,0.00999322
7,1295.17,1.14062,1.37917,1.43147,0.79436,0.69916,0.734088,0.78343,0.648995,0.59261,0.91852,0.97041,1.32805,0.00999023,0.00999023,0.00999023
8,1478.54,1.10514,1.30323,1.39817,0.82351,0.72741,0.762458,0.8118,0.659377,0.60552,0.92396,0.90816,1.32645,0.00998671,0.00998671,0.00998671
9,1661.76,1.06054,1.21347,1.36491,0.84445,0.73347,0.77632,0.82358,0.679871,0.62491,0.89053,0.86656,1.32134,0.00998264,0.00998264,0.00998264
10,1844.96,1.03114,1.15276,1.34463,0.84819,0.74177,0.785761,0.82733,0.69456,0.64158,0.84833,0.82063,1.26507,0.00997803,0.00997803,0.00997803
11,2027.7,1.01259,1.11316,1.3265,0.8709,0.76469,0.808125,0.85087,0.732085,0.66964,0.81207,0.74968,1.23944,0.00997288,0.00997288,0.00997288
12,2210.85,1.00033,1.08457,1.32234,0.89285,0.77845,0.828498,0.86411,0.749193,0.6815,0.80268,0.70403,1.217,0.0099672,0.0099672,0.0099672
13,2393.68,0.9827,1.04795,1.30501,0.84927,0.78846,0.811943,0.85776,0.740612,0.68096,0.79679,0.72154,1.22237,0.00996097,0.00996097,0.00996097
14,2576.07,0.95447,1.00607,1.28656,0.87713,0.81196,0.840082,0.87461,0.756924,0.69223,0.78336,0.66349,1.21572,0.0099542,0.0099542,0.0099542
15,2759.08,0.94658,0.98147,1.2793,0.90437,0.79738,0.841852,0.87511,0.764257,0.70009,0.76063,0.67133,1.20223,0.0099469,0.0099469,0.0099469
16,2942.37,0.93156,0.95599,1.27025,0.89257,0.82388,0.852717,0.88751,0.772749,0.71331,0.75405,0.61727,1.19085,0.00993906,0.00993906,0.00993906
17,3125.74,0.92411,0.938,1.26125,0.89556,0.81579,0.849927,0.89286,0.7864,0.72316,0.73325,0.60678,1.1713,0.00993068,0.00993068,0.00993068
18,3309.27,0.91118,0.91558,1.25266,0.90478,0.83909,0.86885,0.90189,0.798341,0.72866,0.73054,0.57289,1.17082,0.00992177,0.00992177,0.00992177
19,3492.7,0.90019,0.89153,1.24218,0.92422,0.83154,0.872516,0.90025,0.801294,0.73028,0.72551,0.59365,1.17311,0.00991232,0.00991232,0.00991232
20,3675.85,0.88578,0.86844,1.23471,0.91357,0.81795,0.859578,0.89698,0.802401,0.73636,0.71079,0.57174,1.1526,0.00990234,0.00990234,0.00990234
21,3859.25,0.88,0.86745,1.22187,0.90717,0.83703,0.868484,0.90504,0.817728,0.74354,0.70863,0.55455,1.15301,0.00989183,0.00989183,0.00989183
22,4042.68,0.87133,0.85196,1.22018,0.92503,0.82907,0.871283,0.90642,0.814007,0.74474,0.69301,0.53948,1.13999,0.00988079,0.00988079,0.00988079
23,4226.1,0.86384,0.83847,1.2148,0.91193,0.8418,0.872404,0.9077,0.817673,0.74882,0.6878,0.5328,1.14711,0.00986922,0.00986922,0.00986922
24,4408.95,0.85377,0.81034,1.20651,0.92729,0.8476,0.883675,0.91378,0.820032,0.75428,0.67877,0.51055,1.13104,0.00985711,0.00985711,0.00985711
25,4591.38,0.85403,0.81269,1.20286,0.92416,0.8566,0.887489,0.91586,0.826853,0.75841,0.66898,0.50537,1.11956,0.00984449,0.00984449,0.00984449
26,4774.39,0.84099,0.78264,1.19211,0.92761,0.85095,0.886023,0.91513,0.829502,0.76085,0.66532,0.50195,1.12258,0.00983133,0.00983133,0.00983133
27,4957.91,0.83552,0.77453,1.19099,0.93154,0.84395,0.882959,0.91626,0.828881,0.76236,0.66337,0.49556,1.11581,0.00981765,0.00981765,0.00981765
28,5141.42,0.82693,0.78078,1.18706,0.92182,0.85665,0.886475,0.91864,0.829062,0.76686,0.65892,0.48633,1.12234,0.00980345,0.00980345,0.00980345
29,5324.89,0.82238,0.76469,1.18055,0.92043,0.86783,0.891556,0.92096,0.849616,0.77149,0.66176,0.48441,1.11112,0.00978873,0.00978873,0.00978873
30,5508.05,0.82416,0.76376,1.18491,0.9305,0.86487,0.894662,0.92295,0.836479,0.77166,0.65946,0.47303,1.11611,0.00977349,0.00977349,0.00977349
31,5691.6,0.81247,0.74791,1.17284,0.91697,0.86925,0.890633,0.92525,0.843234,0.77399,0.64977,0.46987,1.10088,0.00975773,0.00975773,0.00975773
32,5874.91,0.80726,0.74408,1.17123,0.92847,0.8742,0.898885,0.92584,0.839934,0.77467,0.66059,0.46222,1.1235,0.00974145,0.00974145,0.00974145
33,6058.58,0.79909,0.73278,1.16667,0.92517,0.8723,0.896358,0.92814,0.838059,0.77763,0.64077,0.44895,1.0995,0.00972466,0.00972466,0.00972466
34,6241.95,0.7985,0.72898,1.16874,0.93274,0.87614,0.900247,0.93197,0.855088,0.78402,0.63748,0.44409,1.09152,0.00970736,0.00970736,0.00970736
35,6425.76,0.79098,0.704,1.16404,0.92905,0.8846,0.90426,0.9379,0.855435,0.78891,0.63572,0.43273,1.08912,0.00968955,0.00968955,0.00968955
36,6608.67,0.78688,0.70173,1.15793,0.93407,0.87802,0.903278,0.93265,0.847692,0.78713,0.62781,0.4362,1.08767,0.00967122,0.00967122,0.00967122
37,6791.44,0.78981,0.70296,1.15777,0.93394,0.87619,0.902605,0.93429,0.8489,0.78697,0.62857,0.42915,1.09141,0.00965239,0.00965239,0.00965239
38,6974.7,0.7758,0.69238,1.1511,0.93528,0.88751,0.909151,0.93686,0.851877,0.79027,0.62629,0.42714,1.08694,0.00963306,0.00963306,0.00963306
39,7158.26,0.77495,0.68327,1.14975,0.93341,0.88228,0.906017,0.93564,0.844106,0.7883,0.62585,0.41343,1.09022,0.00961322,0.00961322,0.00961322
40,7340.85,0.76953,0.68597,1.14904,0.93866,0.8784,0.906066,0.93323,0.849037,0.79089,0.62066,0.42566,1.08488,0.00959289,0.00959289,0.00959289
41,7523.9,0.77264,0.68473,1.14903,0.94088,0.8829,0.909516,0.93531,0.847119,0.79216,0.61556,0.41542,1.08524,0.00957205,0.00957205,0.00957205
42,7707.95,0.76075,0.66648,1.13654,0.93187,0.8901,0.908459,0.93642,0.861518,0.79621,0.61208,0.40855,1.0792,0.00955072,0.00955072,0.00955072
43,7891.41,0.76329,0.66713,1.14187,0.94534,0.88275,0.910682,0.93649,0.856953,0.79696,0.60021,0.40303,1.07542,0.00952889,0.00952889,0.00952889
44,8074.65,0.75371,0.6547,1.13183,0.93795,0.90233,0.918494,0.94246,0.864121,0.80441,0.59739,0.39776,1.0659,0.00950658,0.00950658,0.00950658
45,8258.28,0.75931,0.66554,1.13585,0.93006,0.89559,0.911109,0.94164,0.856623,0.79954,0.6042,0.40036,1.07499,0.00948377,0.00948377,0.00948377
