epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.477,1.25024,2.61069,1.49101,0.73069,0.5829,0.636647,0.66523,0.549839,0.50512,0.92916,1.22505,1.2894,0.00332848,0.00332848,0.0700437
2,288.285,1.10215,1.5324,1.33067,0.72728,0.60417,0.642704,0.67267,0.543001,0.4892,1.01275,1.23297,1.28459,0.00666163,0.00666163,0.0400435
3,425.547,1.23302,1.65039,1.42726,0.64597,0.52103,0.560502,0.58674,0.429182,0.39556,1.20371,1.61956,1.47818,0.00999406,0.00999406,0.0100426
4,562.131,1.31797,1.78585,1.5006,0.6984,0.5463,0.589534,0.62439,0.466766,0.4295,1.16172,1.42639,1.44568,0.00999756,0.00999756,0.00999756
5,699.095,1.25742,1.6171,1.45991,0.75538,0.5765,0.638714,0.68496,0.535833,0.49034,1.06509,1.28344,1.36474,0.00999566,0.00999566,0.00999566
6,835.944,1.21246,1.50462,1.42415,0.81206,0.67902,0.729155,0.76703,0.624773,0.56411,1.00208,1.06951,1.3099,0.00999322,0.00999322,0.00999322
7,973.283,1.14645,1.37724,1.37756,0.77078,0.70179,0.730567,0.77434,0.632605,0.57419,0.95582,1.0373,1.26821,0.00999023,0.00999023,0.00999023
8,1110.95,1.12087,1.30807,1.35719,0.83338,0.71735,0.761046,0.80261,0.678959,0.61105,0.92659,0.91091,1.25198,0.00998671,0.00998671,0.00998671
9,1249.48,1.083,1.2358,1.33211,0.8374,0.72179,0.770797,0.80216,0.660334,0.60287,0.93992,0.92166,1.29255,0.00998264,0.00998264,0.00998264
10,1387.57,1.05611,1.17521,1.3165,0.85924,0.75355,0.796951,0.82961,0.703371,0.63216,0.88842,0.84553,1.22175,0.00997803,0.00997803,0.00997803
11,1526.93,1.03673,1.12611,1.29881,0.8835,0.77458,0.820217,0.85074,0.719284,0.6575,0.83793,0.77546,1.19329,0.00997288,0.00997288,0.00997288
12,1666.55,1.01651,1.09839,1.28546,0.86358,0.7836,0.817889,0.84997,0.729533,0.66686,0.82429,0.74646,1.18739,0.0099672,0.0099672,0.0099672
13,1806.54,1.00459,1.07471,1.27471,0.87722,0.79415,0.829897,0.87016,0.764556,0.68832,0.79703,0.70695,1.17099,0.00996097,0.00996097,0.00996097
14,1944.96,0.97852,1.02967,1.25913,0.86132,0.80271,0.828753,0.86661,0.752406,0.68636,0.79204,0.69987,1.15809,0.0099542,0.0099542,0.0099542
15,2084.41,0.97073,1.00505,1.25094,0.87817,0.78482,0.824124,0.86311,0.745552,0.6852,0.7802,0.7019,1.15934,0.0099469,0.0099469,0.0099469
16,2223.56,0.95118,0.98368,1.23893,0.88831,0.81718,0.847504,0.88759,0.77372,0.70638,0.76287,0.66485,1.14493,0.00993906,0.00993906,0.00993906
17,2362.31,0.94926,0.96809,1.23449,0.89109,0.80028,0.839366,0.87617,0.770391,0.70453,0.76605,0.64646,1.14676,0.00993068,0.00993068,0.00993068
18,2488.9,0.93532,0.94556,1.22894,0.89924,0.80517,0.846291,0.88748,0.781136,0.71241,0.74916,0.61613,1.13173,0.00992177,0.00992177,0.00992177
19,2615.23,0.92244,0.92634,1.22092,0.90015,0.8176,0.853084,0.89204,0.784283,0.71886,0.75602,0.62212,1.14331,0.00991232,0.00991232,0.00991232
20,2741.88,0.90913,0.89779,1.21621,0.90833,0.82608,0.862998,0.89152,0.79013,0.72338,0.74129,0.60485,1.13202,0.00990234,0.00990234,0.00990234
21,2868.47,0.91298,0.89707,1.20921,0.90559,0.83853,0.868475,0.90165,0.7937,0.73155,0.71648,0.58945,1.10804,0.00989183,0.00989183,0.00989183
22,2994.95,0.893,0.87942,1.20133,0.91859,0.81944,0.862241,0.90194,0.792642,0.7307,0.72848,0.57841,1.12335,0.00988079,0.00988079,0.00988079
23,3121.22,0.88416,0.85919,1.19302,0.91106,0.82956,0.86511,0.90184,0.803253,0.73615,0.70915,0.57701,1.10487,0.00986922,0.00986922,0.00986922
24,3247.64,0.88153,0.84391,1.18644,0.91437,0.84019,0.87394,0.90413,0.810637,0.74068,0.70554,0.55339,1.10114,0.00985711,0.00985711,0.00985711
25,3373.87,0.87931,0.84171,1.18472,0.91279,0.84011,0.872704,0.90676,0.801059,0.74026,0.70463,0.55562,1.0973,0.00984449,0.00984449,0.00984449
26,3500.07,0.86554,0.8137,1.1746,0.90428,0.85197,0.876138,0.9113,0.818601,0.75051,0.69248,0.52699,1.08799,0.00983133,0.00983133,0.00983133
27,3626.3,0.85908,0.80619,1.17279,0.92492,0.84825,0.88198,0.91223,0.821965,0.75454,0.6826,0.52346,1.09428,0.00981765,0.00981765,0.00981765
28,3752.7,0.85269,0.80064,1.17012,0.93031,0.84041,0.879108,0.91556,0.818819,0.75467,0.68183,0.52161,1.08812,0.00980345,0.00980345,0.00980345
29,3879.31,0.84678,0.79589,1.1616,0.91631,0.86413,0.887627,0.92286,0.834013,0.76467,0.6739,0.51045,1.08099,0.00978873,0.00978873,0.00978873
30,4005.9,0.84709,0.80491,1.17162,0.92424,0.86238,0.889785,0.92402,0.835713,0.76641,0.66771,0.49949,1.07446,0.00977349,0.00977349,0.00977349
31,4132.03,0.84079,0.77891,1.15677,0.91376,0.86974,0.888703,0.92446,0.832723,0.76517,0.67436,0.49118,1.07434,0.00975773,0.00975773,0.00975773
32,4257.9,0.83595,0.7779,1.1581,0.93823,0.85212,0.890976,0.92151,0.837686,0.76877,0.66441,0.49333,1.08077,0.00974145,0.00974145,0.00974145
33,4383.6,0.82488,0.7692,1.14944,0.91957,0.8731,0.894066,0.92879,0.829179,0.77163,0.66137,0.47287,1.06314,0.00972466,0.00972466,0.00972466
34,4509.75,0.82457,0.76059,1.15392,0.91972,0.86423,0.888252,0.92999,0.840868,0.77371,0.65254,0.47289,1.06878,0.00970736,0.00970736,0.00970736
35,4636.02,0.81466,0.7355,1.14651,0.94866,0.86809,0.904039,0.93172,0.848841,0.77947,0.64352,0.46451,1.05692,0.00968955,0.00968955,0.00968955
36,4762.1,0.81265,0.73577,1.14213,0.92745,0.86882,0.894841,0.92891,0.847934,0.77794,0.64163,0.46489,1.05894,0.00967122,0.00967122,0.00967122
37,4888.07,0.81776,0.74158,1.14592,0.92955,0.8773,0.900561,0.92779,0.845788,0.78025,0.6431,0.46076,1.05739,0.00965239,0.00965239,0.00965239
38,5014.34,0.79999,0.72178,1.13636,0.93543,0.8807,0.905626,0.93421,0.851827,0.78499,0.63548,0.45318,1.05233,0.00963306,0.00963306,0.00963306
39,5140.27,0.80267,0.71887,1.13625,0.9219,0.87808,0.897849,0.93257,0.843176,0.78023,0.64302,0.45008,1.05193,0.00961322,0.00961322,0.00961322
40,5265.88,0.79358,0.71201,1.1321,0.92565,0.88229,0.902008,0.93049,0.849769,0.78531,0.6338,0.44214,1.04999,0.00959289,0.00959289,0.00959289
41,5391.82,0.7977,0.71693,1.13454,0.92963,0.87614,0.90037,0.93471,0.856772,0.78795,0.6266,0.43703,1.04479,0.00957205,0.00957205,0.00957205
42,5517.8,0.78931,0.70166,1.12413,0.93411,0.88484,0.906969,0.93409,0.854391,0.78949,0.62325,0.43475,1.04946,0.00955072,0.00955072,0.00955072
43,5644.58,0.78885,0.70332,1.12844,0.9303,0.8804,0.902604,0.9369,0.849509,0.7883,0.63181,0.4305,1.05559,0.00952889,0.00952889,0.00952889
44,5770.55,0.78429,0.69079,1.12212,0.93312,0.88788,0.90794,0.93899,0.86256,0.79445,0.61801,0.41589,1.04492,0.00950658,0.00950658,0.00950658
45,5896.8,0.78282,0.69196,1.12022,0.93804,0.88912,0.911241,0.9372,0.861286,0.79575,0.6117,0.42239,1.03764,0.00948377,0.00948377,0.00948377
46,6022.89,0.77854,0.68575,1.11622,0.92049,0.89692,0.907002,0.93638,0.862357,0.79548,0.61774,0.42397,1.03818,0.00946048,0.00946048,0.00946048
47,6148.82,0.783,0.68946,1.1204,0.94687,0.88458,0.912793,0.94307,0.871153,0.80355,0.6061,0.40528,1.02823,0.00943671,0.00943671,0.00943671
48,6274.6,0.76481,0.67568,1.10535,0.93415,0.89497,0.913019,0.94258,0.866179,0.804,0.60928,0.40874,1.03569,0.00941245,0.00941245,0.00941245
49,6400.86,0.76715,0.67265,1.10975,0.92305,0.90237,0.91138,0.93764,0.86799,0.79828,0.61347,0.4076,1.03549,0.00938772,0.00938772,0.00938772
50,6527.06,0.76445,0.66724,1.11016,0.93508,0.89693,0.914275,0.94117,0.862684,0.8003,0.6146,0.40203,1.03769,0.00936251,0.00936251,0.00936251
51,6653.27,0.76404,0.66433,1.11081,0.92922,0.89937,0.912868,0.94282,0.861464,0.79927,0.60553,0.40241,1.03812,0.00933683,0.00933683,0.00933683
52,6779.46,0.7605,0.65679,1.10663,0.91737,0.90368,0.909504,0.94195,0.860379,0.80073,0.61044,0.40387,1.03965,0.00931067,0.00931067,0.00931067
53,6905.61,0.75116,0.6535,1.09735,0.93348,0.8951,0.912901,0.94034,0.866484,0.80207,0.60178,0.40137,1.0293,0.00928405,0.00928405,0.00928405
54,7031.88,0.75375,0.65093,1.10534,0.93519,0.89551,0.913951,0.94051,0.864951,0.80483,0.60166,0.39293,1.03585,0.00925697,0.00925697,0.00925697
55,7158.86,0.75124,0.64355,1.10118,0.95116,0.89705,0.92202,0.94447,0.866956,0.80618,0.59691,0.38955,1.03145,0.00922942,0.00922942,0.00922942
56,7285.28,0.75239,0.64539,1.10063,0.95219,0.89161,0.919644,0.94758,0.869087,0.80743,0.59863,0.38894,1.03254,0.00920142,0.00920142,0.00920142
57,7411.78,0.74392,0.63232,1.09689,0.94498,0.89658,0.919033,0.94785,0.868063,0.80891,0.59321,0.38458,1.02387,0.00917296,0.00917296,0.00917296
58,7538.27,0.74736,0.63703,1.09685,0.93808,0.90418,0.919709,0.94734,0.871925,0.81234,0.58829,0.37448,1.02224,0.00914405,0.00914405,0.00914405
59,7664.64,0.74276,0.63078,1.09467,0.93227,0.90271,0.916372,0.94699,0.874658,0.81163,0.59131,0.37825,1.02661,0.00911469,0.00911469,0.00911469
60,7790.6,0.7437,0.62436,1.09398,0.93857,0.90277,0.91883,0.94687,0.873503,0.81243,0.58676,0.37464,1.02627,0.00908488,0.00908488,0.00908488
61,7916.92,0.74289,0.63132,1.09713,0.94086,0.89559,0.916251,0.94625,0.877565,0.81388,0.58309,0.37256,1.02327,0.00905463,0.00905463,0.00905463
62,8042.97,0.73503,0.62533,1.08789,0.9363,0.90447,0.918991,0.94471,0.876277,0.81243,0.58747,0.37179,1.02514,0.00902395,0.00902395,0.00902395
