epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2487,1.48301,3.82397,1.54022,0.33928,0.34316,0.304465,0.28664,0.187019,0.18153,1.32069,2.37596,1.47884,0.00332848,0.00332848,0.0700437
2,193.596,1.43999,2.70597,1.48403,0.47499,0.42581,0.426857,0.41324,0.265132,0.2545,1.3681,2.03544,1.50698,0.00666163,0.00666163,0.0400435
3,283.533,1.50976,2.47944,1.53924,0.44403,0.37268,0.384376,0.36758,0.219552,0.21525,1.55359,2.48898,1.66762,0.00999406,0.00999406,0.0100426
4,371.983,1.52533,2.36984,1.55284,0.54299,0.46458,0.449597,0.48177,0.336278,0.30962,1.36174,1.98703,1.50564,0.00999756,0.00999756,0.00999756
5,457.33,1.45874,2.12701,1.50297,0.66518,0.50354,0.555585,0.57135,0.399776,0.37082,1.32278,1.82457,1.46415,0.00999566,0.00999566,0.00999566
6,545.777,1.40158,1.96356,1.46374,0.70534,0.55697,0.601286,0.62515,0.473052,0.42748,1.21051,1.55373,1.38574,0.00999322,0.00999322,0.00999322
7,636.028,1.33349,1.82821,1.42178,0.74847,0.60045,0.655107,0.67627,0.517631,0.46833,1.14453,1.38256,1.33798,0.00999023,0.00999023,0.00999023
8,722.102,1.29167,1.71702,1.39344,0.76812,0.58713,0.657547,0.68512,0.525648,0.48303,1.13429,1.36713,1.3286,0.00998671,0.00998671,0.00998671
9,807.524,1.25306,1.63194,1.3638,0.80154,0.62601,0.685844,0.73397,0.583085,0.52441,1.05144,1.20505,1.25776,0.00998264,0.00998264,0.00998264
10,891.988,1.23199,1.57586,1.3515,0.78348,0.68486,0.720708,0.75549,0.603607,0.5485,1.03597,1.14054,1.25068,0.00997803,0.00997803,0.00997803
11,979.443,1.20957,1.51387,1.32882,0.74921,0.68863,0.709773,0.75224,0.60558,0.54802,1.00126,1.10187,1.21664,0.00997288,0.00997288,0.00997288
12,1072.76,1.19113,1.47546,1.32516,0.78113,0.64145,0.694342,0.72863,0.585845,0.52861,1.06107,1.16659,1.26435,0.0099672,0.0099672,0.0099672
13,1165.67,1.17689,1.44066,1.30868,0.83657,0.65284,0.726617,0.77099,0.633953,0.57157,1.00322,1.06434,1.22529,0.00996097,0.00996097,0.00996097
14,1256.03,1.15328,1.38563,1.29221,0.84604,0.69414,0.754942,0.7952,0.662402,0.59643,0.94421,0.96164,1.17093,0.0099542,0.0099542,0.0099542
15,1345.25,1.14579,1.3673,1.29003,0.8286,0.69898,0.748993,0.80002,0.665831,0.59884,0.95017,0.97355,1.19796,0.0099469,0.0099469,0.0099469
16,1433.52,1.12562,1.33807,1.27627,0.82738,0.70225,0.746953,0.79573,0.661908,0.59988,0.93681,0.96905,1.17951,0.00993906,0.00993906,0.00993906
17,1519.65,1.12024,1.31075,1.27328,0.87414,0.70344,0.769557,0.81348,0.68265,0.62225,0.89684,0.89709,1.14812,0.00993068,0.00993068,0.00993068
18,1605.9,1.10283,1.29048,1.25842,0.85401,0.71143,0.76966,0.81645,0.681932,0.62017,0.90041,0.8876,1.1518,0.00992177,0.00992177,0.00992177
19,1691.2,1.09194,1.25752,1.2548,0.84719,0.73982,0.784616,0.83092,0.687038,0.62599,0.90273,0.86744,1.15001,0.00991232,0.00991232,0.00991232
20,1776.45,1.08046,1.22492,1.24317,0.84485,0.74461,0.786871,0.82918,0.694029,0.62881,0.89316,0.83551,1.14154,0.00990234,0.00990234,0.00990234
21,1861.8,1.07711,1.22481,1.23741,0.85787,0.73909,0.788307,0.82704,0.690425,0.63012,0.88527,0.84569,1.13943,0.00989183,0.00989183,0.00989183
22,1946.64,1.06464,1.20287,1.23487,0.85916,0.75427,0.798093,0.84212,0.72605,0.65569,0.8473,0.79341,1.12184,0.00988079,0.00988079,0.00988079
23,2032.06,1.05454,1.1835,1.22796,0.86691,0.75985,0.805492,0.84859,0.728784,0.65691,0.85013,0.77995,1.11904,0.00986922,0.00986922,0.00986922
24,2117.27,1.0529,1.16146,1.22333,0.84707,0.7743,0.8051,0.84107,0.713044,0.64981,0.85744,0.80087,1.11978,0.00985711,0.00985711,0.00985711
25,2202.29,1.04648,1.15988,1.22011,0.88513,0.75458,0.80713,0.85281,0.730545,0.66657,0.82753,0.75598,1.10558,0.00984449,0.00984449,0.00984449
26,2287.15,1.03479,1.12713,1.21009,0.87215,0.76796,0.812454,0.86065,0.743328,0.67628,0.83169,0.74608,1.10383,0.00983133,0.00983133,0.00983133
27,2372.06,1.025,1.10805,1.20142,0.87686,0.77754,0.817799,0.86215,0.733668,0.6709,0.82065,0.74054,1.09946,0.00981765,0.00981765,0.00981765
28,2464.83,1.02557,1.11084,1.20586,0.88672,0.76716,0.817385,0.85928,0.746105,0.67877,0.80023,0.72032,1.08217,0.00980345,0.00980345,0.00980345
29,2557.55,1.02204,1.10019,1.20175,0.88197,0.78127,0.824805,0.86415,0.752872,0.67953,0.81527,0.71144,1.07804,0.00978873,0.00978873,0.00978873
30,2649.95,1.02174,1.10451,1.20193,0.90191,0.77848,0.830482,0.86787,0.752865,0.68452,0.80162,0.70847,1.08402,0.00977349,0.00977349,0.00977349
31,2742.31,1.0074,1.08486,1.19602,0.8888,0.78357,0.82807,0.86821,0.753222,0.68878,0.79646,0.69298,1.08029,0.00975773,0.00975773,0.00975773
32,2834.7,1.009,1.07997,1.1941,0.87919,0.78868,0.827384,0.86919,0.765036,0.68962,0.79011,0.69496,1.07651,0.00974145,0.00974145,0.00974145
33,2925.84,0.99743,1.06753,1.18943,0.87423,0.79571,0.829856,0.87624,0.763748,0.69512,0.79021,0.66684,1.06992,0.00972466,0.00972466,0.00972466
34,3014.99,0.99551,1.05749,1.18777,0.90064,0.78682,0.834456,0.8753,0.768795,0.69948,0.77692,0.66241,1.06651,0.00970736,0.00970736,0.00970736
35,3103.57,0.98329,1.03038,1.17751,0.88744,0.81017,0.842291,0.88559,0.77589,0.70628,0.77769,0.63952,1.06275,0.00968955,0.00968955,0.00968955
36,3191.13,0.98046,1.02248,1.17626,0.90533,0.79822,0.843883,0.88166,0.777964,0.7039,0.76651,0.64352,1.06258,0.00967122,0.00967122,0.00967122
37,3277.68,0.98186,1.03457,1.17885,0.89158,0.80565,0.841448,0.88311,0.772749,0.70657,0.77859,0.64113,1.06651,0.00965239,0.00965239,0.00965239
38,3364.43,0.97259,1.02245,1.17251,0.89158,0.81544,0.847974,0.88873,0.775944,0.70968,0.77068,0.63219,1.06328,0.00963306,0.00963306,0.00963306
39,3451.19,0.97846,1.01469,1.17434,0.89245,0.8077,0.845056,0.88755,0.783711,0.70932,0.76894,0.6356,1.05778,0.00961322,0.00961322,0.00961322
40,3538.05,0.96312,1.00153,1.1679,0.91177,0.80861,0.853467,0.89435,0.78968,0.71828,0.75849,0.6101,1.05009,0.00959289,0.00959289,0.00959289
41,3624.66,0.97235,1.01237,1.17405,0.89941,0.82084,0.855224,0.89181,0.779682,0.71479,0.76693,0.61272,1.06163,0.00957205,0.00957205,0.00957205
42,3711.39,0.96365,0.99614,1.16354,0.91995,0.80461,0.853976,0.89454,0.783251,0.71692,0.75275,0.6089,1.04995,0.00955072,0.00955072,0.00955072
43,3797.82,0.96336,0.99489,1.16674,0.90165,0.82174,0.855963,0.89653,0.800341,0.72575,0.73832,0.59334,1.03761,0.00952889,0.00952889,0.00952889
44,3887.13,0.95678,0.97895,1.16093,0.89625,0.82615,0.857301,0.89542,0.796364,0.72534,0.73911,0.60085,1.04069,0.00950658,0.00950658,0.00950658
45,3976.66,0.95473,0.97042,1.15756,0.90716,0.82488,0.860894,0.8977,0.788018,0.72313,0.73919,0.59193,1.04,0.00948377,0.00948377,0.00948377
46,4065.97,0.9504,0.97322,1.15651,0.90272,0.83439,0.86471,0.89851,0.798617,0.72901,0.7355,0.58657,1.03855,0.00946048,0.00946048,0.00946048
47,4154.72,0.96204,0.98082,1.16415,0.93224,0.8288,0.872842,0.90479,0.795905,0.73165,0.72912,0.5821,1.03599,0.00943671,0.00943671,0.00943671
48,4243.95,0.93718,0.95586,1.14697,0.89895,0.85046,0.87133,0.9046,0.797883,0.73168,0.72562,0.57149,1.03446,0.00941245,0.00941245,0.00941245
49,4332.71,0.94332,0.95651,1.14975,0.89572,0.83844,0.862894,0.90307,0.799866,0.73228,0.72957,0.57638,1.03494,0.00938772,0.00938772,0.00938772
50,4421.56,0.93851,0.9521,1.15042,0.92485,0.82085,0.865868,0.90457,0.803175,0.73329,0.72692,0.56511,1.03474,0.00936251,0.00936251,0.00936251
51,4509.2,0.94205,0.94604,1.15031,0.90933,0.82913,0.863171,0.90679,0.808852,0.73416,0.72441,0.56678,1.03104,0.00933683,0.00933683,0.00933683
52,4601.24,0.93512,0.93819,1.14498,0.90765,0.84024,0.869064,0.90747,0.804113,0.73701,0.71784,0.55895,1.02867,0.00931067,0.00931067,0.00931067
53,4694.16,0.92887,0.93275,1.14257,0.89412,0.84556,0.865726,0.90619,0.807492,0.73925,0.71458,0.55929,1.02926,0.00928405,0.00928405,0.00928405
54,4787.65,0.93238,0.92704,1.14176,0.92308,0.82727,0.868506,0.90709,0.808592,0.74083,0.71004,0.55513,1.02213,0.00925697,0.00925697,0.00925697
55,4884.75,0.92552,0.92691,1.13982,0.91572,0.84157,0.873862,0.91169,0.809239,0.74566,0.69902,0.53616,1.01545,0.00922942,0.00922942,0.00922942
56,4978.56,0.92432,0.91866,1.13851,0.93368,0.8325,0.876033,0.91183,0.818272,0.74664,0.69614,0.53439,1.01555,0.00920142,0.00920142,0.00920142
57,5071.63,0.91729,0.90636,1.13782,0.93379,0.83665,0.878373,0.9141,0.818528,0.75036,0.69867,0.52717,1.01479,0.00917296,0.00917296,0.00917296
58,5164.43,0.91817,0.91884,1.13625,0.91682,0.85068,0.879591,0.91286,0.819693,0.74882,0.6964,0.53015,1.01274,0.00914405,0.00914405,0.00914405
59,5256.53,0.92069,0.90392,1.13209,0.92627,0.84761,0.881871,0.91626,0.82269,0.75431,0.68674,0.5241,1.00653,0.00911469,0.00911469,0.00911469
60,5348.23,0.92337,0.90956,1.13191,0.93037,0.83886,0.878527,0.91734,0.82564,0.75598,0.6896,0.52098,1.00894,0.00908488,0.00908488,0.00908488
61,5438.83,0.91864,0.90078,1.13728,0.92072,0.85488,0.882656,0.91736,0.823532,0.75419,0.68941,0.51816,1.01103,0.00905463,0.00905463,0.00905463
62,5530.36,0.91665,0.89513,1.13315,0.92912,0.8454,0.881361,0.9168,0.82256,0.75419,0.69163,0.52089,1.01179,0.00902395,0.00902395,0.00902395
63,5621.44,0.90005,0.88493,1.12191,0.92216,0.84425,0.878175,0.91693,0.827396,0.75416,0.6892,0.51621,1.01068,0.00899282,0.00899282,0.00899282
64,5712.58,0.91223,0.89417,1.13007,0.9249,0.85195,0.884068,0.91634,0.822942,0.75408,0.69214,0.5144,1.01347,0.00896127,0.00896127,0.00896127
65,5803.58,0.90377,0.88331,1.12598,0.91571,0.85665,0.882818,0.91747,0.825066,0.75528,0.69057,0.51263,1.01452,0.00892928,0.00892928,0.00892928
66,5894.92,0.90882,0.89727,1.13023,0.92533,0.85085,0.88367,0.91693,0.824027,0.75592,0.68917,0.5115,1.01303,0.00889687,0.00889687,0.00889687
67,5988.03,0.90769,0.89418,1.12769,0.92982,0.85202,0.886123,0.91892,0.826937,0.75659,0.68608,0.50599,1.00906,0.00886404,0.00886404,0.00886404
68,6073.39,0.90072,0.87064,1.12156,0.93348,0.84897,0.885617,0.91997,0.827575,0.75811,0.68189,0.50255,1.0076,0.00883079,0.00883079,0.00883079
69,6163.64,0.90224,0.87201,1.12174,0.92816,0.85884,0.889265,0.92226,0.831007,0.76052,0.68029,0.5016,1.00718,0.00879713,0.00879713,0.00879713
70,6264.83,0.89866,0.87224,1.12299,0.93364,0.85505,0.889413,0.92218,0.829768,0.76287,0.67773,0.49994,1.00487,0.00876305,0.00876305,0.00876305
71,6358.8,0.89514,0.86844,1.12098,0.91934,0.86313,0.887834,0.9224,0.83208,0.76181,0.67454,0.49804,1.00256,0.00872857,0.00872857,0.00872857
72,6451.84,0.89063,0.86747,1.11552,0.92568,0.8611,0.889808,0.92288,0.834187,0.76493,0.67249,0.49699,1.00155,0.00869368,0.00869368,0.00869368
73,6546.64,0.89101,0.85355,1.11431,0.92345,0.86314,0.889671,0.92376,0.828679,0.76467,0.66963,0.49317,1.00077,0.00865839,0.00865839,0.00865839
74,6643.75,0.89324,0.86289,1.12116,0.92088,0.86259,0.888514,0.92501,0.830541,0.76478,0.66614,0.49159,0.99916,0.00862271,0.00862271,0.00862271
75,6743.18,0.89296,0.85372,1.12082,0.93192,0.85469,0.888534,0.92504,0.835618,0.76692,0.6647,0.48946,0.99832,0.00858664,0.00858664,0.00858664
76,6841.78,0.88286,0.85164,1.11373,0.92665,0.8626,0.890848,0.92509,0.832418,0.76752,0.6654,0.48762,0.99837,0.00855018,0.00855018,0.00855018
77,6943.73,0.89085,0.85087,1.11351,0.93793,0.85618,0.892104,0.92553,0.837515,0.7675,0.66639,0.4873,0.99795,0.00851333,0.00851333,0.00851333
78,7043.85,0.88634,0.84657,1.11205,0.93847,0.85425,0.891073,0.9255,0.83723,0.76718,0.6655,0.48522,0.99659,0.00847611,0.00847611,0.00847611
79,7140.47,0.88455,0.84208,1.10785,0.93747,0.85393,0.89047,0.92625,0.839642,0.76807,0.66247,0.48187,0.99339,0.00843851,0.00843851,0.00843851
80,7242.38,0.88398,0.8512,1.11072,0.93293,0.86134,0.892694,0.92559,0.838577,0.76826,0.66096,0.48006,0.99248,0.00840054,0.00840054,0.00840054
81,7344.05,0.87115,0.83067,1.10552,0.9313,0.86614,0.894981,0.92724,0.837074,0.76963,0.65971,0.47749,0.99129,0.0083622,0.0083622,0.0083622
82,7447.46,0.8645,0.81935,1.10057,0.93804,0.86155,0.895406,0.92753,0.838685,0.76951,0.65811,0.47795,0.99,0.00832349,0.00832349,0.00832349
83,7545.91,0.87573,0.83046,1.10444,0.94158,0.86078,0.896468,0.92749,0.837738,0.77007,0.65755,0.4788,0.9898,0.00828443,0.00828443,0.00828443
84,7652.29,0.87554,0.83141,1.1086,0.94283,0.86005,0.896609,0.92763,0.839214,0.77077,0.65723,0.4778,0.98939,0.00824502,0.00824502,0.00824502
85,7751.23,0.87889,0.83621,1.10682,0.93817,0.86127,0.895415,0.92685,0.842721,0.77055,0.65713,0.47671,0.98921,0.00820525,0.00820525,0.00820525
86,7861.25,0.86899,0.82116,1.10403,0.93544,0.86014,0.893565,0.92705,0.842522,0.77077,0.65737,0.47587,0.99013,0.00816514,0.00816514,0.00816514
87,7964.94,0.86936,0.82462,1.10571,0.93729,0.85965,0.893743,0.92768,0.843155,0.77086,0.65704,0.47466,0.98964,0.00812468,0.00812468,0.00812468
88,8067.2,0.86829,0.8171,1.10061,0.93171,0.86178,0.892638,0.92777,0.842611,0.77127,0.65809,0.47369,0.99132,0.00808389,0.00808389,0.00808389
89,8166.06,0.86652,0.81509,1.10297,0.9312,0.86245,0.892899,0.928,0.840434,0.77226,0.65683,0.4721,0.9908,0.00804277,0.00804277,0.00804277
90,8265.08,0.87056,0.82106,1.10334,0.93066,0.86458,0.8938,0.92829,0.840102,0.77288,0.65665,0.47172,0.9908,0.00800131,0.00800131,0.00800131
91,8365.14,0.86029,0.80625,1.0979,0.92619,0.87024,0.895128,0.92834,0.84162,0.77253,0.657,0.47177,0.99071,0.00795954,0.00795954,0.00795954
92,8463.04,0.86631,0.81406,1.10281,0.93081,0.86826,0.895979,0.92825,0.84266,0.77275,0.65641,0.47143,0.9902,0.00791744,0.00791744,0.00791744
93,8558.92,0.86124,0.80813,1.09571,0.9285,0.86964,0.895715,0.92757,0.840933,0.77329,0.6568,0.47046,0.99026,0.00787503,0.00787503,0.00787503
94,8653.55,0.85418,0.80057,1.09232,0.92945,0.86679,0.894288,0.92805,0.841917,0.7742,0.6567,0.46949,0.9902,0.00783231,0.00783231,0.00783231
95,8749.32,0.85681,0.80394,1.09364,0.93024,0.86803,0.895525,0.92929,0.84199,0.77344,0.65681,0.46936,0.99025,0.00778929,0.00778929,0.00778929
96,8847.81,0.85464,0.79237,1.09281,0.93174,0.86903,0.896708,0.92985,0.844717,0.77474,0.65548,0.46763,0.98939,0.00774596,0.00774596,0.00774596
97,8946.87,0.85054,0.78828,1.09125,0.9298,0.8702,0.896543,0.9304,0.843985,0.77379,0.65509,0.46712,0.98942,0.00770234,0.00770234,0.00770234
98,9042.29,0.8503,0.79881,1.09418,0.92983,0.86821,0.89536,0.93022,0.844944,0.77563,0.6547,0.46661,0.98921,0.00765843,0.00765843,0.00765843
99,9141.14,0.85358,0.80106,1.08936,0.92867,0.86908,0.895319,0.93024,0.845414,0.77559,0.65382,0.46597,0.9884,0.00761423,0.00761423,0.00761423
100,9236.89,0.85597,0.79148,1.09438,0.92827,0.86894,0.895077,0.92974,0.842247,0.77485,0.65344,0.46474,0.98818,0.00756976,0.00756976,0.00756976
101,9333.51,0.85229,0.78843,1.09078,0.92874,0.86993,0.895818,0.92986,0.845019,0.77582,0.65219,0.46405,0.98749,0.007525,0.007525,0.007525
102,9429.34,0.84638,0.78451,1.08814,0.92969,0.8702,0.896462,0.93001,0.844541,0.77562,0.6515,0.4639,0.98735,0.00747997,0.00747997,0.00747997
103,9530.62,0.8422,0.77486,1.08692,0.93086,0.8703,0.897145,0.93047,0.846528,0.7769,0.65105,0.46323,0.98671,0.00743468,0.00743468,0.00743468
104,9629.38,0.83951,0.77834,1.08481,0.93166,0.8678,0.895938,0.93043,0.846304,0.77662,0.6505,0.46234,0.98646,0.00738913,0.00738913,0.00738913
105,9732.92,0.84198,0.77781,1.08763,0.92935,0.86978,0.896076,0.93032,0.846845,0.77746,0.64988,0.46148,0.9863,0.00734332,0.00734332,0.00734332
106,9850.76,0.84343,0.77963,1.0877,0.92921,0.87017,0.896244,0.93041,0.846078,0.77757,0.64988,0.461,0.98633,0.00729725,0.00729725,0.00729725
107,9964.2,0.84519,0.78546,1.08827,0.93372,0.86735,0.896603,0.9302,0.845979,0.77804,0.6498,0.45994,0.98641,0.00725094,0.00725094,0.00725094
108,10068.9,0.83681,0.77405,1.08735,0.93081,0.86728,0.895229,0.9299,0.847456,0.77834,0.64926,0.45948,0.98625,0.00720439,0.00720439,0.00720439
109,10189.2,0.84367,0.77628,1.08849,0.92979,0.86716,0.894787,0.92993,0.847448,0.77839,0.64891,0.45927,0.98623,0.00715761,0.00715761,0.00715761
110,10306.4,0.83803,0.77348,1.08549,0.93089,0.86699,0.895145,0.93006,0.848086,0.77909,0.64904,0.45942,0.98649,0.00711059,0.00711059,0.00711059
111,10406.3,0.83209,0.76699,1.08276,0.93231,0.86566,0.895071,0.93011,0.848529,0.77912,0.64856,0.45888,0.9864,0.00706335,0.00706335,0.00706335
112,10508.8,0.83178,0.76529,1.08025,0.93169,0.86478,0.894374,0.92993,0.847744,0.77922,0.64866,0.45841,0.9863,0.00701588,0.00701588,0.00701588
113,10611,0.82826,0.76109,1.07713,0.92972,0.86693,0.894773,0.92991,0.845431,0.77804,0.6487,0.45792,0.9865,0.0069682,0.0069682,0.0069682
114,10726.2,0.82897,0.75894,1.07705,0.92996,0.86643,0.894589,0.9302,0.845764,0.77829,0.64876,0.45731,0.98649,0.00692031,0.00692031,0.00692031
115,10823.1,0.82573,0.75056,1.07476,0.92911,0.86759,0.894896,0.93035,0.845088,0.77873,0.64887,0.45715,0.98674,0.00687222,0.00687222,0.00687222
116,10922.2,0.82691,0.76051,1.07659,0.92879,0.86864,0.895297,0.93012,0.845012,0.77885,0.64857,0.45663,0.98674,0.00682392,0.00682392,0.00682392
117,11029.8,0.82556,0.75261,1.07564,0.92917,0.86883,0.89562,0.93044,0.846337,0.77904,0.64798,0.45602,0.98627,0.00677543,0.00677543,0.00677543
118,11149.3,0.81877,0.74328,1.06946,0.9292,0.87007,0.896359,0.93066,0.846422,0.77885,0.64798,0.45576,0.98641,0.00672675,0.00672675,0.00672675
119,11257.9,0.81997,0.73971,1.07204,0.92672,0.87102,0.8957,0.93097,0.84694,0.77936,0.64747,0.45519,0.98598,0.00667789,0.00667789,0.00667789
120,11353.5,0.8174,0.74377,1.0732,0.92359,0.876,0.897182,0.93115,0.848117,0.77983,0.64746,0.45487,0.98599,0.00662885,0.00662885,0.00662885
121,11448.8,0.81749,0.73737,1.07153,0.92446,0.87654,0.897806,0.93106,0.847801,0.77978,0.64689,0.45458,0.98559,0.00657963,0.00657963,0.00657963
122,11544,0.81491,0.73864,1.0688,0.92469,0.87836,0.899027,0.93128,0.849478,0.7802,0.64663,0.4538,0.98535,0.00653025,0.00653025,0.00653025
123,11639.4,0.81488,0.74173,1.07004,0.92332,0.87903,0.898802,0.93144,0.850344,0.78039,0.6463,0.45279,0.98502,0.00648071,0.00648071,0.00648071
124,11735,0.81857,0.73781,1.07351,0.92569,0.87903,0.899878,0.93153,0.850943,0.78033,0.64599,0.45237,0.98474,0.00643101,0.00643101,0.00643101
125,11830.1,0.81003,0.7269,1.06353,0.9255,0.87832,0.899349,0.93156,0.850128,0.78047,0.6454,0.4519,0.98428,0.00638115,0.00638115,0.00638115
126,11926.1,0.80435,0.72513,1.06318,0.926,0.87874,0.899752,0.93172,0.849752,0.78079,0.6457,0.45118,0.98434,0.00633115,0.00633115,0.00633115
127,12022.5,0.81103,0.7368,1.06791,0.92632,0.87852,0.899807,0.93149,0.849466,0.78093,0.646,0.45101,0.98452,0.00628101,0.00628101,0.00628101
128,12118.1,0.8094,0.73213,1.06314,0.9275,0.8755,0.898691,0.93123,0.849974,0.78079,0.64562,0.45058,0.98414,0.00623074,0.00623074,0.00623074
129,12213.6,0.80573,0.71819,1.06079,0.92556,0.87791,0.899097,0.93109,0.850469,0.78063,0.64531,0.45054,0.98376,0.00618034,0.00618034,0.00618034
130,12309.2,0.80092,0.71972,1.05831,0.92257,0.87901,0.898297,0.93112,0.848996,0.78104,0.64494,0.44987,0.9833,0.00612981,0.00612981,0.00612981
131,12405.3,0.79331,0.71334,1.05769,0.92292,0.87891,0.898374,0.93112,0.849817,0.78155,0.64484,0.44945,0.98313,0.00607916,0.00607916,0.00607916
