epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.448,1.39854,3.11012,1.52527,0.58231,0.52078,0.51845,0.54683,0.425732,0.39199,1.07921,1.57175,1.32328,0.00332848,0.00332848,0.0700437
2,197.429,1.23174,1.79828,1.36585,0.66294,0.54506,0.580959,0.6011,0.442609,0.40443,1.18029,1.48232,1.381,0.00666163,0.00666163,0.0400435
3,289.537,1.32863,1.81763,1.42323,0.61524,0.50514,0.524411,0.55127,0.393439,0.36772,1.25219,1.73142,1.42156,0.00999406,0.00999406,0.0100426
4,382.62,1.39518,1.89255,1.47601,0.67296,0.53188,0.563709,0.60227,0.440474,0.40338,1.23843,1.53097,1.42343,0.00999756,0.00999756,0.00999756
5,476.494,1.33988,1.73758,1.43251,0.75508,0.57197,0.635395,0.67016,0.507309,0.45985,1.16443,1.37519,1.34307,0.00999566,0.00999566,0.00999566
6,571.698,1.28431,1.6039,1.39744,0.77492,0.614,0.672019,0.71183,0.56523,0.50537,1.07421,1.18264,1.28214,0.00999322,0.00999322,0.00999322
7,666.914,1.23133,1.49662,1.36432,0.74894,0.58905,0.638567,0.67525,0.534466,0.48148,1.10105,1.3284,1.30786,0.00999023,0.00999023,0.00999023
8,762.13,1.18971,1.41368,1.33788,0.80525,0.69101,0.736066,0.77863,0.64303,0.57421,1.00141,0.98841,1.22184,0.00998671,0.00998671,0.00998671
9,858.268,1.15174,1.34481,1.30735,0.8579,0.67186,0.737332,0.78312,0.641424,0.577,0.98596,1.00514,1.2244,0.00998264,0.00998264,0.00998264
10,954.496,1.13016,1.29009,1.29604,0.84059,0.71325,0.762779,0.80316,0.676823,0.60658,0.93204,0.91435,1.18053,0.00997803,0.00997803,0.00997803
11,1051.2,1.10237,1.24742,1.27321,0.84377,0.74017,0.784204,0.81704,0.696264,0.62227,0.90872,0.87481,1.17236,0.00997288,0.00997288,0.00997288
12,1147.59,1.09231,1.21222,1.271,0.85618,0.74797,0.793579,0.83033,0.691329,0.62802,0.90437,0.83103,1.17092,0.0099672,0.0099672,0.0099672
13,1244.71,1.07947,1.18308,1.25643,0.86077,0.74888,0.792186,0.83993,0.710461,0.64038,0.88158,0.80874,1.14364,0.00996097,0.00996097,0.00996097
14,1341.99,1.04943,1.13633,1.24072,0.87527,0.74629,0.80076,0.84222,0.71795,0.65199,0.86408,0.79641,1.13302,0.0099542,0.0099542,0.0099542
15,1439.22,1.03808,1.12595,1.23094,0.88786,0.7498,0.807502,0.84785,0.729632,0.6576,0.85531,0.77773,1.1394,0.0099469,0.0099469,0.0099469
16,1536.29,1.02406,1.08786,1.22615,0.851,0.77506,0.804116,0.84961,0.724055,0.65951,0.853,0.76785,1.12344,0.00993906,0.00993906,0.00993906
