epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.002,1.55806,3.50204,1.58793,0.48342,0.40746,0.413581,0.41203,0.284128,0.26708,1.26524,2.16063,1.44581,0.00333091,0.00333091,0.0700218
2,211.389,1.50779,2.51639,1.55212,0.65751,0.48561,0.538213,0.56158,0.413763,0.37969,1.23004,1.69891,1.416,0.00666406,0.00666406,0.0400217
3,314.022,1.56433,2.38823,1.59978,0.60569,0.50915,0.49969,0.55165,0.392751,0.3591,1.28004,1.78604,1.43755,0.00999649,0.00999649,0.0100208
4,416.258,1.5691,2.30511,1.60463,0.66607,0.58543,0.605251,0.64685,0.501025,0.45016,1.16362,1.47944,1.35715,0.00999756,0.00999756,0.00999756
5,518.375,1.47863,2.08425,1.54557,0.71169,0.64023,0.660306,0.70069,0.543149,0.49021,1.11633,1.35026,1.32019,0.00999566,0.00999566,0.00999566
6,620.641,1.40733,1.93676,1.49273,0.79141,0.64944,0.707938,0.74362,0.590003,0.53597,1.03644,1.16351,1.26843,0.00999322,0.00999322,0.00999322
7,722.825,1.36357,1.82492,1.45552,0.81731,0.68663,0.734577,0.7809,0.648811,0.58558,0.95357,1.09228,1.19448,0.00999023,0.00999023,0.00999023
8,825.062,1.32931,1.74907,1.43402,0.8528,0.68356,0.747063,0.79672,0.67142,0.5996,0.94287,0.99771,1.19261,0.00998671,0.00998671,0.00998671
9,927.202,1.30481,1.69309,1.41869,0.85726,0.70565,0.764326,0.80937,0.682306,0.61358,0.92075,0.95984,1.16697,0.00998264,0.00998264,0.00998264
10,1029.21,1.2729,1.62158,1.39202,0.84981,0.71298,0.769489,0.81372,0.685101,0.62059,0.89311,0.90981,1.15218,0.00997803,0.00997803,0.00997803
11,1131.44,1.25335,1.57535,1.37887,0.89549,0.72453,0.793076,0.83253,0.7065,0.6426,0.86682,0.84738,1.12952,0.00997288,0.00997288,0.00997288
12,1233.53,1.2348,1.52651,1.36667,0.87458,0.75415,0.80307,0.84342,0.725079,0.65637,0.84312,0.81077,1.1179,0.0099672,0.0099672,0.0099672
13,1335.63,1.21632,1.49716,1.35212,0.88346,0.75621,0.809348,0.853,0.747355,0.67007,0.83757,0.79203,1.11481,0.00996097,0.00996097,0.00996097
14,1437.77,1.20954,1.47291,1.34502,0.86933,0.77833,0.816076,0.86012,0.751108,0.67866,0.81372,0.76622,1.09669,0.0099542,0.0099542,0.0099542
15,1539.84,1.19636,1.4451,1.33428,0.8913,0.76915,0.819198,0.865,0.761539,0.68633,0.79676,0.72912,1.08135,0.0099469,0.0099469,0.0099469
16,1641.99,1.18707,1.42287,1.32582,0.88732,0.79266,0.832433,0.87091,0.770414,0.69467,0.78425,0.71332,1.07849,0.00993906,0.00993906,0.00993906
17,1744.04,1.17138,1.38699,1.31368,0.87807,0.80179,0.833821,0.87447,0.769945,0.69931,0.78403,0.6978,1.0736,0.00993068,0.00993068,0.00993068
18,1846.14,1.1622,1.3688,1.3066,0.89318,0.80423,0.841907,0.87936,0.768165,0.7017,0.77767,0.6806,1.06472,0.00992177,0.00992177,0.00992177
19,1948.25,1.15604,1.35659,1.30675,0.90273,0.80179,0.845789,0.8768,0.775442,0.70537,0.76483,0.67449,1.06244,0.00991232,0.00991232,0.00991232
20,2050.23,1.15263,1.34723,1.30281,0.89425,0.8189,0.852102,0.88654,0.785641,0.71529,0.76177,0.64477,1.0604,0.00990234,0.00990234,0.00990234
21,2152.35,1.13931,1.32669,1.29445,0.90622,0.81744,0.855553,0.88895,0.794223,0.71789,0.75497,0.63581,1.05107,0.00989183,0.00989183,0.00989183
22,2254.38,1.13759,1.31691,1.29278,0.90639,0.82262,0.858302,0.89299,0.793173,0.72332,0.74062,0.61365,1.04335,0.00988079,0.00988079,0.00988079
23,2356.43,1.13141,1.30643,1.28637,0.92354,0.81426,0.861067,0.89505,0.799499,0.72677,0.7319,0.60709,1.0379,0.00986922,0.00986922,0.00986922
24,2458.41,1.12961,1.29572,1.28486,0.91365,0.81795,0.858634,0.89664,0.804504,0.73179,0.72451,0.59433,1.03429,0.00985711,0.00985711,0.00985711
25,2560.49,1.12295,1.27878,1.2771,0.93234,0.82059,0.868396,0.89922,0.804337,0.73458,0.71901,0.5827,1.03162,0.00984449,0.00984449,0.00984449
26,2662.63,1.11357,1.26019,1.27445,0.92671,0.8195,0.865671,0.89877,0.803896,0.73713,0.71642,0.58247,1.03393,0.00983133,0.00983133,0.00983133
27,2764.77,1.10616,1.25297,1.26837,0.92533,0.82936,0.871351,0.90458,0.813805,0.74048,0.70927,0.57075,1.02632,0.00981765,0.00981765,0.00981765
28,2866.93,1.10419,1.24155,1.26645,0.93891,0.82794,0.875797,0.90485,0.811829,0.74307,0.71019,0.5657,1.02214,0.00980345,0.00980345,0.00980345
29,2968.96,1.0968,1.23356,1.26162,0.92344,0.83784,0.875671,0.90617,0.8183,0.74401,0.71039,0.55949,1.02461,0.00978873,0.00978873,0.00978873
30,3071.11,1.1001,1.23146,1.26123,0.92477,0.8394,0.876688,0.90816,0.824111,0.7473,0.70758,0.5518,1.01963,0.00977349,0.00977349,0.00977349
31,3173.16,1.09165,1.21835,1.25542,0.9228,0.83663,0.874588,0.90734,0.823058,0.74682,0.70233,0.54747,1.01824,0.00975773,0.00975773,0.00975773
32,3275.27,1.08967,1.21505,1.25465,0.92061,0.8507,0.88184,0.91034,0.826141,0.74871,0.69763,0.5428,1.01689,0.00974145,0.00974145,0.00974145
33,3377.31,1.08643,1.20561,1.25182,0.90871,0.85906,0.881149,0.91373,0.826332,0.75294,0.69552,0.54053,1.01589,0.00972466,0.00972466,0.00972466
34,3479.36,1.0785,1.19163,1.2452,0.92315,0.84635,0.880666,0.91479,0.824604,0.75445,0.68649,0.53143,1.00964,0.00970736,0.00970736,0.00970736
35,3581.58,1.08303,1.19146,1.24765,0.9377,0.84202,0.883779,0.91505,0.824598,0.75663,0.68141,0.53099,1.00815,0.00968955,0.00968955,0.00968955
36,3683.57,1.08025,1.18756,1.24598,0.93243,0.84207,0.881908,0.91467,0.829517,0.75947,0.68255,0.52547,1.00676,0.00967122,0.00967122,0.00967122
37,3785.68,1.07402,1.18291,1.24376,0.91458,0.85821,0.883213,0.9156,0.826884,0.7596,0.68043,0.52273,1.00534,0.00965239,0.00965239,0.00965239
38,3887.71,1.06898,1.16704,1.23896,0.92197,0.85518,0.884833,0.91559,0.824678,0.75966,0.67979,0.51952,1.00469,0.00963306,0.00963306,0.00963306
39,3989.73,1.066,1.1684,1.23633,0.92052,0.85818,0.885672,0.91703,0.827815,0.76005,0.67649,0.51559,1.00288,0.00961322,0.00961322,0.00961322
40,4091.9,1.06603,1.16634,1.23714,0.91981,0.86245,0.887731,0.91758,0.827305,0.76124,0.673,0.51308,1.00096,0.00959289,0.00959289,0.00959289
41,4194.08,1.06029,1.15647,1.23685,0.92791,0.8582,0.888997,0.91919,0.834727,0.76411,0.67086,0.5106,1.00012,0.00957205,0.00957205,0.00957205
42,4296.19,1.05686,1.14583,1.22931,0.93149,0.86291,0.893233,0.91949,0.835503,0.7646,0.67003,0.50669,0.99951,0.00955072,0.00955072,0.00955072
43,4398.19,1.06231,1.15538,1.23491,0.92681,0.85848,0.888785,0.92015,0.833187,0.76487,0.66998,0.50406,0.99977,0.00952889,0.00952889,0.00952889
44,4500.19,1.05693,1.15471,1.23297,0.92825,0.8609,0.890791,0.92089,0.834772,0.76608,0.66801,0.49932,0.999,0.00950658,0.00950658,0.00950658
45,4602.39,1.05949,1.14668,1.23384,0.92637,0.86137,0.889962,0.92042,0.834351,0.76541,0.6666,0.49788,0.99909,0.00948377,0.00948377,0.00948377
46,4704.45,1.05574,1.14285,1.22932,0.93164,0.85734,0.890243,0.92077,0.835636,0.76581,0.66375,0.49502,0.99711,0.00946048,0.00946048,0.00946048
47,4806.5,1.05294,1.13323,1.22762,0.94599,0.85047,0.892546,0.92088,0.831413,0.76617,0.66337,0.49287,0.99664,0.00943671,0.00943671,0.00943671
48,4908.61,1.04545,1.12826,1.22274,0.93412,0.85767,0.891629,0.92176,0.831801,0.76635,0.66237,0.49153,0.99532,0.00941245,0.00941245,0.00941245
49,5010.64,1.04408,1.1264,1.22203,0.93031,0.85952,0.89095,0.92163,0.836433,0.76773,0.66275,0.49117,0.99565,0.00938772,0.00938772,0.00938772
50,5112.83,1.04236,1.11795,1.21963,0.93212,0.8607,0.892422,0.92244,0.836121,0.76928,0.66271,0.49041,0.99572,0.00936251,0.00936251,0.00936251
51,5214.88,1.0402,1.11369,1.22108,0.92442,0.8674,0.892757,0.92201,0.835472,0.76888,0.66197,0.48904,0.99584,0.00933683,0.00933683,0.00933683
52,5317.05,1.04353,1.11567,1.22196,0.92494,0.86964,0.894171,0.92183,0.835703,0.76887,0.66175,0.48919,0.99563,0.00931067,0.00931067,0.00931067
53,5419.2,1.04043,1.113,1.21875,0.92953,0.86678,0.894454,0.92158,0.834898,0.76873,0.6614,0.48901,0.99573,0.00928405,0.00928405,0.00928405
54,5521.4,1.03793,1.10765,1.21417,0.93331,0.86671,0.89614,0.92226,0.836129,0.77048,0.66099,0.48819,0.99563,0.00925697,0.00925697,0.00925697
55,5623.4,1.03562,1.10184,1.21559,0.93538,0.86425,0.895514,0.92332,0.839368,0.77183,0.65983,0.48733,0.99511,0.00922942,0.00922942,0.00922942
56,5725.37,1.04087,1.10874,1.22035,0.93712,0.86201,0.895062,0.92248,0.839805,0.77197,0.65911,0.48544,0.99468,0.00920142,0.00920142,0.00920142
57,5827.45,1.03422,1.10133,1.21317,0.93392,0.86561,0.895592,0.92308,0.840223,0.77236,0.65802,0.48466,0.9939,0.00917296,0.00917296,0.00917296
58,5929.52,1.03042,1.09324,1.20965,0.93693,0.864,0.896007,0.92325,0.840383,0.77324,0.65763,0.48419,0.99389,0.00914405,0.00914405,0.00914405
59,6031.62,1.02957,1.08809,1.21101,0.93548,0.86554,0.896306,0.92356,0.840266,0.77439,0.6566,0.4832,0.99324,0.00911469,0.00911469,0.00911469
60,6133.85,1.02835,1.08404,1.20648,0.93685,0.86489,0.896498,0.92379,0.839411,0.77357,0.65622,0.48223,0.99305,0.00908488,0.00908488,0.00908488
61,6235.91,1.02533,1.08277,1.20697,0.93293,0.86817,0.896649,0.92419,0.839126,0.77351,0.65575,0.48168,0.99282,0.00905463,0.00905463,0.00905463
62,6337.98,1.02569,1.08223,1.20812,0.93174,0.86829,0.896249,0.92411,0.840126,0.77444,0.65459,0.47987,0.99202,0.00902395,0.00902395,0.00902395
63,6440.02,1.02707,1.07793,1.20616,0.93394,0.86698,0.896418,0.92411,0.84156,0.77463,0.6537,0.47881,0.99157,0.00899282,0.00899282,0.00899282
64,6541.97,1.02425,1.07988,1.20797,0.93283,0.86761,0.896351,0.92476,0.84338,0.77551,0.65372,0.4778,0.99162,0.00896127,0.00896127,0.00896127
65,6644.04,1.02374,1.07658,1.20821,0.93739,0.8648,0.896876,0.92406,0.844158,0.7757,0.65333,0.47715,0.99155,0.00892928,0.00892928,0.00892928
66,6746.2,1.01434,1.06247,1.19842,0.93892,0.8648,0.897639,0.9245,0.844057,0.77621,0.6528,0.47643,0.99134,0.00889687,0.00889687,0.00889687
