epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.722,1.45279,2.76871,1.55955,0.71161,0.60006,0.637619,0.6773,0.537529,0.48983,1.01451,1.25086,1.24164,0.00333091,0.00333091,0.0700218
2,357.228,1.30424,1.81119,1.41176,0.72537,0.60672,0.64512,0.68456,0.549772,0.49151,1.05128,1.22653,1.27059,0.00666406,0.00666406,0.0400217
3,533.625,1.39959,1.88496,1.47348,0.77137,0.53286,0.611225,0.65662,0.507572,0.45547,1.12726,1.36278,1.30856,0.00999649,0.00999649,0.0100208
4,709.75,1.44725,1.94303,1.51812,0.75784,0.6286,0.670581,0.72151,0.579936,0.51482,1.07578,1.19177,1.28641,0.00999756,0.00999756,0.00999756
5,885.674,1.36638,1.75611,1.46515,0.80979,0.67639,0.725436,0.77549,0.627595,0.56643,0.98877,1.02843,1.22533,0.00999566,0.00999566,0.00999566
6,1061.75,1.29859,1.62466,1.41163,0.84816,0.71184,0.770348,0.81161,0.686923,0.61215,0.91357,0.91959,1.16446,0.00999322,0.00999322,0.00999322
7,1237.66,1.25484,1.53041,1.38391,0.86755,0.72266,0.780938,0.82188,0.696802,0.62901,0.88277,0.88928,1.14825,0.00999023,0.00999023,0.00999023
8,1413.78,1.21929,1.45602,1.35695,0.86926,0.77302,0.813063,0.85359,0.743919,0.66548,0.83129,0.77622,1.1179,0.00998671,0.00998671,0.00998671
9,1589.82,1.19037,1.39077,1.33839,0.90383,0.77784,0.831243,0.86831,0.758951,0.678,0.82716,0.73395,1.10759,0.00998264,0.00998264,0.00998264
10,1765.72,1.15774,1.33744,1.3144,0.90315,0.80383,0.845593,0.87856,0.751855,0.68963,0.81067,0.68099,1.09207,0.00997803,0.00997803,0.00997803
11,1941.83,1.14395,1.30111,1.30545,0.9179,0.7855,0.840092,0.89088,0.779393,0.70611,0.77576,0.66353,1.06292,0.00997288,0.00997288,0.00997288
12,2117.71,1.12184,1.25512,1.28989,0.91103,0.81208,0.854073,0.89131,0.783099,0.70871,0.76731,0.62816,1.06361,0.0099672,0.0099672,0.0099672
13,2293.84,1.10648,1.22596,1.27841,0.90839,0.8247,0.860716,0.9015,0.794857,0.72309,0.74664,0.59861,1.04765,0.00996097,0.00996097,0.00996097
14,2469.87,1.0955,1.2041,1.27032,0.89192,0.83855,0.860103,0.90549,0.800965,0.73272,0.7292,0.58533,1.03878,0.0099542,0.0099542,0.0099542
15,2645.81,1.0784,1.17999,1.25848,0.90146,0.83948,0.866488,0.90734,0.80574,0.73657,0.72143,0.57251,1.03446,0.0099469,0.0099469,0.0099469
16,2821.89,1.071,1.15882,1.24966,0.91832,0.85427,0.882082,0.90996,0.816782,0.74274,0.70778,0.55511,1.02516,0.00993906,0.00993906,0.00993906
17,2997.93,1.05622,1.13209,1.23976,0.92522,0.85503,0.885365,0.91711,0.828416,0.75356,0.69802,0.52731,1.01915,0.00993068,0.00993068,0.00993068
18,3173.93,1.04664,1.11136,1.23555,0.9348,0.86537,0.896088,0.92572,0.836354,0.76161,0.68978,0.513,1.00986,0.00992177,0.00992177,0.00992177
19,3349.83,1.03806,1.09892,1.22798,0.94479,0.86479,0.900021,0.92547,0.844431,0.7666,0.6827,0.50494,1.00781,0.00991232,0.00991232,0.00991232
20,3525.95,1.03236,1.08391,1.2235,0.93477,0.865,0.895926,0.92506,0.839135,0.76724,0.6819,0.49918,1.01515,0.00990234,0.00990234,0.00990234
21,3701.95,1.02145,1.07306,1.21594,0.94418,0.86099,0.897473,0.92666,0.836994,0.76878,0.6686,0.48906,1.00218,0.00989183,0.00989183,0.00989183
22,3877.86,1.01891,1.05852,1.21421,0.9395,0.87239,0.901762,0.93282,0.843249,0.77698,0.66249,0.47329,0.99434,0.00988079,0.00988079,0.00988079
23,4053.93,1.01168,1.0498,1.20926,0.93439,0.86689,0.896935,0.93145,0.85024,0.77726,0.65008,0.47311,0.98817,0.00986922,0.00986922,0.00986922
24,4229.82,1.01015,1.04238,1.20736,0.93805,0.86664,0.897333,0.92992,0.85165,0.77886,0.65198,0.46728,0.98948,0.00985711,0.00985711,0.00985711
25,4405.8,0.9991,1.02692,1.20087,0.94881,0.873,0.906629,0.93331,0.857242,0.78499,0.64406,0.45988,0.98464,0.00984449,0.00984449,0.00984449
26,4581.83,0.99193,1.00871,1.19259,0.93386,0.882,0.905287,0.9369,0.857966,0.78741,0.64136,0.44733,0.9874,0.00983133,0.00983133,0.00983133
27,4757.79,0.98315,0.99617,1.18952,0.94408,0.88551,0.911353,0.9402,0.862871,0.79108,0.63324,0.43944,0.98288,0.00981765,0.00981765,0.00981765
28,4933.82,0.9811,0.99089,1.18578,0.94272,0.88729,0.91202,0.93899,0.864482,0.79129,0.63274,0.43492,0.97942,0.00980345,0.00980345,0.00980345
29,5109.81,0.9751,0.98384,1.18644,0.93899,0.89551,0.914523,0.94073,0.870553,0.79488,0.62972,0.4307,0.98149,0.00978873,0.00978873,0.00978873
30,5285.74,0.97677,0.98073,1.18382,0.94241,0.88843,0.912448,0.94006,0.867755,0.79479,0.62536,0.42906,0.97775,0.00977349,0.00977349,0.00977349
31,5461.76,0.96858,0.96934,1.17877,0.93723,0.89436,0.913489,0.94289,0.871223,0.79743,0.61878,0.42817,0.97273,0.00975773,0.00975773,0.00975773
32,5637.71,0.96394,0.96401,1.17492,0.93951,0.89322,0.914103,0.94359,0.868997,0.80107,0.61624,0.42396,0.97017,0.00974145,0.00974145,0.00974145
33,5813.76,0.96294,0.9549,1.17552,0.9332,0.8969,0.913033,0.94186,0.873072,0.80333,0.61352,0.42234,0.97036,0.00972466,0.00972466,0.00972466
34,5989.82,0.956,0.94623,1.16715,0.93826,0.8926,0.913167,0.94403,0.873171,0.80391,0.61155,0.41518,0.96584,0.00970736,0.00970736,0.00970736
35,6165.86,0.95587,0.94527,1.16802,0.94436,0.89209,0.915639,0.94421,0.872639,0.80464,0.61022,0.4127,0.96599,0.00968955,0.00968955,0.00968955
36,6341.86,0.95498,0.94118,1.16824,0.94162,0.89597,0.916301,0.94643,0.870704,0.80554,0.60553,0.40997,0.96501,0.00967122,0.00967122,0.00967122
37,6517.93,0.94998,0.92935,1.16526,0.93858,0.8989,0.916456,0.94635,0.87616,0.80829,0.60265,0.4065,0.96292,0.00965239,0.00965239,0.00965239
38,6693.99,0.94701,0.92919,1.1628,0.94383,0.89718,0.917913,0.94573,0.87446,0.80892,0.60184,0.40436,0.96168,0.00963306,0.00963306,0.00963306
39,6869.94,0.94257,0.9201,1.16074,0.95084,0.89455,0.919427,0.94661,0.872485,0.80931,0.60073,0.40141,0.9613,0.00961322,0.00961322,0.00961322
40,7045.95,0.94071,0.92155,1.15918,0.94079,0.90235,0.918945,0.94654,0.876521,0.80861,0.59999,0.40035,0.96003,0.00959289,0.00959289,0.00959289
41,7221.89,0.93633,0.9105,1.15809,0.94189,0.90702,0.922164,0.9466,0.876477,0.81063,0.59694,0.3987,0.95816,0.00957205,0.00957205,0.00957205
