epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.497,1.47648,3.80119,1.54957,0.37608,0.32837,0.32858,0.29579,0.2018,0.1905,1.34786,2.42822,1.54377,0.00332848,0.00332848,0.0700437
2,215.898,1.43678,2.68143,1.49847,0.448,0.42168,0.40507,0.39155,0.27349,0.24716,1.3715,2.12664,1.5085,0.00666163,0.00666163,0.0400435
3,309.676,1.49923,2.45022,1.53769,0.51798,0.39899,0.40889,0.4129,0.23873,0.24064,1.47238,2.17361,1.60847,0.00999406,0.00999406,0.0100426
4,406.14,1.51766,2.3445,1.56135,0.55535,0.43335,0.45668,0.46263,0.30875,0.29096,1.41877,2.14426,1.59644,0.00999756,0.00999756,0.00999756
5,495.957,1.44998,2.11754,1.51879,0.61546,0.52275,0.53889,0.56518,0.40462,0.37166,1.28428,1.75995,1.46522,0.00999566,0.00999566,0.00999566
6,594.226,1.39818,1.97299,1.4766,0.74571,0.5626,0.62023,0.65292,0.4929,0.44694,1.19567,1.49496,1.36692,0.00999322,0.00999322,0.00999322
7,691.568,1.32954,1.81674,1.4291,0.71491,0.6005,0.63489,0.67215,0.51623,0.46859,1.13644,1.37695,1.32865,0.00999023,0.00999023,0.00999023
8,795.442,1.29553,1.7207,1.40263,0.74,0.62663,0.66094,0.71381,0.56138,0.503,1.09033,1.24969,1.28149,0.00998671,0.00998671,0.00998671
9,896.553,1.25558,1.63539,1.37529,0.75644,0.63207,0.67506,0.71769,0.57219,0.51279,1.0693,1.25785,1.29789,0.00998264,0.00998264,0.00998264
10,995.062,1.22929,1.5695,1.35663,0.78492,0.65768,0.70456,0.75131,0.59836,0.54555,1.03506,1.15773,1.25857,0.00997803,0.00997803,0.00997803
11,1092.46,1.20845,1.50945,1.33833,0.79351,0.65175,0.7057,0.74811,0.60749,0.54834,1.00018,1.11232,1.23463,0.00997288,0.00997288,0.00997288
12,1192.36,1.18917,1.47459,1.32814,0.79809,0.68592,0.73221,0.77722,0.63502,0.57045,1.00554,1.0589,1.23279,0.0099672,0.0099672,0.0099672
13,1291.24,1.1756,1.44324,1.31913,0.79888,0.67015,0.71918,0.75814,0.61187,0.55525,1.00376,1.11469,1.23208,0.00996097,0.00996097,0.00996097
14,1391.86,1.14884,1.39022,1.30522,0.81675,0.71612,0.75432,0.79307,0.66253,0.59381,0.95951,0.96994,1.19352,0.0099542,0.0099542,0.0099542
15,1487.28,1.14325,1.36582,1.29704,0.84693,0.69324,0.75594,0.79496,0.66512,0.59788,0.94027,0.9657,1.19716,0.0099469,0.0099469,0.0099469
16,1572.46,1.12492,1.32536,1.28767,0.81767,0.72109,0.75628,0.80383,0.67449,0.61176,0.91587,0.93399,1.17008,0.00993906,0.00993906,0.00993906
17,1657.25,1.1191,1.31714,1.27894,0.8514,0.72267,0.77557,0.81447,0.6924,0.61828,0.92352,0.90148,1.17828,0.00993068,0.00993068,0.00993068
18,1741.1,1.10229,1.27527,1.27069,0.84068,0.73671,0.77914,0.82283,0.69418,0.62342,0.90099,0.88906,1.16203,0.00992177,0.00992177,0.00992177
19,1825.95,1.09156,1.25395,1.26216,0.86468,0.74407,0.79358,0.82746,0.70382,0.63308,0.88794,0.86725,1.15096,0.00991232,0.00991232,0.00991232
20,1911.08,1.07977,1.22657,1.25317,0.86302,0.74707,0.79457,0.84005,0.72063,0.6482,0.87208,0.83411,1.13367,0.00990234,0.00990234,0.00990234
