epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.208,0.63145,0.5077,0.98118,0.93687,0.87469,0.90265,0.92411,0.83225,0.7681,0.67523,0.46878,1.00198,0.00332848,0.00332848,0.0700437
2,206.598,0.67147,0.55264,0.99585,0.92774,0.86524,0.89217,0.91745,0.83501,0.75744,0.69375,0.49419,1.01062,0.00666163,0.00666163,0.0400435
3,306.48,0.7595,0.6527,1.03928,0.9081,0.82162,0.85972,0.88839,0.78821,0.71376,0.77678,0.60193,1.06433,0.00999406,0.00999406,0.0100426
4,406.301,0.84882,0.79012,1.08727,0.90729,0.79427,0.84204,0.88158,0.76124,0.69861,0.80247,0.65387,1.06628,0.00999756,0.00999756,0.00999756
5,508.848,0.87704,0.81555,1.10177,0.89125,0.80659,0.84187,0.877,0.7639,0.69345,0.80184,0.65377,1.07658,0.00999566,0.00999566,0.00999566
6,609.211,0.89011,0.83896,1.10868,0.89579,0.81453,0.85136,0.88108,0.77551,0.70381,0.79285,0.6366,1.07372,0.00999322,0.00999322,0.00999322
7,700.641,0.88614,0.83596,1.11169,0.90485,0.79578,0.84313,0.87358,0.76147,0.68862,0.82021,0.6575,1.08462,0.00999023,0.00999023,0.00999023
8,790.704,0.88915,0.84684,1.11752,0.90722,0.80441,0.84694,0.88598,0.76833,0.69972,0.79605,0.64804,1.07509,0.00998671,0.00998671,0.00998671
9,879.12,0.88589,0.83486,1.11271,0.89959,0.81748,0.85391,0.88887,0.78096,0.7054,0.79217,0.62153,1.06927,0.00998264,0.00998264,0.00998264
10,966.256,0.88937,0.8402,1.11522,0.90733,0.78267,0.83453,0.87017,0.75196,0.68292,0.81253,0.70826,1.0822,0.00997803,0.00997803,0.00997803
11,1054.46,0.8842,0.83138,1.10707,0.91981,0.80054,0.8504,0.88817,0.77936,0.70494,0.78902,0.6387,1.06912,0.00997288,0.00997288,0.00997288
12,1144.03,0.89239,0.84823,1.1155,0.89844,0.81944,0.85444,0.88605,0.78183,0.70676,0.77763,0.61703,1.06033,0.0099672,0.0099672,0.0099672
13,1232.51,0.88923,0.84283,1.11072,0.89904,0.81579,0.84976,0.88598,0.77382,0.70361,0.7993,0.63713,1.06923,0.00996097,0.00996097,0.00996097
14,1318.74,0.88558,0.83161,1.11231,0.90052,0.81723,0.85367,0.88533,0.78346,0.70686,0.77891,0.6177,1.06693,0.0099542,0.0099542,0.0099542
15,1423.31,0.8841,0.83476,1.11191,0.91696,0.81803,0.86068,0.89369,0.77929,0.70889,0.79435,0.62095,1.07067,0.0099469,0.0099469,0.0099469
16,1521.55,0.88583,0.82941,1.11223,0.90364,0.81804,0.85527,0.88748,0.78348,0.71134,0.77291,0.65844,1.05272,0.00993906,0.00993906,0.00993906
17,1619.37,0.88997,0.83081,1.11172,0.91631,0.80698,0.85282,0.88942,0.78855,0.71509,0.76945,0.61284,1.05548,0.00993068,0.00993068,0.00993068
18,1717.5,0.88473,0.83464,1.10923,0.90823,0.83124,0.86508,0.89417,0.78745,0.71798,0.76102,0.59304,1.04519,0.00992177,0.00992177,0.00992177
19,1816.21,0.88263,0.83067,1.10936,0.90535,0.83217,0.86393,0.89478,0.79236,0.71408,0.78258,0.60356,1.05011,0.00991232,0.00991232,0.00991232
20,1914.96,0.87544,0.82275,1.10811,0.89969,0.84227,0.8673,0.90254,0.80492,0.72406,0.76566,0.58018,1.04728,0.00990234,0.00990234,0.00990234
21,2014,0.88591,0.82575,1.10556,0.90935,0.83753,0.86947,0.90112,0.78838,0.71978,0.77006,0.57962,1.05434,0.00989183,0.00989183,0.00989183
22,2111.65,0.88101,0.81865,1.10675,0.91653,0.82541,0.86614,0.89852,0.79846,0.72552,0.7521,0.58024,1.03862,0.00988079,0.00988079,0.00988079
23,2203.33,0.87895,0.81784,1.10686,0.89635,0.83824,0.86352,0.89855,0.81358,0.72776,0.74532,0.578,1.03724,0.00986922,0.00986922,0.00986922
24,2293.02,0.88092,0.81553,1.10552,0.91654,0.83286,0.87028,0.90449,0.80086,0.72922,0.74851,0.5684,1.04625,0.00985711,0.00985711,0.00985711
25,2382.75,0.88261,0.8228,1.10619,0.91602,0.84065,0.87412,0.90476,0.80474,0.72908,0.7467,0.55923,1.03387,0.00984449,0.00984449,0.00984449
26,2471.78,0.87535,0.80646,1.10259,0.91376,0.83492,0.87085,0.90172,0.79438,0.72749,0.75823,0.58076,1.04564,0.00983133,0.00983133,0.00983133
27,2560.54,0.8687,0.8075,1.09847,0.9102,0.84705,0.87556,0.91002,0.79719,0.73537,0.74737,0.54869,1.04418,0.00981765,0.00981765,0.00981765
28,2649.54,0.87003,0.80674,1.10341,0.91172,0.85141,0.87856,0.90873,0.80102,0.73391,0.74311,0.56043,1.04529,0.00980345,0.00980345,0.00980345
