epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.776,1.479,3.82472,1.54674,0.22531,0.27084,0.20723,0.17467,0.09991,0.10159,1.57368,3.01147,1.77301,0.00332848,0.00332848,0.0700437
2,193.47,1.43933,2.70468,1.49126,0.47673,0.4182,0.40306,0.40392,0.2566,0.24847,1.40625,2.36965,1.59678,0.00666163,0.00666163,0.0400435
3,291.241,1.51828,2.49358,1.5555,0.43782,0.38685,0.35725,0.36727,0.22196,0.21792,1.49652,2.25256,1.60837,0.00999406,0.00999406,0.0100426
4,391.466,1.53174,2.38905,1.56764,0.528,0.435,0.4412,0.46097,0.29539,0.28512,1.41441,2.04402,1.58165,0.00999756,0.00999756,0.00999756
5,489.402,1.46174,2.14914,1.51423,0.63596,0.54905,0.56347,0.59445,0.4282,0.39123,1.24646,1.60792,1.41252,0.00999566,0.00999566,0.00999566
6,585.208,1.39883,1.98522,1.46758,0.65332,0.56358,0.57734,0.61792,0.45701,0.41602,1.21303,1.54552,1.37157,0.00999322,0.00999322,0.00999322
7,679.444,1.33188,1.83921,1.42108,0.76979,0.56562,0.64194,0.66091,0.4853,0.45007,1.19246,1.42422,1.357,0.00999023,0.00999023,0.00999023
8,772.061,1.29487,1.74138,1.39783,0.74631,0.60921,0.65901,0.70029,0.53779,0.48563,1.11543,1.30726,1.30047,0.00998671,0.00998671,0.00998671
9,855.212,1.26243,1.66308,1.3787,0.74202,0.62676,0.66729,0.71387,0.5585,0.50127,1.08114,1.23818,1.28884,0.00998264,0.00998264,0.00998264
10,940.117,1.23704,1.58716,1.35872,0.78778,0.63465,0.69071,0.72225,0.55425,0.50317,1.08244,1.22484,1.28069,0.00997803,0.00997803,0.00997803
11,1030.7,1.21116,1.53044,1.33658,0.78099,0.66075,0.70362,0.74582,0.60646,0.55018,0.99858,1.10158,1.22396,0.00997288,0.00997288,0.00997288
