epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.665,0.68374,0.57333,1.00622,0.94869,0.86555,0.90292,0.92682,0.83835,0.77341,0.66103,0.46255,0.98537,0.00332848,0.00332848,0.0700437
2,202.127,0.70888,0.59947,1.01202,0.92111,0.86499,0.88954,0.91815,0.8244,0.75704,0.69371,0.50341,0.99904,0.00666163,0.00666163,0.0400435
3,298.855,0.77542,0.68326,1.04758,0.90742,0.83695,0.86831,0.89646,0.79344,0.72274,0.7549,0.57451,1.03781,0.00999406,0.00999406,0.0100426
4,393.694,0.84177,0.78802,1.07952,0.90027,0.81477,0.85232,0.88445,0.76643,0.70229,0.78304,0.62683,1.05374,0.00999756,0.00999756,0.00999756
5,486.7,0.87017,0.82355,1.0944,0.91314,0.81548,0.8587,0.89312,0.76962,0.70306,0.80197,0.62307,1.05475,0.00999566,0.00999566,0.00999566
6,575.742,0.88697,0.84586,1.10431,0.89626,0.8136,0.84979,0.88032,0.76701,0.69854,0.79955,0.64287,1.06969,0.00999322,0.00999322,0.00999322
7,662.993,0.8811,0.84112,1.10435,0.87717,0.81003,0.83613,0.87553,0.76527,0.69456,0.79911,0.66983,1.05919,0.00999023,0.00999023,0.00999023
8,758.499,0.88234,0.8466,1.10478,0.90253,0.80079,0.84451,0.88099,0.76389,0.69916,0.79138,0.6374,1.06035,0.00998671,0.00998671,0.00998671
9,856.213,0.88235,0.84281,1.10562,0.90258,0.81121,0.85251,0.88516,0.7834,0.70588,0.78762,0.6216,1.06114,0.00998264,0.00998264,0.00998264
10,956.022,0.87988,0.84483,1.10683,0.899,0.81019,0.84885,0.88599,0.76722,0.7007,0.80036,0.64702,1.07097,0.00997803,0.00997803,0.00997803
11,1051.36,0.88194,0.83321,1.10418,0.92182,0.79928,0.85244,0.88145,0.78178,0.70105,0.77949,0.63987,1.04965,0.00997288,0.00997288,0.00997288
12,1143.82,0.88431,0.8462,1.10879,0.92231,0.78902,0.84638,0.88051,0.77073,0.69877,0.79978,0.62532,1.06351,0.0099672,0.0099672,0.0099672
13,1236.22,0.88762,0.84854,1.10544,0.90968,0.80105,0.84771,0.8893,0.76857,0.70137,0.8074,0.62539,1.06715,0.00996097,0.00996097,0.00996097
14,1328.71,0.88361,0.84175,1.10542,0.92273,0.80128,0.85392,0.88939,0.77934,0.7073,0.78621,0.61489,1.04666,0.0099542,0.0099542,0.0099542
15,1419.76,0.88448,0.84374,1.10541,0.89323,0.83182,0.85898,0.89342,0.78686,0.71639,0.76134,0.60296,1.04347,0.0099469,0.0099469,0.0099469
16,1511.18,0.88624,0.84118,1.10649,0.93042,0.80633,0.8599,0.88997,0.77194,0.7023,0.79635,0.62768,1.05642,0.00993906,0.00993906,0.00993906
17,1599.94,0.89039,0.84607,1.10891,0.89946,0.82558,0.85703,0.89351,0.78305,0.71303,0.77792,0.615,1.0522,0.00993068,0.00993068,0.00993068
18,1694.07,0.88383,0.84634,1.10539,0.90705,0.81633,0.855,0.89324,0.78622,0.71325,0.77125,0.60913,1.04601,0.00992177,0.00992177,0.00992177
19,1795.66,0.88549,0.84058,1.1056,0.92176,0.82078,0.86383,0.89181,0.79319,0.71476,0.77816,0.61326,1.04403,0.00991232,0.00991232,0.00991232
20,1889.91,0.87327,0.83195,1.09984,0.91182,0.82358,0.8615,0.89595,0.78579,0.72122,0.75122,0.59241,1.03929,0.00990234,0.00990234,0.00990234
