epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.117,1.46952,3.79089,1.54816,0.32979,0.36575,0.29745,0.29872,0.19482,0.18836,1.27596,2.5197,1.46652,0.00332848,0.00332848,0.0700437
2,209.862,1.43067,2.69108,1.48957,0.48429,0.39818,0.39853,0.39864,0.26972,0.25234,1.34118,2.15744,1.54718,0.00666163,0.00666163,0.0400435
3,310.163,1.50823,2.48184,1.54902,0.43535,0.39885,0.3892,0.37715,0.22329,0.22451,1.50727,2.22644,1.62569,0.00999406,0.00999406,0.0100426
4,409.733,1.53612,2.38855,1.57947,0.59741,0.42354,0.45306,0.46918,0.3172,0.29413,1.38246,1.98637,1.54037,0.00999756,0.00999756,0.00999756
5,500.679,1.45647,2.14929,1.52309,0.61427,0.48286,0.51195,0.53238,0.36435,0.33881,1.35241,1.86358,1.51038,0.00999566,0.00999566,0.00999566
6,589.596,1.40752,1.98071,1.4782,0.61638,0.457,0.49721,0.51632,0.34795,0.33073,1.38908,1.95459,1.56485,0.00999322,0.00999322,0.00999322
7,679.321,1.34035,1.84312,1.4346,0.64683,0.56295,0.58593,0.60934,0.43072,0.40522,1.23572,1.60688,1.43167,0.00999023,0.00999023,0.00999023
8,768.639,1.30026,1.7505,1.40638,0.76034,0.61547,0.66884,0.70686,0.56135,0.50262,1.09634,1.27524,1.306,0.00998671,0.00998671,0.00998671
9,857.832,1.26201,1.66168,1.37867,0.74183,0.61338,0.65715,0.6898,0.54484,0.49024,1.08001,1.29739,1.30364,0.00998264,0.00998264,0.00998264
10,944.24,1.23596,1.60164,1.36733,0.75463,0.67256,0.70333,0.74,0.5937,0.53049,1.05294,1.17258,1.27702,0.00997803,0.00997803,0.00997803
11,1025.28,1.21418,1.5383,1.34645,0.82873,0.65586,0.72542,0.76258,0.61598,0.55667,0.99013,1.08156,1.23098,0.00997288,0.00997288,0.00997288
12,1105.82,1.19707,1.50164,1.34084,0.81096,0.66166,0.72132,0.76408,0.63004,0.56253,0.98865,1.06635,1.22735,0.0099672,0.0099672,0.0099672
13,1185.43,1.18295,1.46707,1.3265,0.78833,0.68298,0.72693,0.77266,0.64141,0.57218,0.99552,1.03186,1.22227,0.00996097,0.00996097,0.00996097
14,1263.53,1.15639,1.41827,1.30762,0.81172,0.69615,0.74247,0.78112,0.65337,0.58382,0.96367,1.0057,1.18978,0.0099542,0.0099542,0.0099542
15,1342.03,1.15187,1.39339,1.30418,0.83639,0.69962,0.74968,0.79631,0.66601,0.5978,0.94341,0.98536,1.19633,0.0099469,0.0099469,0.0099469
16,1420.96,1.12783,1.35433,1.28967,0.82718,0.70562,0.75181,0.78974,0.66296,0.59354,0.9429,0.98107,1.189,0.00993906,0.00993906,0.00993906
17,1499.5,1.12748,1.33955,1.28758,0.85075,0.7056,0.76469,0.80533,0.66859,0.60689,0.93402,0.93253,1.1894,0.00993068,0.00993068,0.00993068
18,1578.22,1.10876,1.31053,1.27745,0.8642,0.73404,0.78771,0.81736,0.68557,0.62104,0.91404,0.8955,1.17945,0.00992177,0.00992177,0.00992177
19,1656.59,1.09817,1.27844,1.26674,0.83004,0.63847,0.70529,0.75538,0.62466,0.56323,0.97221,1.08768,1.21115,0.00991232,0.00991232,0.00991232
20,1735.02,1.09033,1.24708,1.26056,0.86436,0.72036,0.78025,0.82323,0.70603,0.63286,0.88105,0.85711,1.14757,0.00990234,0.00990234,0.00990234
21,1812.71,1.08146,1.24669,1.25042,0.85868,0.73984,0.78858,0.83527,0.70883,0.64358,0.88019,0.84041,1.14289,0.00989183,0.00989183,0.00989183
22,1890.91,1.06996,1.22181,1.24928,0.8758,0.75046,0.80232,0.83857,0.71918,0.64721,0.86022,0.81639,1.12901,0.00988079,0.00988079,0.00988079
23,1969.08,1.0613,1.20512,1.24187,0.88356,0.73923,0.7989,0.84056,0.72198,0.65199,0.83833,0.79369,1.1264,0.00986922,0.00986922,0.00986922
24,2046.77,1.05651,1.19013,1.23966,0.90394,0.72927,0.801,0.84322,0.71846,0.6545,0.8405,0.79571,1.12295,0.00985711,0.00985711,0.00985711
25,2124.94,1.04747,1.18768,1.22954,0.87045,0.74321,0.7954,0.84127,0.73159,0.65837,0.8504,0.80238,1.12795,0.00984449,0.00984449,0.00984449
26,2203.11,1.03915,1.15492,1.21952,0.87582,0.75486,0.80366,0.84584,0.73786,0.66067,0.8403,0.77597,1.11403,0.00983133,0.00983133,0.00983133
27,2281.9,1.03333,1.12742,1.21672,0.88682,0.77075,0.81893,0.8564,0.74524,0.67328,0.83278,0.74482,1.11888,0.00981765,0.00981765,0.00981765
28,2360.11,1.02809,1.12404,1.21719,0.86965,0.77149,0.81411,0.85635,0.74074,0.67225,0.81155,0.73838,1.09916,0.00980345,0.00980345,0.00980345
29,2438.73,1.02685,1.12399,1.21085,0.86271,0.79439,0.82305,0.86609,0.75322,0.682,0.81506,0.71549,1.09042,0.00978873,0.00978873,0.00978873
30,2517.45,1.02202,1.12435,1.21254,0.88551,0.7804,0.82381,0.8644,0.75321,0.68375,0.79804,0.70655,1.08974,0.00977349,0.00977349,0.00977349
31,2595.77,1.01703,1.10403,1.20526,0.9029,0.77023,0.82543,0.86497,0.75695,0.68619,0.80382,0.7052,1.09237,0.00975773,0.00975773,0.00975773
32,2674.34,1.01536,1.10348,1.2053,0.8794,0.7882,0.82679,0.86861,0.75714,0.68726,0.79681,0.69766,1.08767,0.00974145,0.00974145,0.00974145
33,2752.65,1.0001,1.0915,1.20032,0.88401,0.78419,0.82664,0.86866,0.75523,0.68912,0.79142,0.68662,1.08379,0.00972466,0.00972466,0.00972466
34,2831.49,0.99991,1.07712,1.20099,0.90953,0.77462,0.83053,0.86935,0.76187,0.69231,0.78066,0.68535,1.08171,0.00970736,0.00970736,0.00970736
35,2910.41,0.99031,1.05406,1.18992,0.90284,0.79427,0.84019,0.87847,0.77501,0.69887,0.78422,0.67507,1.07537,0.00968955,0.00968955,0.00968955
36,2988.76,0.99223,1.04501,1.19222,0.89874,0.80493,0.84469,0.88338,0.77742,0.70453,0.76985,0.65597,1.07757,0.00967122,0.00967122,0.00967122
37,3067.4,0.99085,1.05674,1.19035,0.89052,0.81334,0.84626,0.88389,0.78074,0.70773,0.76813,0.65245,1.06883,0.00965239,0.00965239,0.00965239
38,3146.19,0.97978,1.03609,1.18384,0.91684,0.78794,0.84144,0.88334,0.77862,0.70869,0.76495,0.64523,1.06452,0.00963306,0.00963306,0.00963306
39,3224.67,0.98161,1.02803,1.18196,0.8989,0.80805,0.84735,0.88226,0.78132,0.70918,0.76196,0.64481,1.0643,0.00961322,0.00961322,0.00961322
40,3309.49,0.97297,1.03046,1.18129,0.92399,0.80032,0.8513,0.88849,0.78755,0.71414,0.75721,0.62183,1.06145,0.00959289,0.00959289,0.00959289
41,3397.86,0.97939,1.03428,1.18574,0.89847,0.81577,0.8508,0.88631,0.77514,0.71007,0.76042,0.62946,1.06689,0.00957205,0.00957205,0.00957205
42,3486.05,0.97019,1.01464,1.17273,0.90674,0.82201,0.85814,0.88928,0.79362,0.71604,0.748,0.61584,1.05491,0.00955072,0.00955072,0.00955072
43,3573.67,0.96733,1.00712,1.1732,0.91179,0.81753,0.85785,0.89156,0.7916,0.71703,0.74839,0.60865,1.04926,0.00952889,0.00952889,0.00952889
44,3661.78,0.96155,0.99479,1.17069,0.91759,0.79761,0.84767,0.89274,0.79594,0.72415,0.73709,0.60551,1.04815,0.00950658,0.00950658,0.00950658
45,3749.83,0.96147,0.99333,1.16865,0.88897,0.83993,0.86035,0.89618,0.79266,0.72535,0.73497,0.60326,1.04393,0.00948377,0.00948377,0.00948377
46,3835.84,0.95718,0.99407,1.16752,0.89083,0.83301,0.85747,0.89744,0.80506,0.72841,0.73825,0.59617,1.05018,0.00946048,0.00946048,0.00946048
47,3916.7,0.96533,0.99604,1.1727,0.88907,0.83521,0.85759,0.89784,0.80432,0.72958,0.74259,0.59551,1.05795,0.00943671,0.00943671,0.00943671
48,3995.69,0.93927,0.97029,1.15271,0.89201,0.82423,0.8532,0.89574,0.79356,0.72746,0.73521,0.59186,1.04531,0.00941245,0.00941245,0.00941245
49,4075.58,0.95082,0.97554,1.16119,0.91633,0.81508,0.85794,0.89848,0.8067,0.73075,0.73068,0.59057,1.04606,0.00938772,0.00938772,0.00938772
50,4155.3,0.9448,0.97329,1.16074,0.92579,0.81056,0.85899,0.89855,0.79993,0.72911,0.72716,0.58608,1.04246,0.00936251,0.00936251,0.00936251
51,4234.51,0.94592,0.96551,1.15806,0.92526,0.82192,0.8654,0.89578,0.80586,0.72951,0.72508,0.58869,1.0373,0.00933683,0.00933683,0.00933683
52,4313.8,0.94227,0.95909,1.1576,0.90107,0.83416,0.86228,0.89675,0.79829,0.7282,0.72771,0.58261,1.04212,0.00931067,0.00931067,0.00931067
53,4393.5,0.93369,0.95331,1.15172,0.89724,0.83244,0.86049,0.89767,0.80217,0.73207,0.72038,0.57615,1.03628,0.00928405,0.00928405,0.00928405
