epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.524,0.65257,0.53636,0.9923,0.94694,0.87607,0.90848,0.92665,0.83782,0.77245,0.66581,0.45013,1.00354,0.00332848,0.00332848,0.0700437
2,209.302,0.68712,0.5725,1.00411,0.91693,0.87129,0.89053,0.91663,0.8208,0.75189,0.69596,0.50858,1.01083,0.00666163,0.00666163,0.0400435
3,304.882,0.76688,0.66974,1.04243,0.90649,0.82149,0.85683,0.88704,0.78613,0.7114,0.76574,0.60263,1.05318,0.00999406,0.00999406,0.0100426
4,395.614,0.84674,0.79491,1.0869,0.90607,0.78119,0.8338,0.86393,0.75767,0.69019,0.79463,0.67218,1.06874,0.00999756,0.00999756,0.00999756
5,484.589,0.87827,0.83206,1.10231,0.88542,0.76276,0.8149,0.85456,0.7376,0.667,0.84158,0.7567,1.09566,0.00999566,0.00999566,0.00999566
6,572.869,0.89126,0.85375,1.11084,0.89123,0.79736,0.83684,0.87125,0.76523,0.69215,0.79698,0.66412,1.06809,0.00999322,0.00999322,0.00999322
7,660.261,0.89188,0.8462,1.1141,0.89419,0.80776,0.84637,0.88289,0.77368,0.70205,0.78615,0.63521,1.067,0.00999023,0.00999023,0.00999023
8,747.859,0.89067,0.85483,1.11222,0.89496,0.81689,0.85027,0.88892,0.77941,0.70016,0.8013,0.62833,1.07424,0.00998671,0.00998671,0.00998671
9,834.466,0.88997,0.85462,1.1149,0.90795,0.80172,0.84811,0.88219,0.77308,0.69914,0.79924,0.63939,1.07817,0.00998264,0.00998264,0.00998264
10,921.344,0.89236,0.8525,1.11427,0.89319,0.78121,0.8283,0.86054,0.74195,0.67354,0.82764,0.72148,1.09314,0.00997803,0.00997803,0.00997803
11,1008.3,0.8863,0.84412,1.10758,0.91425,0.81121,0.8561,0.88737,0.7743,0.70352,0.78695,0.62035,1.06297,0.00997288,0.00997288,0.00997288
12,1094.59,0.89519,0.85665,1.11776,0.88883,0.7987,0.83655,0.86751,0.76302,0.68577,0.8154,0.67497,1.0772,0.0099672,0.0099672,0.0099672
13,1181.1,0.89424,0.86018,1.11191,0.89023,0.81191,0.84316,0.87892,0.77941,0.69797,0.7971,0.64116,1.06697,0.00996097,0.00996097,0.00996097
14,1266.87,0.8892,0.85464,1.11216,0.90342,0.82072,0.85681,0.89262,0.78136,0.70811,0.78067,0.60417,1.04858,0.0099542,0.0099542,0.0099542
15,1352.89,0.8918,0.85012,1.11237,0.90058,0.80761,0.84701,0.87929,0.77977,0.69918,0.79239,0.64651,1.07047,0.0099469,0.0099469,0.0099469
16,1438.31,0.88573,0.84802,1.11311,0.91976,0.80849,0.85451,0.89217,0.78235,0.71251,0.77842,0.61586,1.05576,0.00993906,0.00993906,0.00993906
17,1524.56,0.89339,0.84779,1.1153,0.91673,0.81112,0.85446,0.89552,0.79784,0.71944,0.76472,0.60317,1.04811,0.00993068,0.00993068,0.00993068
18,1610.08,0.88504,0.8414,1.11129,0.91382,0.81999,0.8601,0.89365,0.79774,0.71976,0.75662,0.59531,1.04938,0.00992177,0.00992177,0.00992177
19,1695.25,0.88778,0.84425,1.1118,0.91249,0.81216,0.85492,0.88892,0.77628,0.70896,0.77852,0.61314,1.05254,0.00991232,0.00991232,0.00991232
20,1780.45,0.88072,0.84288,1.11198,0.89922,0.8196,0.85503,0.89291,0.79077,0.71619,0.77526,0.60679,1.0565,0.00990234,0.00990234,0.00990234
21,1865.93,0.88982,0.84312,1.10891,0.91438,0.81581,0.85882,0.88923,0.78143,0.71395,0.76132,0.59529,1.05252,0.00989183,0.00989183,0.00989183
22,1951.14,0.88382,0.8373,1.11192,0.93179,0.81378,0.86453,0.90098,0.80646,0.72716,0.7504,0.57272,1.03641,0.00988079,0.00988079,0.00988079
23,2044.93,0.88083,0.83668,1.11056,0.916,0.8182,0.86074,0.89602,0.79471,0.71951,0.75595,0.58852,1.04283,0.00986922,0.00986922,0.00986922
24,2144.54,0.88403,0.82838,1.10532,0.92974,0.80538,0.85967,0.89327,0.79622,0.71876,0.76458,0.59134,1.05016,0.00985711,0.00985711,0.00985711
25,2244.89,0.88109,0.83981,1.10728,0.9279,0.79693,0.85202,0.89517,0.79445,0.7246,0.75045,0.5773,1.04314,0.00984449,0.00984449,0.00984449
26,2345.53,0.8783,0.82095,1.1038,0.9018,0.83405,0.86385,0.90008,0.79291,0.72229,0.75055,0.588,1.03668,0.00983133,0.00983133,0.00983133
27,2446.58,0.87615,0.81923,1.10364,0.91657,0.82654,0.86565,0.90435,0.8043,0.73039,0.74348,0.56182,1.039,0.00981765,0.00981765,0.00981765
28,2547.53,0.87449,0.82319,1.10799,0.93057,0.81227,0.86366,0.89715,0.79409,0.72613,0.74948,0.57539,1.04929,0.00980345,0.00980345,0.00980345
29,2649.44,0.87938,0.83316,1.10599,0.91234,0.84576,0.87478,0.90467,0.79701,0.72905,0.74171,0.55798,1.0353,0.00978873,0.00978873,0.00978873
30,2749.72,0.88014,0.82716,1.10766,0.93359,0.81659,0.86668,0.90535,0.81082,0.73542,0.72907,0.5546,1.03317,0.00977349,0.00977349,0.00977349
31,2850.29,0.87551,0.82445,1.10349,0.92647,0.82507,0.86899,0.90036,0.79975,0.72681,0.74374,0.55904,1.04043,0.00975773,0.00975773,0.00975773
32,2949.97,0.87692,0.83031,1.10351,0.90154,0.84025,0.86675,0.90195,0.80733,0.7324,0.73196,0.55195,1.03877,0.00974145,0.00974145,0.00974145
33,3048.82,0.87029,0.82682,1.09984,0.91435,0.84868,0.87741,0.90944,0.81004,0.73948,0.72348,0.54392,1.02883,0.00972466,0.00972466,0.00972466
34,3144.96,0.87343,0.81695,1.10616,0.92768,0.83259,0.87313,0.9079,0.81889,0.73728,0.72711,0.54033,1.03191,0.00970736,0.00970736,0.00970736
35,3238.52,0.86578,0.8073,1.09872,0.9125,0.84712,0.87542,0.90996,0.81362,0.7414,0.72222,0.53462,1.02378,0.00968955,0.00968955,0.00968955
36,3329.36,0.87035,0.80425,1.1003,0.92022,0.83512,0.87237,0.90789,0.80116,0.73614,0.73027,0.54204,1.03581,0.00967122,0.00967122,0.00967122
