epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.231,1.46636,3.80521,1.533,0.36264,0.34265,0.31714,0.29035,0.18807,0.18087,1.3477,2.43801,1.52324,0.00332848,0.00332848,0.0700437
2,235.315,1.43523,2.68361,1.48189,0.53518,0.40298,0.42585,0.43321,0.29785,0.28044,1.3271,2.18296,1.49739,0.00666163,0.00666163,0.0400435
3,333.181,1.50215,2.46158,1.52986,0.48761,0.36434,0.35841,0.36194,0.2137,0.21035,1.5665,2.51539,1.69122,0.00999406,0.00999406,0.0100426
4,428.629,1.53606,2.37053,1.56245,0.53019,0.43036,0.4399,0.45417,0.30108,0.28242,1.39638,2.01513,1.55952,0.00999756,0.00999756,0.00999756
5,522.844,1.46439,2.12606,1.51205,0.58283,0.47502,0.47474,0.51938,0.34685,0.33135,1.34346,1.8871,1.51868,0.00999566,0.00999566,0.00999566
6,616.081,1.39845,1.95968,1.46653,0.66925,0.51274,0.55468,0.57287,0.41775,0.38061,1.30095,1.73868,1.47125,0.00999322,0.00999322,0.00999322
7,708.534,1.33843,1.82515,1.42898,0.73545,0.58679,0.64359,0.67129,0.50084,0.45465,1.18675,1.39309,1.37118,0.00999023,0.00999023,0.00999023
8,800.769,1.29899,1.72858,1.39821,0.75134,0.64447,0.6833,0.7169,0.55228,0.50201,1.09429,1.24443,1.295,0.00998671,0.00998671,0.00998671
9,892.841,1.26238,1.64536,1.37271,0.77674,0.61726,0.67442,0.70274,0.56087,0.50694,1.05897,1.26214,1.28106,0.00998264,0.00998264,0.00998264
10,984.695,1.23733,1.58406,1.35737,0.7925,0.64949,0.70021,0.74035,0.59766,0.53548,1.07041,1.18917,1.26867,0.00997803,0.00997803,0.00997803
11,1076.86,1.20831,1.52507,1.33467,0.79082,0.66095,0.7087,0.75182,0.60236,0.54526,1.01135,1.12278,1.23686,0.00997288,0.00997288,0.00997288
12,1169.07,1.1974,1.48487,1.33085,0.79355,0.69875,0.73764,0.77052,0.62479,0.56704,0.98952,1.05312,1.22011,0.0099672,0.0099672,0.0099672
13,1260.86,1.18415,1.46249,1.31992,0.8232,0.66382,0.72522,0.76431,0.62543,0.56097,0.99766,1.0652,1.22534,0.00996097,0.00996097,0.00996097
14,1352.44,1.1547,1.40129,1.30174,0.80365,0.71146,0.74898,0.77676,0.64934,0.58484,0.94865,0.99456,1.18854,0.0099542,0.0099542,0.0099542
15,1443.76,1.15028,1.38618,1.30121,0.83385,0.70944,0.75954,0.80627,0.67346,0.6078,0.91862,0.94284,1.17772,0.0099469,0.0099469,0.0099469
16,1535.03,1.13042,1.34484,1.28567,0.85556,0.69849,0.76053,0.79754,0.67194,0.60236,0.93036,0.95568,1.17946,0.00993906,0.00993906,0.00993906
