epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.363,0.64914,0.52946,0.98962,0.93611,0.86936,0.89987,0.92298,0.84125,0.7694,0.67195,0.45891,0.99452,0.00332848,0.00332848,0.0700437
2,205.668,0.68141,0.5695,1.00064,0.93302,0.85119,0.88757,0.91553,0.82802,0.75706,0.68831,0.50695,1.00911,0.00666163,0.00666163,0.0400435
3,293.254,0.76483,0.66461,1.04211,0.9033,0.80472,0.84632,0.87582,0.76113,0.69717,0.79438,0.63434,1.06742,0.00999406,0.00999406,0.0100426
4,379.223,0.84828,0.79667,1.08473,0.89835,0.80301,0.8452,0.87484,0.76186,0.69482,0.78702,0.64038,1.06682,0.00999756,0.00999756,0.00999756
5,467.463,0.87325,0.82835,1.09972,0.89171,0.76073,0.8171,0.85307,0.71865,0.65313,0.87845,0.72865,1.12154,0.00999566,0.00999566,0.00999566
6,557.606,0.89001,0.84419,1.10936,0.8903,0.78515,0.8269,0.86285,0.74417,0.67705,0.81977,0.70436,1.07951,0.00999322,0.00999322,0.00999322
7,644.273,0.88328,0.83702,1.10561,0.91592,0.80548,0.85347,0.88695,0.78229,0.71174,0.78102,0.63588,1.05946,0.00999023,0.00999023,0.00999023
8,730.242,0.88288,0.84377,1.10682,0.90356,0.78931,0.83736,0.88091,0.77018,0.69298,0.81792,0.66701,1.07406,0.00998671,0.00998671,0.00998671
9,815.848,0.88461,0.84073,1.11153,0.89561,0.80817,0.84635,0.88058,0.77678,0.70235,0.78947,0.62918,1.06253,0.00998264,0.00998264,0.00998264
10,901.854,0.88599,0.84386,1.11196,0.90541,0.80151,0.84371,0.87937,0.76684,0.694,0.80448,0.65752,1.06777,0.00997803,0.00997803,0.00997803
11,987.564,0.88417,0.83283,1.1066,0.90527,0.79688,0.84421,0.87562,0.7535,0.68858,0.80195,0.66752,1.06813,0.00997288,0.00997288,0.00997288
12,1072.55,0.88969,0.84631,1.11327,0.89297,0.81317,0.84884,0.88429,0.77859,0.70296,0.79223,0.62721,1.06477,0.0099672,0.0099672,0.0099672
13,1157.81,0.89236,0.8523,1.11285,0.89441,0.79145,0.83612,0.87367,0.7398,0.67887,0.851,0.66774,1.10581,0.00996097,0.00996097,0.00996097
14,1242.41,0.88831,0.84361,1.11263,0.901,0.80632,0.84915,0.88167,0.76871,0.69932,0.80219,0.62291,1.07385,0.0099542,0.0099542,0.0099542
15,1326.95,0.88673,0.84244,1.11151,0.90236,0.82542,0.85788,0.89056,0.77721,0.70963,0.78582,0.60765,1.06068,0.0099469,0.0099469,0.0099469
16,1410.86,0.88434,0.83866,1.10902,0.87528,0.84515,0.85854,0.88994,0.78165,0.70992,0.77218,0.62084,1.0578,0.00993906,0.00993906,0.00993906
17,1495.09,0.8923,0.8412,1.11308,0.90424,0.81337,0.85152,0.88798,0.78085,0.71088,0.76953,0.61801,1.04516,0.00993068,0.00993068,0.00993068
