epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.12,1.56903,4.17768,1.62895,0.16768,0.19598,0.1612,0.12566,0.08213,0.07923,1.4274,2.885,1.63673,0.00332848,0.00332848,0.0700437
2,220.795,1.49148,3.05435,1.56966,0.39596,0.35713,0.35408,0.35599,0.21419,0.21058,1.42592,2.28555,1.60743,0.00666163,0.00666163,0.0400435
3,321.339,1.54615,2.62299,1.59632,0.33094,0.26982,0.22977,0.21482,0.11442,0.1214,1.73137,2.94911,1.94636,0.00999406,0.00999406,0.0100426
4,416.231,1.56242,2.47054,1.61768,0.51316,0.40403,0.39055,0.40866,0.25227,0.24304,1.53178,2.22829,1.71809,0.00999756,0.00999756,0.00999756
5,507.561,1.47044,2.19568,1.54906,0.58935,0.46885,0.49117,0.50284,0.32674,0.30861,1.4034,1.95808,1.58229,0.00999566,0.00999566,0.00999566
6,597.498,1.42389,2.04289,1.50635,0.67492,0.52584,0.55862,0.5981,0.44132,0.39803,1.27948,1.65067,1.4604,0.00999322,0.00999322,0.00999322
7,687.638,1.3498,1.88347,1.46172,0.75244,0.59031,0.64824,0.68317,0.52162,0.47412,1.11593,1.35071,1.35194,0.00999023,0.00999023,0.00999023
8,777.48,1.30761,1.77193,1.42951,0.72585,0.55647,0.61204,0.63799,0.46826,0.42815,1.22063,1.53595,1.41607,0.00998671,0.00998671,0.00998671
9,866.822,1.26653,1.6908,1.40186,0.79099,0.59544,0.66518,0.70815,0.56829,0.51025,1.0634,1.27429,1.30351,0.00998264,0.00998264,0.00998264
10,956.353,1.2496,1.63125,1.38852,0.77701,0.65754,0.70079,0.73335,0.58858,0.52367,1.05704,1.17833,1.29446,0.00997803,0.00997803,0.00997803
11,1046.26,1.22419,1.57018,1.36624,0.78064,0.63919,0.69741,0.73793,0.60364,0.53645,1.04126,1.16611,1.27752,0.00997288,0.00997288,0.00997288
12,1132.55,1.20842,1.52251,1.35903,0.80614,0.66429,0.72169,0.75457,0.61745,0.55335,1.00936,1.11952,1.25859,0.0099672,0.0099672,0.0099672
13,1216.1,1.19175,1.49213,1.34687,0.79746,0.68597,0.73,0.768,0.64321,0.57102,0.98445,1.06332,1.23677,0.00996097,0.00996097,0.00996097
14,1298.53,1.16432,1.43771,1.32976,0.83149,0.70276,0.75629,0.7971,0.67117,0.60017,0.95614,0.9749,1.21689,0.0099542,0.0099542,0.0099542
15,1380.54,1.15736,1.39986,1.31775,0.83791,0.69683,0.75235,0.79689,0.66039,0.59612,0.9528,0.98486,1.22128,0.0099469,0.0099469,0.0099469
16,1462.12,1.13722,1.37588,1.30977,0.82282,0.71564,0.75548,0.79638,0.66565,0.59865,0.9346,0.9556,1.2099,0.00993906,0.00993906,0.00993906
17,1543.33,1.12717,1.34422,1.29921,0.85495,0.7139,0.77165,0.81015,0.68779,0.6149,0.92153,0.91578,1.19664,0.00993068,0.00993068,0.00993068
18,1624.81,1.12146,1.33318,1.29496,0.84164,0.70501,0.75835,0.80102,0.67084,0.60777,0.91333,0.93941,1.19395,0.00992177,0.00992177,0.00992177
19,1706.17,1.10323,1.29763,1.28572,0.83963,0.72989,0.77575,0.81537,0.69057,0.62238,0.90184,0.90249,1.17882,0.00991232,0.00991232,0.00991232
20,1787.27,1.09599,1.26929,1.28134,0.84791,0.70888,0.76537,0.80593,0.68227,0.61205,0.91854,0.92153,1.1978,0.00990234,0.00990234,0.00990234
21,1868.57,1.08674,1.26143,1.26533,0.88776,0.71802,0.78479,0.83545,0.71279,0.64043,0.88743,0.84919,1.1656,0.00989183,0.00989183,0.00989183
22,1949.78,1.07814,1.23576,1.26425,0.87641,0.75276,0.8051,0.83824,0.71688,0.64801,0.86853,0.83751,1.14668,0.00988079,0.00988079,0.00988079
23,2031.03,1.06219,1.21056,1.25499,0.8577,0.75803,0.79925,0.84049,0.73002,0.65271,0.85736,0.819,1.14866,0.00986922,0.00986922,0.00986922
24,2112.3,1.0645,1.19907,1.25518,0.85815,0.75672,0.80019,0.84669,0.73946,0.65942,0.84735,0.78672,1.1443,0.00985711,0.00985711,0.00985711
25,2193.28,1.05645,1.19242,1.24913,0.87734,0.73597,0.79362,0.83582,0.72103,0.65118,0.84767,0.82109,1.14531,0.00984449,0.00984449,0.00984449
26,2274.63,1.04959,1.1665,1.24057,0.88177,0.74637,0.80194,0.84628,0.73398,0.65967,0.84147,0.77837,1.13477,0.00983133,0.00983133,0.00983133
27,2356.06,1.03875,1.14742,1.23223,0.85391,0.77624,0.80652,0.85042,0.73301,0.66102,0.84047,0.78011,1.13724,0.00981765,0.00981765,0.00981765
28,2437.88,1.0414,1.14259,1.23917,0.86961,0.77515,0.81469,0.85236,0.74661,0.66953,0.82921,0.76517,1.13058,0.00980345,0.00980345,0.00980345
29,2519.19,1.03041,1.14081,1.2303,0.8748,0.78191,0.81953,0.86165,0.75323,0.68141,0.82105,0.73088,1.11697,0.00978873,0.00978873,0.00978873
30,2600.95,1.02856,1.14105,1.23065,0.89223,0.76997,0.82093,0.86365,0.74793,0.6781,0.81898,0.73444,1.11955,0.00977349,0.00977349,0.00977349
31,2682.6,1.02217,1.1222,1.22262,0.89135,0.77199,0.82236,0.85981,0.75545,0.68031,0.80532,0.7142,1.1089,0.00975773,0.00975773,0.00975773
32,2763.93,1.01666,1.11789,1.22154,0.91137,0.77113,0.83038,0.86336,0.74661,0.68211,0.81467,0.70779,1.11703,0.00974145,0.00974145,0.00974145
33,2845.18,1.00706,1.10496,1.21902,0.90752,0.77691,0.8327,0.86684,0.75407,0.68707,0.79661,0.68996,1.10888,0.00972466,0.00972466,0.00972466
34,2926.89,1.00508,1.08928,1.21726,0.89589,0.79174,0.83604,0.87337,0.75978,0.69269,0.79252,0.68589,1.10685,0.00970736,0.00970736,0.00970736
35,3008.15,0.9962,1.07053,1.20787,0.89786,0.80093,0.84289,0.88071,0.76295,0.69435,0.79658,0.66915,1.10437,0.00968955,0.00968955,0.00968955
36,3089.88,0.99679,1.06154,1.20752,0.8993,0.79459,0.83887,0.87421,0.7711,0.69833,0.78342,0.67262,1.09991,0.00967122,0.00967122,0.00967122
37,3171.13,0.99787,1.07059,1.20981,0.91915,0.78364,0.84058,0.87819,0.76753,0.69683,0.78744,0.66968,1.10122,0.00965239,0.00965239,0.00965239
38,3252.3,0.98665,1.06379,1.20337,0.89441,0.81101,0.84672,0.88199,0.77035,0.70182,0.78249,0.65594,1.09691,0.00963306,0.00963306,0.00963306
39,3334.05,0.98981,1.04507,1.20436,0.90446,0.79691,0.84386,0.87894,0.77024,0.70206,0.77611,0.65799,1.09366,0.00961322,0.00961322,0.00961322
40,3415.44,0.97799,1.04107,1.19828,0.90597,0.80623,0.84947,0.88308,0.77748,0.70947,0.76915,0.63086,1.08703,0.00959289,0.00959289,0.00959289
41,3496.8,0.98082,1.04194,1.20203,0.92597,0.8022,0.85564,0.88995,0.78972,0.7157,0.76077,0.6279,1.08789,0.00957205,0.00957205,0.00957205
42,3578.26,0.97169,1.0237,1.18919,0.90553,0.81006,0.85147,0.88676,0.79403,0.71658,0.75524,0.62684,1.08226,0.00955072,0.00955072,0.00955072
43,3659.86,0.97361,1.02545,1.19512,0.9141,0.79967,0.84906,0.88855,0.78863,0.71678,0.74545,0.62064,1.07165,0.00952889,0.00952889,0.00952889
44,3741.19,0.96905,1.00671,1.18866,0.90707,0.81466,0.85385,0.89214,0.79524,0.72081,0.75227,0.60827,1.07336,0.00950658,0.00950658,0.00950658
45,3822.53,0.96743,1.00922,1.18809,0.93406,0.80222,0.85739,0.89202,0.78986,0.72078,0.74887,0.61154,1.07539,0.00948377,0.00948377,0.00948377
46,3911.84,0.95904,1.00571,1.18271,0.93249,0.81455,0.86537,0.89715,0.80001,0.72788,0.73782,0.60263,1.06711,0.00946048,0.00946048,0.00946048
47,4003.11,0.96701,1.00125,1.18636,0.92219,0.82667,0.86805,0.896,0.80028,0.72858,0.73547,0.59565,1.06739,0.00943671,0.00943671,0.00943671
48,4094.79,0.9448,0.97961,1.17445,0.90984,0.83287,0.86663,0.89939,0.79926,0.7288,0.73129,0.58605,1.06742,0.00941245,0.00941245,0.00941245
49,4186.8,0.95402,0.98507,1.17588,0.90317,0.82697,0.86013,0.89664,0.78719,0.72323,0.73615,0.58755,1.06497,0.00938772,0.00938772,0.00938772
50,4278.36,0.9478,0.98245,1.17397,0.91567,0.82606,0.86526,0.89516,0.80017,0.72805,0.7315,0.58466,1.06412,0.00936251,0.00936251,0.00936251
51,4370.44,0.95197,0.979,1.17738,0.91045,0.82619,0.8631,0.89705,0.79866,0.72629,0.73265,0.58658,1.06641,0.00933683,0.00933683,0.00933683
52,4462.96,0.94995,0.9687,1.17468,0.93325,0.81374,0.86503,0.90137,0.80196,0.73073,0.72612,0.57758,1.05867,0.00931067,0.00931067,0.00931067
53,4555.51,0.9351,0.95679,1.16468,0.89893,0.83749,0.86452,0.90105,0.79735,0.73065,0.72084,0.57293,1.05891,0.00928405,0.00928405,0.00928405
54,4648.78,0.93546,0.95377,1.16623,0.90781,0.82655,0.86101,0.90204,0.79885,0.73104,0.72794,0.57106,1.06364,0.00925697,0.00925697,0.00925697
55,4739.37,0.9373,0.95462,1.16807,0.90708,0.84388,0.8716,0.90418,0.80059,0.73408,0.72615,0.56208,1.05991,0.00922942,0.00922942,0.00922942
56,4829.48,0.93871,0.95173,1.16505,0.90154,0.84743,0.87064,0.90686,0.80349,0.73345,0.72427,0.5616,1.06001,0.00920142,0.00920142,0.00920142
57,4919.64,0.92876,0.93093,1.16521,0.93028,0.82456,0.87015,0.90329,0.8009,0.73508,0.7201,0.55707,1.05822,0.00917296,0.00917296,0.00917296
58,5009.99,0.93227,0.94455,1.16493,0.91129,0.84013,0.87088,0.90534,0.80542,0.7358,0.71766,0.55531,1.05504,0.00914405,0.00914405,0.00914405
59,5100.35,0.92573,0.93358,1.15795,0.92022,0.84508,0.87745,0.9087,0.81016,0.73991,0.71048,0.54809,1.05074,0.00911469,0.00911469,0.00911469
60,5190.63,0.92811,0.93161,1.15786,0.89471,0.85639,0.87272,0.90633,0.8023,0.74094,0.7085,0.54947,1.05067,0.00908488,0.00908488,0.00908488
61,5280.51,0.92976,0.92889,1.16289,0.91099,0.85529,0.87905,0.90784,0.81101,0.74216,0.70757,0.54929,1.05051,0.00905463,0.00905463,0.00905463
62,5370.93,0.92548,0.92651,1.15876,0.90515,0.85292,0.87541,0.9093,0.81158,0.7436,0.70185,0.54168,1.04495,0.00902395,0.00902395,0.00902395
63,5460.57,0.9103,0.91748,1.14798,0.9283,0.8359,0.87653,0.90921,0.80995,0.74523,0.70313,0.54003,1.04555,0.00899282,0.00899282,0.00899282
64,5548.61,0.92325,0.92564,1.15633,0.89971,0.85031,0.87175,0.90778,0.80484,0.74336,0.70543,0.54159,1.04696,0.00896127,0.00896127,0.00896127
65,5634.21,0.91206,0.90894,1.15022,0.92255,0.83961,0.87609,0.90991,0.81591,0.74432,0.70684,0.53921,1.04919,0.00892928,0.00892928,0.00892928
66,5717.87,0.91569,0.91291,1.15349,0.91598,0.8449,0.87618,0.91119,0.81348,0.74575,0.70335,0.53505,1.04561,0.00889687,0.00889687,0.00889687
67,5801.03,0.91817,0.91906,1.15269,0.92194,0.83958,0.87552,0.91201,0.81502,0.74727,0.70167,0.53412,1.04413,0.00886404,0.00886404,0.00886404
68,5883.86,0.91271,0.89733,1.1478,0.92461,0.83612,0.87479,0.91141,0.82213,0.74848,0.70022,0.53431,1.04289,0.00883079,0.00883079,0.00883079
69,5966.93,0.904,0.89558,1.14595,0.92568,0.84155,0.87823,0.91269,0.81755,0.7488,0.70001,0.52938,1.04258,0.00879713,0.00879713,0.00879713
70,6049.6,0.90744,0.89683,1.14689,0.92032,0.83939,0.87463,0.91088,0.81579,0.7467,0.7009,0.5289,1.04503,0.00876305,0.00876305,0.00876305
71,6131.58,0.90495,0.89215,1.14156,0.9129,0.84366,0.87417,0.91142,0.81892,0.74647,0.70029,0.52724,1.04461,0.00872857,0.00872857,0.00872857
72,6215.03,0.89929,0.8888,1.14042,0.90705,0.85478,0.87769,0.9133,0.81568,0.74857,0.69973,0.52124,1.0433,0.00869368,0.00869368,0.00869368
73,6304.42,0.89589,0.88181,1.13636,0.90225,0.86185,0.87928,0.91473,0.81618,0.74908,0.69775,0.51644,1.04201,0.00865839,0.00865839,0.00865839
74,6395.21,0.90337,0.8923,1.14572,0.90842,0.86735,0.88545,0.91694,0.81914,0.75337,0.69244,0.51483,1.03944,0.00862271,0.00862271,0.00862271
75,6486.37,0.897,0.88039,1.14314,0.91771,0.85935,0.88474,0.91697,0.81855,0.75409,0.68982,0.51335,1.03808,0.00858664,0.00858664,0.00858664
76,6578.22,0.88931,0.86957,1.13854,0.93039,0.85241,0.88689,0.91702,0.82212,0.75374,0.68977,0.50854,1.03745,0.00855018,0.00855018,0.00855018
