epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.013,0.65356,0.53648,1.00059,0.93868,0.87207,0.90213,0.92676,0.84145,0.77276,0.67187,0.46448,1.02504,0.00332848,0.00332848,0.0700437
2,212.647,0.68474,0.57042,1.01264,0.94592,0.84689,0.89044,0.91686,0.82827,0.7584,0.69047,0.50103,1.03468,0.00666163,0.00666163,0.0400435
3,301.003,0.76607,0.66413,1.05347,0.92056,0.82005,0.86275,0.88758,0.78255,0.70474,0.80279,0.63043,1.09165,0.00999406,0.00999406,0.0100426
4,389.107,0.84545,0.78827,1.09863,0.89051,0.82807,0.8554,0.88893,0.7753,0.70433,0.80388,0.61614,1.09802,0.00999756,0.00999756,0.00999756
5,476.867,0.87451,0.82502,1.11348,0.90524,0.79349,0.83984,0.87917,0.75825,0.68861,0.81223,0.6601,1.101,0.00999566,0.00999566,0.00999566
6,564.87,0.89204,0.84754,1.12564,0.89834,0.80299,0.84166,0.87777,0.76391,0.69742,0.79233,0.66197,1.09562,0.00999322,0.00999322,0.00999322
7,652.73,0.88716,0.84232,1.12156,0.90636,0.79724,0.84337,0.88305,0.7684,0.69491,0.81192,0.65147,1.09835,0.00999023,0.00999023,0.00999023
8,741.425,0.88347,0.84871,1.12176,0.89442,0.81556,0.84821,0.8859,0.76851,0.69537,0.81589,0.6531,1.10836,0.00998671,0.00998671,0.00998671
9,830.23,0.88326,0.84743,1.12365,0.90738,0.80848,0.85061,0.88187,0.77111,0.69489,0.80708,0.64222,1.09937,0.00998264,0.00998264,0.00998264
10,919.357,0.88757,0.84707,1.12442,0.9025,0.8145,0.851,0.88625,0.76697,0.6954,0.82083,0.64582,1.10171,0.00997803,0.00997803,0.00997803
11,1008.75,0.88542,0.83444,1.12014,0.90579,0.80959,0.85152,0.88356,0.77239,0.69884,0.79213,0.63851,1.09434,0.00997288,0.00997288,0.00997288
12,1097.86,0.88837,0.84905,1.1273,0.89857,0.81051,0.84968,0.88183,0.77082,0.70335,0.78433,0.62624,1.09074,0.0099672,0.0099672,0.0099672
