epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.527,2.50685,4.34043,3.33546,0.21794,0.25972,0.19349,0.14465,0.05172,0.06642,2.02587,3.0229,2.80167,0.00332848,0.00332848,0.0700437
2,217.551,1.8622,3.12133,2.44122,0.35732,0.34324,0.31467,0.30733,0.15783,0.16298,1.72947,2.58411,2.37615,0.00666163,0.00666163,0.0400435
3,311.061,1.732,2.79474,2.18623,0.38046,0.32539,0.28499,0.27717,0.14065,0.14527,1.84748,3.65461,2.38822,0.00999406,0.00999406,0.0100426
4,399.782,1.66531,2.66255,2.07571,0.46059,0.43477,0.41197,0.41594,0.2057,0.21906,1.68207,2.59681,2.20389,0.00999756,0.00999756,0.00999756
5,486.799,1.56773,2.4026,1.95202,0.58092,0.47151,0.49825,0.50902,0.33485,0.30773,1.49714,2.07472,1.98628,0.00999566,0.00999566,0.00999566
6,573.755,1.51215,2.25439,1.89544,0.6357,0.47096,0.49806,0.50869,0.31624,0.3083,1.51341,2.10647,2.02061,0.00999322,0.00999322,0.00999322
7,660.679,1.44086,2.10276,1.81682,0.66821,0.58597,0.59979,0.63089,0.44261,0.40863,1.30003,1.65148,1.78514,0.00999023,0.00999023,0.00999023
8,748.086,1.39758,1.99845,1.77491,0.70254,0.56788,0.60308,0.64014,0.46264,0.41768,1.3163,1.66382,1.7872,0.00998671,0.00998671,0.00998671
9,834.753,1.36062,1.90924,1.72413,0.73181,0.60744,0.64629,0.6804,0.50998,0.45878,1.21651,1.45372,1.69125,0.00998264,0.00998264,0.00998264
10,921.337,1.33591,1.8411,1.70671,0.76204,0.62512,0.67639,0.71241,0.5425,0.48713,1.15313,1.35902,1.63114,0.00997803,0.00997803,0.00997803
11,1007.42,1.30667,1.7606,1.66389,0.75137,0.63042,0.6754,0.7139,0.54647,0.49272,1.14775,1.31448,1.61386,0.00997288,0.00997288,0.00997288
