epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.686,0.69536,0.61005,1.1027,0.94536,0.8575,0.8967,0.91955,0.83262,0.75921,0.70908,0.51166,1.15737,0.00332848,0.00332848,0.0700437
2,204.388,0.7309,0.65181,1.12236,0.92893,0.83944,0.87793,0.90544,0.80244,0.73015,0.7712,0.58406,1.20862,0.00666163,0.00666163,0.0400435
3,300.541,0.82114,0.76389,1.18299,0.89704,0.80246,0.84196,0.87936,0.75495,0.68266,0.8469,0.70261,1.25514,0.00999406,0.00999406,0.0100426
4,395.501,0.90482,0.90687,1.2476,0.86267,0.81629,0.83557,0.87188,0.75578,0.67545,0.86872,0.7259,1.27113,0.00999756,0.00999756,0.00999756
5,490.75,0.93141,0.94039,1.26679,0.90173,0.80141,0.84228,0.88047,0.74529,0.67158,0.88004,0.71448,1.27914,0.00999566,0.00999566,0.00999566
6,587.192,0.95078,0.97259,1.28239,0.88304,0.80055,0.83517,0.8732,0.74756,0.6726,0.88226,0.748,1.30137,0.00999322,0.00999322,0.00999322
7,687.708,0.94027,0.96542,1.27261,0.8969,0.78979,0.83502,0.86473,0.75045,0.66661,0.88781,0.76203,1.30825,0.00999023,0.00999023,0.00999023
8,794.719,0.94449,0.97393,1.27309,0.88085,0.76307,0.8121,0.84872,0.71919,0.64212,0.93647,0.79842,1.33943,0.00998671,0.00998671,0.00998671
9,899.372,0.94172,0.96336,1.27166,0.90354,0.80536,0.84691,0.87712,0.76704,0.67876,0.86417,0.70539,1.28349,0.00998264,0.00998264,0.00998264
10,1005.13,0.94106,0.96815,1.27461,0.90906,0.79923,0.84726,0.88237,0.77332,0.68802,0.85546,0.70421,1.27006,0.00997803,0.00997803,0.00997803
11,1120.18,0.93994,0.95362,1.27111,0.90887,0.78371,0.83703,0.86658,0.74389,0.6755,0.85373,0.73095,1.27868,0.00997288,0.00997288,0.00997288
12,1237.31,0.94269,0.96574,1.27795,0.90714,0.80296,0.84858,0.86944,0.74045,0.67263,0.86756,0.71688,1.28371,0.0099672,0.0099672,0.0099672
13,1360.85,0.94869,0.97229,1.27907,0.89635,0.80496,0.84357,0.87941,0.76251,0.68328,0.86283,0.69982,1.27021,0.00996097,0.00996097,0.00996097
