epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.332,2.67383,4.65986,3.49389,0.14591,0.16101,0.13203,0.09307,0.03723,0.04338,2.12209,3.21294,2.92946,0.00332848,0.00332848,0.0700437
2,274.44,1.92645,3.32239,2.55594,0.42664,0.29008,0.26712,0.27786,0.13946,0.14771,1.75205,3.21766,2.4481,0.00666163,0.00666163,0.0400435
3,400.711,1.76926,2.94586,2.28861,0.36648,0.31822,0.29175,0.26849,0.13921,0.1444,1.77732,2.82281,2.41289,0.00999406,0.00999406,0.0100426
4,513.248,1.68345,2.72672,2.15709,0.47436,0.42066,0.38435,0.41412,0.2267,0.23227,1.58299,2.24657,2.16858,0.00999756,0.00999756,0.00999756
5,622.531,1.59666,2.48654,2.03199,0.57356,0.39725,0.41998,0.44476,0.28862,0.26735,1.51377,2.20417,2.09492,0.00999566,0.00999566,0.00999566
6,729.843,1.53648,2.32213,1.95802,0.60321,0.52605,0.54461,0.56657,0.39139,0.3582,1.37682,1.77381,1.90963,0.00999322,0.00999322,0.00999322
7,833.732,1.46206,2.18218,1.8826,0.65849,0.53403,0.57025,0.60784,0.43634,0.39541,1.3133,1.74677,1.8711,0.00999023,0.00999023,0.00999023
8,936.93,1.42792,2.06954,1.83861,0.7189,0.54693,0.59311,0.63274,0.44405,0.40404,1.35638,1.65225,1.85062,0.00998671,0.00998671,0.00998671
9,1039.64,1.37772,1.98271,1.77556,0.67847,0.60634,0.62226,0.67017,0.49358,0.4446,1.24704,1.50715,1.75644,0.00998264,0.00998264,0.00998264
10,1141.79,1.35924,1.89965,1.75751,0.7468,0.60952,0.66112,0.68404,0.5032,0.45336,1.26713,1.50387,1.78068,0.00997803,0.00997803,0.00997803
11,1243.56,1.33153,1.83311,1.72335,0.71526,0.58763,0.63239,0.66037,0.51419,0.4504,1.20046,1.55803,1.74469,0.00997288,0.00997288,0.00997288
12,1344.72,1.31078,1.7892,1.70568,0.74675,0.64086,0.67437,0.72322,0.54599,0.4954,1.16024,1.3432,1.69579,0.0099672,0.0099672,0.0099672
13,1446.64,1.29944,1.74537,1.68413,0.80447,0.64845,0.70589,0.75102,0.57917,0.52056,1.14466,1.24666,1.64064,0.00996097,0.00996097,0.00996097
14,1548.38,1.26928,1.671,1.64857,0.80886,0.65007,0.7157,0.74599,0.60874,0.53495,1.07483,1.21784,1.58184,0.0099542,0.0099542,0.0099542
15,1649.86,1.2554,1.65967,1.64234,0.84963,0.65868,0.73291,0.77686,0.62402,0.55484,1.05684,1.16376,1.56894,0.0099469,0.0099469,0.0099469
16,1751.07,1.23453,1.60494,1.61558,0.83927,0.69405,0.7479,0.78371,0.62966,0.56133,1.06534,1.12043,1.54893,0.00993906,0.00993906,0.00993906
17,1852.38,1.2329,1.57517,1.60324,0.82017,0.67608,0.73218,0.78141,0.62966,0.56655,1.05458,1.09155,1.5417,0.00993068,0.00993068,0.00993068
