epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.148,0.69829,0.60678,1.1224,0.93336,0.87814,0.90313,0.92092,0.81974,0.75357,0.72328,0.5147,1.21361,0.00332848,0.00332848,0.0700437
2,274.756,0.733,0.65071,1.1426,0.92601,0.85663,0.88807,0.91022,0.80447,0.73218,0.75824,0.55942,1.23771,0.00666163,0.00666163,0.0400435
3,405.552,0.82278,0.76063,1.20916,0.90127,0.81948,0.8566,0.8869,0.77216,0.69315,0.84804,0.67285,1.33444,0.00999406,0.00999406,0.0100426
4,515.825,0.90339,0.90208,1.27431,0.87883,0.79266,0.83017,0.8663,0.74529,0.668,0.88892,0.74453,1.34483,0.00999756,0.00999756,0.00999756
5,627.101,0.9352,0.94371,1.29592,0.88445,0.79167,0.82985,0.86197,0.7381,0.66661,0.8813,0.74785,1.34192,0.00999566,0.00999566,0.00999566
6,738.886,0.94732,0.9632,1.30932,0.90917,0.78689,0.8384,0.87404,0.75615,0.68289,0.83876,0.69439,1.31202,0.00999322,0.00999322,0.00999322
7,850.722,0.93583,0.94909,1.29944,0.89828,0.79923,0.8416,0.87357,0.7493,0.67356,0.87656,0.71961,1.32778,0.00999023,0.00999023,0.00999023
8,963.215,0.94259,0.95968,1.29888,0.91058,0.79173,0.8416,0.87734,0.76174,0.67861,0.86418,0.7132,1.32127,0.00998671,0.00998671,0.00998671
9,1074.29,0.94334,0.96067,1.30151,0.89568,0.79633,0.83947,0.86628,0.75269,0.67492,0.85371,0.72313,1.32821,0.00998264,0.00998264,0.00998264
10,1184.43,0.94493,0.96074,1.30829,0.90165,0.7969,0.84197,0.87669,0.75318,0.67533,0.86196,0.70044,1.32852,0.00997803,0.00997803,0.00997803
11,1290.99,0.93593,0.94656,1.2981,0.89102,0.82024,0.85024,0.88144,0.77065,0.69095,0.8437,0.70081,1.31571,0.00997288,0.00997288,0.00997288
12,1394.95,0.94441,0.96443,1.31035,0.89625,0.8002,0.84164,0.87434,0.75778,0.68171,0.85046,0.69766,1.30933,0.0099672,0.0099672,0.0099672
13,1498.32,0.94714,0.96578,1.30562,0.8773,0.82418,0.84746,0.8833,0.75477,0.68494,0.85555,0.67467,1.31917,0.00996097,0.00996097,0.00996097
14,1602.1,0.94025,0.95466,1.30068,0.87594,0.82389,0.84673,0.8864,0.77167,0.69655,0.83247,0.67951,1.31352,0.0099542,0.0099542,0.0099542
15,1705.5,0.93702,0.95593,1.29919,0.91181,0.7883,0.83836,0.87812,0.76562,0.68837,0.83979,0.70232,1.31252,0.0099469,0.0099469,0.0099469
16,1812.45,0.93979,0.95528,1.30213,0.92455,0.79624,0.85021,0.87788,0.76038,0.68375,0.84952,0.69198,1.32667,0.00993906,0.00993906,0.00993906
17,1917.74,0.94461,0.95219,1.30554,0.89678,0.79825,0.84,0.87706,0.76505,0.68792,0.83086,0.68607,1.29485,0.00993068,0.00993068,0.00993068
18,2022.33,0.93967,0.94552,1.30052,0.91475,0.81426,0.85888,0.89045,0.77817,0.69839,0.83416,0.65294,1.30274,0.00992177,0.00992177,0.00992177
19,2125.05,0.93867,0.94915,1.29926,0.90378,0.82009,0.85557,0.89186,0.78456,0.70359,0.82285,0.64698,1.29012,0.00991232,0.00991232,0.00991232
20,2227.99,0.92938,0.93681,1.29559,0.91573,0.81825,0.86058,0.89388,0.7811,0.70191,0.8211,0.63902,1.29347,0.00990234,0.00990234,0.00990234
21,2331.31,0.94111,0.9618,1.29965,0.90944,0.82439,0.86179,0.8937,0.78016,0.7056,0.8157,0.63791,1.27605,0.00989183,0.00989183,0.00989183
22,2434.33,0.93525,0.94066,1.29447,0.90616,0.82068,0.85729,0.88918,0.78089,0.70353,0.80447,0.63768,1.27745,0.00988079,0.00988079,0.00988079
23,2537.04,0.92903,0.93512,1.29065,0.90781,0.81216,0.85379,0.88642,0.77311,0.70392,0.80184,0.64783,1.27483,0.00986922,0.00986922,0.00986922
24,2639.78,0.93799,0.9325,1.29849,0.89869,0.83597,0.86416,0.89352,0.78572,0.71184,0.79479,0.62994,1.266,0.00985711,0.00985711,0.00985711
25,2742.79,0.93596,0.9401,1.2929,0.91009,0.82401,0.86195,0.88946,0.77865,0.70499,0.81583,0.63043,1.28433,0.00984449,0.00984449,0.00984449
26,2854.38,0.9291,0.92898,1.28517,0.92242,0.82035,0.8651,0.90052,0.79343,0.71571,0.79806,0.62122,1.26868,0.00983133,0.00983133,0.00983133
27,2966.08,0.92105,0.9263,1.28347,0.90729,0.81802,0.8569,0.88931,0.77978,0.70627,0.7953,0.63283,1.27452,0.00981765,0.00981765,0.00981765
28,3076.62,0.92703,0.92959,1.29067,0.92489,0.81631,0.86265,0.89928,0.78216,0.71609,0.79085,0.61257,1.26268,0.00980345,0.00980345,0.00980345
29,3187.65,0.92961,0.92936,1.2838,0.91183,0.83201,0.86725,0.89835,0.79478,0.71868,0.77695,0.60043,1.2493,0.00978873,0.00978873,0.00978873
30,3300.03,0.92935,0.93758,1.2928,0.9132,0.83363,0.86799,0.90167,0.79511,0.71931,0.78521,0.6087,1.25909,0.00977349,0.00977349,0.00977349
31,3411.02,0.92716,0.92992,1.2837,0.90519,0.83627,0.86611,0.89757,0.80114,0.72017,0.78062,0.6061,1.25857,0.00975773,0.00975773,0.00975773
32,3522.4,0.92497,0.93126,1.28773,0.91005,0.82655,0.86298,0.89744,0.79413,0.7194,0.78512,0.60092,1.26653,0.00974145,0.00974145,0.00974145
33,3634.88,0.91766,0.92854,1.28419,0.90977,0.84359,0.87324,0.90071,0.81025,0.72621,0.7647,0.5838,1.24239,0.00972466,0.00972466,0.00972466
34,3746.3,0.92189,0.93174,1.28938,0.91958,0.83428,0.87184,0.90247,0.79877,0.72616,0.76973,0.59331,1.24866,0.00970736,0.00970736,0.00970736
