epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/F1(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.384,2.59789,4.49195,3.48189,0.14998,0.17429,0.13183,0.09583,0.03429,0.04329,2.06956,3.07892,2.92655,0.00332848,0.00332848,0.0700437
2,251.049,1.91019,3.30867,2.55932,0.32127,0.30335,0.27929,0.27559,0.13503,0.1442,1.80408,2.79851,2.50629,0.00666163,0.00666163,0.0400435
3,360.824,1.75609,2.94961,2.3081,0.36614,0.36468,0.33391,0.30993,0.18,0.17703,1.71437,2.61441,2.33889,0.00999406,0.00999406,0.0100426
4,468.653,1.67854,2.73515,2.16419,0.44822,0.37192,0.3665,0.36057,0.20566,0.2039,1.61657,2.49625,2.23044,0.00999756,0.00999756,0.00999756
5,575.337,1.5909,2.49625,2.03902,0.57868,0.45953,0.48766,0.49382,0.32675,0.29922,1.48273,2.06526,2.04524,0.00999566,0.00999566,0.00999566
6,683.273,1.53929,2.32227,1.96877,0.6185,0.4947,0.51339,0.54342,0.37467,0.34633,1.39616,1.89201,1.96556,0.00999322,0.00999322,0.00999322
7,793.334,1.47022,2.18224,1.88855,0.64861,0.57084,0.59685,0.62984,0.45275,0.40724,1.29529,1.61274,1.85826,0.00999023,0.00999023,0.00999023
8,913.125,1.42018,2.0629,1.83608,0.70832,0.53592,0.58538,0.61891,0.44464,0.40423,1.27695,1.59437,1.82333,0.00998671,0.00998671,0.00998671
9,1036.93,1.38068,1.9843,1.79116,0.69407,0.60345,0.63161,0.67678,0.50727,0.45196,1.22314,1.43678,1.76256,0.00998264,0.00998264,0.00998264
10,1155.29,1.36297,1.90853,1.77209,0.73128,0.6109,0.65395,0.6834,0.50744,0.45536,1.23926,1.46413,1.76789,0.00997803,0.00997803,0.00997803
11,1265.97,1.33356,1.8258,1.73285,0.76275,0.62293,0.67801,0.71798,0.54096,0.48916,1.17889,1.34411,1.71429,0.00997288,0.00997288,0.00997288
